鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
民雄鄉,土地,頭橋段391~420地號,633.75,農,,,1011001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,10000,16,,0.0,0,,RPPNMLPKQHHFFCQ76DC
水上鄉,土地,大堀尾段451~480地號,528.0,,鄉村區,乙種建築用地,1010810,土地1建物0車位0,,,倉庫,,,,0.0,0,0,0,有,無,無,25000,,,0.0,0,,RPPNMLPLQHHFFDQ86CC
朴子市,建物,嘉義縣朴子市仁和二路121~150號,5758.57,,,,1010903,土地0建物1車位0,七層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,23.14,1,0,1,有,無,有,2500,108,,0.0,0,,RPPNMLQJRHHFFBQ66CC
朴子市,建物,嘉義縣朴子市仁和二路121~150號,5758.57,,,,1010905,土地0建物1車位0,二層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,7.57,1,0,1,有,無,有,2000,264,,0.0,0,,RPQNMLQJRHHFFBQ76CC
朴子市,建物,嘉義縣朴子市仁和二路121~150號,5758.57,,,,1010909,土地0建物1車位0,六層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,7.57,1,0,1,有,無,有,3000,396,,0.0,0,,RPPNMLKKRHHFFBQ78CC
朴子市,建物,嘉義縣朴子市仁和二路121~150號,5758.57,,,,1010910,土地0建物1車位0,六層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,7.57,1,0,1,有,無,有,2500,330,,0.0,0,,RPQNMLKKRHHFFBQ88CC
朴子市,建物,嘉義縣朴子市仁和二路121~150號,5758.57,,,,1010910,土地0建物1車位0,六層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,7.57,1,0,1,有,無,有,2500,330,,0.0,0,,RPRNMLKKRHHFFBQ98CC
朴子市,建物,嘉義縣朴子市仁和二路121~150號,5758.57,,,,1010910,土地0建物0車位0,六層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,7.57,1,0,1,有,無,有,2500,330,,0.0,0,,RPSNMLKKRHHFFBQ09CC
朴子市,建物,嘉義縣朴子市仁和二路121~150號,5758.57,,,,1010910,土地0建物1車位0,六層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,7.57,1,0,1,有,無,有,2500,330,,0.0,0,,RPTNMLKKRHHFFBQ56CC
朴子市,建物,嘉義縣朴子市仁和二路121~150號,5758.57,,,,1010910,土地0建物1車位0,六層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,5.22,1,0,1,有,無,有,2500,479,,0.0,0,,RPUNMLKKRHHFFBQ66CC
朴子市,建物,嘉義縣朴子市仁和二路121~150號,5758.57,,,,1010909,土地0建物1車位0,六層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,7.57,1,0,1,有,無,有,3000,396,,0.0,0,,RPXNMLKKRHHFFBQ96CC
朴子市,建物,嘉義縣朴子市仁和二路121~150號,5758.57,,,,1010909,土地0建物1車位0,六層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,7.57,1,0,1,有,無,有,3000,396,,0.0,0,,RPOOMLKKRHHFFBQ78CC
太保市,房地(土地+建物),嘉義縣太保市北新里12鄰中山路一段228巷1~30號,13.69,其他,,,1010916,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0840908,94.24,2,2,1,有,有,有,5000,53,,0.0,0,,RPQNMLKKRHHFFDQ09CC
太保市,房地(土地+建物),嘉義縣太保市中山路一段492巷1~30號,93.97,住,,,1010910,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0951205,163.29,4,3,3,有,無,有,10000,61,,0.0,0,,RPRNMLKKRHHFFDQ56CC
太保市,建物,嘉義縣太保市北港路二段105巷1~30號,129.58,工,,,1010910,土地0建物1車位0,三層,3,店面(店鋪),見其他登記事項,鋼筋混凝土造,0820317,383.47,5,2,3,有,無,無,18000,47,,0.0,0,,RPXNMLNKRHHFFDQ57DC
朴子市,建物,嘉義縣朴子市仁和二路121~150號,5758.57,,,,1010916,土地0建物1車位0,七層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,7.57,1,0,1,有,無,有,2500,330,,0.0,0,,RPTNMLSKRHHFFBQ37CC
朴子市,建物,嘉義縣朴子市仁和二路121~150號,5758.57,,,,1010912,土地0建物1車位0,六層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,7.57,1,0,1,有,無,有,2500,330,,0.0,0,,RPUNMLSKRHHFFBQ47CC
朴子市,房地(土地+建物),嘉義縣朴子市吉祥二街61~90號,111.5,住,,,1010924,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0920922,161.77,4,2,3,有,無,有,13000,80,,0.0,0,,RPSNMLTKRHHFFBQ37CC
朴子市,建物,嘉義縣朴子市仁和二路121~150號,5758.57,,,,1011006,土地0建物1車位0,八層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,7.57,1,0,1,有,無,有,3500,462,,0.0,0,,RPQNMLSJIIHFFBQ78CC
朴子市,建物,嘉義縣朴子市仁和二路121~150號,5758.57,,,,1011007,土地0建物1車位0,四層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,7.57,1,0,1,有,無,有,2500,330,,0.0,0,,RPRNMLSJIIHFFBQ88CC
太保市,房地(土地+建物),嘉義縣太保市祥和三路東段61~90號,103.31,其他,,,1011201,土地1建物1車位0,二層,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,0970804,230.46,0,2,2,有,無,無,16000,69,,0.0,0,,RPPNMLQKIIHFFDQ78CC
太保市,房地(土地+建物),嘉義縣太保市祥和一路東段1~30號,47.04,其他,,,1011101,土地1建物1車位0,三層,9,店面(店鋪),見其他登記事項,鋼筋混凝土造,0850207,103.04,3,2,3,有,有,無,12000,116,,0.0,0,,RPQNMLQKIIHFFDQ88CC
太保市,建物,嘉義縣太保市縣府一街61~90號,103.12,,,,1011020,土地0建物1車位0,全,4,透天厝,住家用,見其他登記事項,0880908,180.52,4,2,3,有,無,有,12000,66,,0.0,0,,RPQNMLMLIIHFFDQ58CC
水上鄉,土地,粗溪段粗溪小段421~450地號,200.0,,特定農業區,農牧用地,1011101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,13000,65,,0.0,0,,RPTNMLQLIIHFFDQ86EC
中埔鄉,房地(土地+建物),嘉義縣中埔鄉中華路241~270號,78.79,,特定農業區,甲種建築用地,1011020,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0830620,161.35,4,1,3,有,無,無,7500,46,,0.0,0,,RPPNMLTLIIHFFDQ76EC
