編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLLJJIHFFGS86CC,16,147.38,住商用,鋼筋混凝土造,85年7月10日,012,一層 二層 三層 騎樓
RPSPMLLJJIHFFDE57CC,18,197.10,住商用,鋼筋混凝土造,83年11月2日,十五層,一層 二層 三層 騎樓
RPOPMLLJJIHFFDE17CC,32,70.92,,加強磚造,69年7月12日,二層,一層 二層 騎樓
RPUNMLLJJIHFFCE47CC,6,35.30,住商用,鋼筋混凝土造,95年9月21日,五層,一層 二層 三層 四層 五層 騎樓
RPQOMLLJJIHFFEE37CC,33,201.12,,鋼筋混凝土造,68年8月11日,四層,一層 二層 三層 四層 騎樓
RPRNMLLJJIHFFEE37CC,7,90.89,住商用,鋼筋混凝土造,94年9月12日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPRPMLLJJIHFFAE17CC,4,186.36,商業用,鋼筋混凝土造,97年11月4日,十九層,五層
RPSPMLLJJIHFFAE27CC,6,124.43,住家用,鋼筋混凝土造,95年8月16日,十五層,十層
RPUNMLMJJIHFFES56CC,40,24.61,住家用,加強磚造,61年10月0日,002,一層 二層
RPVNMLMJJIHFFBS98CC,36,51.00,住商用,加強磚造,65年11月1日,002,一層 二層 騎樓
RPSOMLNJJIHFFDE67CC,13,27.65,住家用,鋼筋混凝土造,88年10月14日,十四層,二層
RPTNMLNJJIHFFDE67CC,20,18.30,住家用,鋼筋混凝土造,81年6月27日,十二層,五層 走廊
RPXOMLMJJIHFFDE08CC,16,661.00,商業用,鋼筋混凝土造,85年10月19日,十四層,一層 二層 夾層 門廳 地下層
RPSNMLNJJIHFFBS78CC,40,88.88,住商用,加強磚造,61年12月26日,002,騎樓 一層 二層
RPSOMLLJJIHFFBE27CC,23,338.40,,鋼筋混凝土造,78年6月29日,十二層,九層
RPTNMLPJJIHFFAS98CC,19,92.06,工業用,鋼筋混凝土造,83年2月3日,004,一層 二層 三層 四層
RPROMLPJJIHFFAE47CC,32,163.91,,鋼筋混凝土造,69年11月6日,十二層,一層 二層 騎樓
RPSNMLMJJIHFFBE27CC,36,48.89,,鋼筋混凝土造,65年11月24日,十層,八層
RPSNMLMJJIHFFEE57CC,18,51.88,住家用,鋼筋混凝土造,83年11月4日,十二層,九層
RPSNMLMJJIHFFEE57CC,18,9.05,住家用,鋼筋混凝土造,83年11月4日,十二層,九層
RPSNMLMJJIHFFEE57CC,18,22.85,住家用,鋼筋混凝土造,83年11月4日,十二層,九層
RPVNMLPJJIHFFBE87CC,27,79.77,,鋼筋混凝土造,74年11月2日,十二層,十二層
RPUOMLQJJIHFFBE97CC,23,373.50,,鋼筋混凝土造,79年1月4日,十二層,八層
RPQNMLNJJIHFFBE17CC,35,89.82,,鋼筋混凝土造,66年8月23日,四層,二層
RPRNMLQJJIHFFBE57CC,16,91.31,住家用,鋼筋混凝土造,86年4月21日,三十五層,二十二層
RPRNMLQJJIHFFBE57CC,16,29.30,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,
RPQNMLQJJIHFFBE47CC,16,187.39,住家用,鋼筋混凝土造,86年4月21日,三十五層,二十八層 二十九層
RPQNMLQJJIHFFBE47CC,16,109.20,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,
RPQOMLPJJIHFFEE77CC,19,48.51,住商用,鋼筋混凝土造,82年12月29日,五層,一層 二層 三層 四層 五層 屋頂突出物 騎樓
RPSNMLQJJIHFFDS66CC,8,176.80,見其他登記事項,鋼筋混凝土造,93年8月26日,004,一層 二層 三層 四層
RPTNMLQJJIHFFDS86DC,8,141.60,見其他登記事項,鋼筋混凝土造,93年12月10日,004,一層 二層 三層 四層
RPPRMLPJJIHFFEE97CC,10,125.97,住商用,見其它登記事項,92年1月14日,十四層,一層 二層 騎樓 夾層
RPPRMLPJJIHFFEE97CC,10,22.94,見使用執照,見使用執照,92年1月14日,十四層,
RPSRMLPJJIHFFEE28CC,16,179.39,住家用,鋼筋混凝土造,86年4月19日,二十二層,三層
RPSRMLPJJIHFFEE28CC,16,40.78,見使用執照,鋼筋混凝土造,86年4月19日,二十二層,
RPTRMLPJJIHFFEE38CC,24,107.66,住家用,鋼筋混凝土造,78年1月30日,五層,一層 二層 騎樓 夾層
RPTRMLPJJIHFFEE38CC,24,21.72,見使用執照,鋼筋混凝土造,78年1月30日,五層,
RPRNMLRJJIHFFBS09CC,10,154.99,見其他登記事項,見其他登記事項,91年11月6日,001,一層
RPQNMLRJJIHFFDS56CC,7,200.55,見其他登記事項,見其他登記事項,94年11月25日,001,一層
RPXNMLRJJIHFFAE18CC,18,63.85,住家用,鋼筋混凝土造,83年7月15日,八層,八層
RPXNMLRJJIHFFAE18CC,18,19.51,見使用執照,鋼筋混凝土造,83年7月15日,八層,
RPWOMLRJJIHFFDE48CC,12,193.43,商業用,見使用執照,89年9月21日,一層,一層 騎樓 門廳
RPSQMLQJJIHFFEE38DC,17,135.07,住家用,鋼筋混凝土造,84年10月20日,二十四層,二十一層
RPPPMLQJJIHFFEE87CC,6,68.94,住家用,鋼筋混凝土造,95年11月3日,十五層,二層
RPPPMLQJJIHFFEE87CC,6,30.50,見其它登記事項,鋼筋混凝土造,95年11月3日,十五層,
RPPNMLSJJIHFFBE57CC,23,213.41,,鋼筋混凝土造,78年8月7日,七層,一層 二層 騎樓
RPQNMLRJJIHFFEE87CC,19,410.14,住商用,見其它登記事項,82年12月17日,二層,一層 二層 騎樓
RPXNMLSJJIHFFBE38CC,16,59.70,住家用,鋼筋混凝土造,86年4月21日,三十五層,四層
RPOQMLRJJIHFFEE97CC,7,47.15,商業用,鋼筋混凝土造,94年5月20日,十四層,一層 騎樓 夾層
RPOPMLRJJIHFFEE87CC,11,865.37,見使用執照,見使用執照,91年1月18日,二層,一層 二層 屋頂突出物
RPOPMLTJJIHFFBS56CC,20,126.78,住商用,鋼筋混凝土造,81年10月28日,015,二層 三層 騎樓 一層
RPQPMLTJJIHFFBS76CC,33,91.20,住商用,加強磚造,68年6月1日,002,一層 二層 騎樓
RPVNMLTJJIHFFEE58CC,17,52.73,住家用,鋼筋混凝土造,84年10月19日,二十一層,六層
RPOPMLTJJIHFFEE08CC,9,73.73,住家用,見使用執照,93年4月20日,五層,一層 二層 三層 四層 五層
RPSPMLTJJIHFFEE48CC,7,201.02,商業用,鋼筋混凝土造,95年3月6日,十五層,一層 二層 夾層
RPSPMLTJJIHFFEE48CC,7,38.75,見其它登記事項,鋼筋混凝土造,95年3月6日,十五層,
