編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQOMLPJJIHFFAF27CA,光華段,7.85,都市：住
RPSNMLPJJIHFFAF37CA,江子翠段第二崁小段,1.29,都市：住
RPSNMLPJJIHFFAF37CA,江子翠段第二崁小段,2.78,都市：住
RPSNMLPJJIHFFAF37CA,江子翠段第二崁小段,21.46,都市：住
RPSNMLPJJIHFFAF37CA,江子翠段第二崁小段,1.02,都市：住
RPRNMLPJJIHFFAF27CA,金城段,8.88,都市：住
RPWPMLPJJIHFFAF97CA,江子翠段第一崁小段,9.55,都市：住
RPORMLPJJIHFFAF37CA,成功段,22.99,都市：住
RPWNMLRJJIHFFAF97CA,光華段,26.80,都市：住
RPSOMLMJJIHFFAF17CA,港子嘴段,14.25,都市：住
RPOOMLMJJIHFFAF76CA,永寧段,20.61,都市：住
RPUOMLMJJIHFFAF37CA,幸福段,28.93,都市：住
RPXNMLMJJIHFFAF57CA,中華段,.51,都市：住
RPXNMLMJJIHFFAF57CA,中華段,12.14,都市：住
RPRRMLPJJIHFFAF67CA,和平段,20.20,都市：住
RPWNMLMJJIHFFAF47CA,冷水段,20.39,都市：住
RPVOMLMJJIHFFAF47CA,清水段,9.50,都市：商
RPSPMLSJJIHFFAF87CA,樂利段,.02,都市：其他
RPSPMLSJJIHFFAF87CA,樂利段,.03,都市：其他
RPSPMLSJJIHFFAF87CA,樂利段,3.09,都市：住
RPQOMLRJJIHFFAF47CA,港子嘴段,6.60,都市：其他
RPQOMLRJJIHFFAF47CA,港子嘴段,3.30,都市：其他
RPQOMLRJJIHFFAF47CA,港子嘴段,11.70,都市：其他
RPOPMLTJJIHFFAF57CA,新興段,.01,都市：其他
RPOPMLTJJIHFFAF57CA,新興段,.29,都市：其他
RPOPMLTJJIHFFAF57CA,新興段,.11,都市：其他
RPOPMLTJJIHFFAF57CA,新興段,4.00,都市：其他
RPOPMLTJJIHFFAF57CA,新興段,.49,都市：其他
RPOPMLTJJIHFFAF57CA,新興段,1.12,都市：其他
RPOPMLTJJIHFFAF57CA,新興段,.10,都市：其他
RPTOMLLJJIHFFBF27CA,泰山段三小段,26.00,都市：住
RPPPMLLJJIHFFBF96CA,富國段,21.69,都市：商
RPXUMLNKJIHFFAF48CA,冷水段,17.53,都市：住
RPVUMLNKJIHFFAF28CA,忠孝段,46.00,都市：住
RPUOMLLJJIHFFBF37CA,榮富段,14.33,都市：住
RPVTMLNKJIHFFAF18CA,永寧段,14.65,都市：住
RPVTMLNKJIHFFAF18CA,永寧段,.24,都市：其他
RPVTMLNKJIHFFAF18CA,永寧段,.95,都市：其他
RPVQMLTKJIHFFAF48CA,港子嘴段,28.42,都市：住
RPPNMLKKJIHFFAF66CA,新雅段,14.52,都市：住
RPUNMLMJJIHFFBF37CA,立言段,22.69,都市：住
RPUNMLPJJIHFFBF67CA,同榮段,23.34,都市：住
RPQNMLMJJIHFFBF96CA,榮富段,9.34,都市：住
RPRRMLPJJIHFFBF77CA,丹鳳段,13.47,都市：住
RPQRMLQJJIHFFBF77CA,中原段,343.57,都市：住
RPORMLQJJIHFFBF57CA,中原段,38.71,都市：住
RPTNMLLLJIHFFAF27CA,公館段,16.60,都市：住
RPTNMLLLJIHFFAF27CA,公館段,.24,都市：住
RPTNMLLLJIHFFAF27CA,公館段,2.61,都市：住
RPTQMLQJJIHFFBF97CA,五股坑段五股坑小段,18.08,都市：住
RPPSMLQLJIHFFAF87CA,和平段,37.33,都市：住
RPTPMLMJJIHFFBF47CA,丹鳳段,9.41,都市：住
RPSNMLSJJIHFFBF77CA,石土地公段蓬萊坑小段,19.56,都市：住
RPUNMLTJJIHFFBF08CA,建林段,38.20,都市：住
RPRQMLQJJIHFFBF77CA,中原段,7.63,都市：商
RPRQMLTJJIHFFBF08CA,中原段,11.95,都市：住
RPQQMLQJJIHFFBF67CA,中原段,11.87,都市：商
RPOQMLQJJIHFFBF47CA,中原段,11.87,都市：商
RPTOMLRJJIHFFBF87CA,光榮段,777.92,都市：其他
RPTOMLRJJIHFFBF87CA,光榮段,66.87,都市：其他
RPSQMLTJJIHFFBF18CA,中原段,17.96,都市：住
RPSNMLRJJIHFFBF67CA,登林段,8.72,都市：住
RPQNMLMJJIHFFCF07CA,復興段,10.71,都市：工
