編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLPJJIHFFBM08CA,14,190.34,住家用,鋼筋混凝土造,87年5月2日,三層,一層 二層 三層 電梯樓梯間
RPTNMLPJJIHFFAM18CA,32,99.46,住商用,鋼筋混凝土加強磚造,69年12月1日,二層,一層 二層 騎樓
RPPNMLPJJIHFFAM77CA,18,57.19,住商用,鋼筋混凝土造,83年5月3日,五層,一層 騎樓 夾層
RPPNMLPJJIHFFAM77CA,18,198.66,見其他登記事項,鋼筋混凝土造,83年5月3日,五層,
RPQNMLKKJIHFFAM47CA,20,87.41,住家用,鋼筋混凝土造,81年9月10日,五層,五層
RPPOMLPJJIHFFAM87CA,16,146.76,住家用,鋼筋混凝土造,86年2月3日,四層,一層 二層 三層 四層
RPPOMLSJJIHFFAM18CA,15,119.87,住家用,鋼筋混凝土造,86年9月19日,十四層,七層 八層
RPPOMLSJJIHFFAM18CA,15,29.83,見其他登記事項,鋼筋混凝土造,86年9月19日,十四層,
RPPNMLTJJIHFFAM18CA,18,88.89,住家用,鋼筋混凝土造,83年10月7日,十一層,四層
RPPNMLTJJIHFFAM18CA,18,35.19,見其他登記事項,鋼筋混凝土造,83年10月7日,十一層,
RPVNMLTJJIHFFBM98DA,,177.33,見其他登記事項,鋼筋混凝土造,101年6月5日,三層,三層 見其他登記事項 一層 二層
RPUNMLQLJIHFFBM68CA,19,170.07,住家用,鋼筋混凝土造,83年2月7日,四層,一層 二層 三層 四層
RPPNMLMKJIHFFBM77DA,6,229.42,住家用,鋼筋混凝土造,96年3月20日,四層,一層 二層 三層 四層
RPPNMLRJJIHFFDM28CA,31,77.01,見其他登記事項,鋼筋混凝土加強磚造,71年1月13日,一層,一層
RPXOMLTJJIHFFCM66CA,31,102.37,住家用,加強磚造,70年4月25日,二層,一層 二層
RPWNMLSLJIHFFDM66CA,5,196.73,住家用,鋼筋混凝土造,96年4月13日,三層,一層 二層 三層
RPWNMLQJJIHFFCM78CA,,214.53,住家用,鋼筋混凝土造,101年5月10日,三層,一層 二層 三層
