編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLPKJIHFFBP68DC,僑真段,69.00,都市：住
RPQNMLPKJIHFFBP68DC,僑真段,24.16,都市：住
RPUNMLRKKIHFFAP56CC,斗六段,.00,都市：商
RPXOMLQJKIHFFAP86DC,大潭段社口小段,918.00,都市：住
RPXOMLQJKIHFFAP86DC,大潭段社口小段,15.00,都市：住
RPXOMLQJKIHFFAP86DC,大潭段社口小段,10.00,都市：住
RPXOMLQJKIHFFAP86DC,大潭段社口小段,255.00,都市：住
RPXOMLQJKIHFFAP86DC,大潭段社口小段,259.00,都市：住
RPXOMLKKKIHFFAP88CC,大潭段社口小段,181.00,都市：住
RPTOMLKKKIHFFAP48CC,大潭段社口小段,18.77,都市：住
RPWOMLKKKIHFFAP78CC,林頭段,106.00,都市：商
RPTNMLTKKIHFFAP76DC,公正段,882.00,都市：住
RPTNMLTKKIHFFAP76DC,公正段,20.00,都市：住
RPQNMLPLKIHFFCP88CC,興西段,258.52,都市：住
RPRNMLQLJIHFFDP09CC,同心段,79.17,都市：住
RPSNMLTKKIHFFDP86CC,德興段,3.96,都市：住
RPXNMLRLJIHFFDP27DC,新吉段,15.17,都市：住
RPTNMLTKKIHFFDP96CC,德興段,3.96,都市：住
RPQNMLPKJHIFFCP68CC,東南段,66.07,都市：住
RPPOMLTLJHIFFDP66CC,蕃薯段,60.00,都市：住
RPVNMLSLJHIFFDP17DC,新吉段,87.22,都市：住
RPWNMLSLJHIFFDP27DC,竹圍子段,65.11,都市：住
RPUNMLSJJHIFFDP76CC,蕃薯段,86.00,都市：住
RPQOMLQKJHIFFDP98CC,新吉段,.00,都市：住
RPRNMLLLJHIFFBP38CC,中天段,107.00,都市：商
