編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPTOMLNKJIHFFAT98DA,坡道平面,0,
RPROMLTLJIHFFAT86DA,坡道平面,430000,24.01
RPXNMLTLJIHFFAT37DA,坡道平面,430000,24.01
RPPOMLTLJIHFFAT66DA,坡道平面,430000,24.01
RPUOMLNJKIHFFAT09DA,坡道平面,400000,24.01
RPVOMLNJKIHFFAT56DA,坡道平面,430000,24.01
RPQOMLNKJIHFFCT88DA,坡道平面,0,
RPPPMLTLJIHFFAT76DA,坡道平面,400000,24.01
RPXOMLTKJIHFFAT27CA,一樓平面,0,
RPUNMLSLJIHFFCT07CA,坡道平面,0,
RPXNMLOJKIHFFAT76DA,坡道平面,430000,24.01
RPPPMLPKJIHFFAT78CA,坡道平面,0,
RPVNMLTKJIHFFDT27CA,升降機械,0,
RPSOMLOJKIHFFAT98DA,坡道平面,430000,24.01
RPTOMLOJKIHFFAT09DA,坡道平面,400000,24.01
RPVOMLOJKIHFFAT66DA,坡道平面,430000,24.01
RPUOMLOJKIHFFAT56DA,坡道平面,430000,24.01
RPUOMLOJKIHFFAT56DA,坡道平面,430000,24.01
RPOOMLKLJIHFFAT28DA,坡道平面,0,
RPOPMLOJKIHFFAT68DA,坡道平面,430000,24.01
RPPPMLOJKIHFFAT78DA,坡道平面,430000,24.01
RPPPMLOJKIHFFAT78DA,坡道平面,430000,24.01
RPTOMLQJKIHFFAT66DA,坡道平面,430000,24.01
RPPOMLPJKIHFFAT78DA,坡道平面,400000,24.01
RPWOMLPJKIHFFAT86DA,坡道平面,330000,24.01
RPOOMLMKKIHFFAT38CA,坡道機械,0,
RPOOMLQJKIHFFAT78DA,坡道平面,430000,24.01
RPXNMLSLJIHFFAT27DA,坡道平面,0,
RPQNMLLJKIHFFAT28CA,升降機械,0,
RPTPMLRLJIHFFAT96DA,坡道平面,0,
RPSNMLLKKIHFFAT68DA,一樓平面,0,
RPROMLRLJIHFFAT56CA,一樓平面,0,
RPSOMLRLJIHFFAT66CA,一樓平面,0,
RPQOMLNKKIHFFAT68CA,一樓平面,0,
RPSPMLSLJIHFFAT86CA,坡道機械,0,
RPSOMLQJKIHFFAT09CA,一樓平面,0,
RPTNMLPJKIHFFCT56CA,坡道平面,0,
RPOOMLSKKIHFFCT56CA,坡道平面,0,
RPRNMLOJKIHFFAT68CA,坡道平面,0,32.89
RPUOMLMKKIHFFAT09DA,坡道平面,400000,24.01
RPWNMLLKKIHFFAT98CA,坡道平面,0,
RPXPMLTLJIHFFAT47CA,坡道平面,0,
RPVOMLMKKIHFFAT56DA,坡道平面,400000,24.01
RPSOMLMKKIHFFAT88DA,坡道平面,430000,24.01
RPSNMLQLKIHFFAT66DA,坡道平面,330000,24.01
RPUNMLPLKIHFFAT76DA,坡道平面,0,
RPPOMLNKKIHFFAT58CA,坡道機械,0,
RPQOMLMKKIHFFAT68DA,坡道平面,310000,24.01
RPOPMLQJKIHFFAT88DA,其他,0,
RPPNMLPJKIHFFDT88CA,一樓平面,0,
RPSNMLRJKIHFFDT86DA,一樓平面,0,
RPWNMLKKKIHFFAT88CA,升降機械,0,
RPWNMLMKKIHFFCT66CA,坡道平面,0,
RPWOMLNJJHIFFAT56DA,坡道平面,430000,24.01
RPWOMLNJJHIFFAT56DA,坡道平面,430000,24.01
RPXPMLMKKIHFFAT76CA,坡道平面,0,
RPTNMLKKKIHFFAT68DA,坡道平面,0,
RPQNMLOKKIHFFAT68CA,坡道平面,0,
RPROMLNJJHIFFAT68DA,坡道平面,430000,24.01
RPQOMLNJJHIFFAT58DA,坡道平面,430000,24.01
RPPOMLNJJHIFFAT48DA,坡道平面,430000,24.01
RPSNMLLLKIHFFAT78DA,坡道平面,0,
RPPPMLQKJHIFFAT98DA,坡道平面,330000,24.01
RPOPMLQKJHIFFAT88DA,坡道平面,310000,24.01
RPVOMLQKJHIFFAT86DA,坡道平面,430000,24.01
RPPQMLQKJHIFFAT09DA,坡道平面,430000,24.01
RPWOMLQKJHIFFAT96DA,坡道平面,430000,24.01
RPXOMLQKJHIFFAT07DA,坡道平面,400000,24.01
RPOPMLOLKIHFFAT78CA,坡道平面,0,
RPQNMLSLKIHFFCT76CA,升降機械,0,
RPSPMLSLKIHFFAT96CA,升降機械,0,
RPXOMLKLKIHFFAT56CA,坡道平面,0,24.14
RPSOMLMLKIHFFAT88CA,坡道平面,0,
RPSOMLOLKIHFFAT56DA,坡道平面,0,
RPSNMLRKJHIFFAT56DA,坡道平面,430000,24.01
RPUOMLPLKIHFFAT76CA,升降平面,0,
RPQQMLQKJHIFFAT56DA,坡道平面,250000,24.01
RPRNMLRLKIHFFDT86CA,一樓平面,0,
RPWPMLQKJHIFFAT07DA,坡道平面,430000,24.01
RPQPMLQKJHIFFAT09DA,坡道平面,430000,24.01
RPUOMLOLJHIFFAT66DA,坡道平面,430000,24.01
RPOPMLOLJHIFFAT78DA,坡道平面,430000,24.01
RPUNMLSJJHIFFAT66CA,坡道平面,0,
RPPNMLRJJHIFFAT78DA,其他,0,
RPXPMLOJKHIFFAT96DA,坡道平面,430000,24.01
RPVPMLOJKHIFFAT76DA,坡道平面,430000,24.01
RPWPMLOJKHIFFAT86DA,坡道平面,430000,24.01
RPWPMLOJKHIFFAT86DA,坡道平面,430000,24.01
RPQPMLOJKHIFFAT88DA,坡道平面,400000,24.01
RPTPMLOJKHIFFAT56DA,坡道平面,430000,24.01
RPPNMLLJKHIFFCT38CA,坡道平面,0,
RPSNMLLKJHIFFAT58DA,坡道平面,0,
RPQOMLTJJHIFFAT09CA,坡道平面,600000,26.23
RPTNMLLKJHIFFDT88CA,升降機械,0,
RPPNMLOKJHIFFAT48CA,坡道平面,0,
RPSOMLRKJHIFFAT56CA,坡道平面,0,
RPQPMLNLJHIFFAT78CA,坡道平面,0,
RPPNMLKLJHIFFAT18CA,坡道平面,0,
RPQOMLSKJHIFFAT09CA,坡道平面,0,
RPSNMLLJKHIFFDT78CA,一樓平面,0,
RPUPMLQKJHIFFAT76CA,坡道機械,0,
RPPNMLLLJHIFFDT58CA,升降機械,0,
RPROMLKLKHIFFAT68DA,坡道平面,400000,24.01
RPWNMLKLKHIFFAT09DA,坡道平面,400000,24.01
RPWNMLKLKHIFFAT09DA,坡道平面,400000,24.01
RPOOMLKLKHIFFAT38DA,坡道平面,430000,24.01
RPTOMLKLKHIFFAT88DA,坡道平面,430000,24.01
RPWNMLLLJHIFFAT98CA,坡道平面,0,
RPOPMLMLJHIFFAT48CA,坡道平面,0,
RPROMLTLJHIFFAT76CA,升降機械,0,
RPSNMLNLJHIFFCT98CA,坡道平面,120000,
RPRNMLLJKHIFFAT38CA,坡道平面,0,
RPUNMLLMJHIFFDT56CA,一樓平面,0,
RPRNMLSKKHIFFAT56CA,坡道平面,0,
RPPOMLLLKHIFFAT58DA,坡道平面,430000,24.01
RPQOMLLLKHIFFAT68DA,坡道平面,400000,24.01
RPRNMLLLKHIFFAT68DA,坡道平面,330000,24.01
RPTNMLLLKHIFFAT88DA,坡道平面,330000,24.01
RPSNMLLMJHIFFCT88CA,坡道平面,120000,
RPROMLLLKHIFFAT78DA,坡道平面,430000,24.01
RPROMLRLKHIFFAT76DA,坡道平面,430000,24.01
RPPOMLRLKHIFFAT56DA,坡道平面,400000,24.01
RPXNMLRJKHIFFAT96CA,坡道平面,0,
RPSOMLLMJHIFFAT78CA,一樓平面,0,
RPUNMLOJKHIFFAT98CA,坡道機械,0,
