編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSNMLPJJIHFFAV56CC,初鹿段,3117.00,都市：農
RPPNMLLJJIHFFAV58DC,台東段,110.00,都市：商
RPPNMLLJJIHFFAV58DC,台東段,39.00,都市：商
RPPNMLTJJIHFFAV76DC,馬蘭段,157.00,都市：住
RPTNMLPJJIHFFAV66CC,台東段,16.72,都市：住
RPSNMLNLJIHFFAV56CC,德安段,23.13,都市：住
RPRNMLNLJIHFFDV76CC,秀山段,64.48,都市：其他
RPRNMLNLJIHFFDV76CC,秀山段,101.81,都市：其他
RPRNMLNLJIHFFDV76CC,秀山段,10.06,都市：其他
RPQNMLPJJIHFFAV09DC,利家段,105.00,都市：住
RPTNMLRJKIHFFAV96CC,中山段,127.00,都市：住
RPQNMLQLJIHFFAV76DC,自強段,128.84,都市：住
RPVNMLRJKIHFFAV17CC,豐年段,4.99,都市：住
RPPNMLQLJIHFFAV66DC,馬蘭段,139.00,都市：住
RPRNMLQLJIHFFAV76CC,台東段,45.83,都市：住
RPUNMLSKKIHFFAV37DC,台東段,125.00,都市：住
RPUNMLRJKIHFFAV07CC,豐谷段,126.00,都市：住
RPOOMLOKKIHFFAV09DC,台東段,58.76,都市：住
RPRNMLTKKIHFFAV17DC,馬蘭段,47.30,都市：住
RPSNMLSLKIHFFAV17CC,豐年段,11.49,都市：住
RPQNMLMLKIHFFAV09DC,豐康段,121.22,都市：住
RPOOMLMLKIHFFAV88CC,台東段,112.00,都市：住
RPRNMLLMJHIFFAV98CC,建成段,99.40,都市：住
RPTOMLOJJHIFFAV76DC,台東段,56.00,都市：住
RPWNMLRKJHIFFAV37DC,豐年段,4.90,都市：住
RPTNMLSJJHIFFAV07DC,常德段,3.25,都市：住
RPTNMLSJJHIFFAV07DC,常德段,111.60,都市：住
RPQNMLSJJHIFFAV66CC,利家段,2515.00,都市：農
RPRNMLSLJHIFFAV96CC,南清段,129.94,都市：住
RPSNMLSLJHIFFAV07CC,台東段,12.68,都市：住
RPTNMLSLJHIFFAV17CC,下賓朗段,119.53,都市：其他
RPUNMLOLJHIFFAV96DC,馬蘭段,165.00,都市：住
