編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLKKJHIFFAZ88DA,1,137.33,住家用,鋼筋混凝土造,101年8月8日,5,二層
RPQNMLKKJHIFFAZ88DA,1,137.33,住家用,鋼筋混凝土造,101年8月8日,5,二層
RPQNMLKKJHIFFAZ88DA,1,137.33,住家用,鋼筋混凝土造,101年8月8日,5,三層
RPQNMLKKJHIFFAZ88DA,1,137.33,住家用,鋼筋混凝土造,101年8月8日,5,五層
RPQNMLKKJHIFFAZ88DA,1,137.33,住家用,鋼筋混凝土造,101年8月8日,5,四層
RPQNMLKKJHIFFAZ88DA,1,137.33,住家用,鋼筋混凝土造,101年8月8日,5,三層
RPQNMLKKJHIFFAZ88DA,1,137.33,住家用,鋼筋混凝土造,101年8月8日,5,四層
RPQNMLKKJHIFFAZ88DA,1,137.33,住家用,鋼筋混凝土造,101年8月8日,5,五層
RPQNMLKKJHIFFAZ88DA,1,184.30,見其他登記事項,鋼筋混凝土造,101年8月8日,五層,
RPPNMLQLKIHFFAZ96DA,8,43.38,見其他登記事項,鋼筋混凝土造,94年4月14日,四層,四層
