編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOQMLLJKHIFFBJ67CC,站後段,.00,都市：住
RPQPMLPJKHIFFBJ18CC,隘興段,.00,都市：住
RPSOMLOJKHIFFBJ18CC,公園段,.00,都市：住
RPRPMLOJKHIFFBJ18CC,大學段,.00,都市：住
RPOPMLPJKHIFFBJ97CC,永興段,.00,都市：住
RPWOMLOJKHIFFBJ58CC,隘興段,.00,都市：住
RPRQMLLJKHIFFBJ97CC,世興段,39.02,都市：商
RPPPMLPJKHIFFBJ08CC,中興段,.00,都市：住
RPPPMLOJKHIFFBJ97CC,大學段,.00,都市：住
RPQNMLMJKHIFFCJ77CC,竹東段番社子小段,11.84,都市：住
RPRPMLPJKHIFFBJ28CC,站前段,.00,都市：住
RPQOMLRJKHIFFBJ28CC,縣福段,.00,都市：住
RPSPMLPJKHIFFBJ38CC,台科段,.00,都市：住
RPOOMLRJKHIFFBJ08CC,自強段,.00,都市：住
RPRNMLQJKHIFFBJ28DC,縣福段,41.38,都市：商
RPUOMLRJKHIFFBJ68CC,公園段,.00,都市：住
RPTOMLRJKHIFFBJ58CC,大學段,.00,都市：住
RPRPMLTKKHIFFBJ88DC,永興段,.00,都市：住
RPPPMLTKKHIFFBJ68DC,隘興段,.00,都市：住
RPXOMLLLKHIFFBJ58CC,縣華段,78.78,都市：住
RPTOMLTKKHIFFBJ88CC,隘興段,.00,都市：住
RPOOMLSLKHIFFBJ38CC,永興段,.00,都市：住
RPQNMLPLKHIFFBJ18CC,公園段,.00,都市：住
RPWNMLQLKHIFFBJ98DC,豆子埔段,11.60,都市：住
RPRNMLPLKHIFFBJ28CC,東華段,.00,都市：住
RPVNMLPLKHIFFBJ68CC,永興段,.00,都市：住
RPOOMLPLKHIFFBJ08CC,自強段,.00,都市：住
RPSNMLPLKHIFFBJ38CC,隘興段,.00,都市：住
RPWNMLOJLHIFFBJ58CC,隘興段,.00,都市：住
RPTNMLLKLHIFFCJ28DC,中山段,22.54,都市：商
RPSOMLNKLHIFFBJ28CC,世興段,.00,都市：住
RPTOMLNKLHIFFBJ38CC,永興段,.00,都市：住
RPUOMLNKLHIFFBJ48CC,東興段,.00,都市：住
RPVNMLOKLHIFFBJ58CC,永興段,.00,都市：住
RPQPMLNKLHIFFBJ18CC,大學段,.00,都市：住
RPWOMLNKLHIFFBJ68CC,隘興段,.00,都市：住
RPWNMLSKKHIFFDJ56CC,中美段,67.62,都市：住
RPXNMLOKLHIFFBJ78CC,隘興段,.00,都市：住
RPOPMLNKLHIFFBJ97CC,公園段,.00,都市：住
RPPPMLNKLHIFFBJ08CC,家興段,.00,都市：住
RPWPMLRJLHIFFDJ66CC,福陽段,.00,都市：農
RPTNMLTKKHIFFDJ98CC,祥湖段,.00,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPTNMLTKKHIFFDJ98CC,祥湖段,.00,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPTNMLTKKHIFFDJ98CC,祥湖段,.00,非都市：特定農業區 ; 非都市編定：丁種建築用地
