鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
員林市,房地(土地+建物),彰化縣員林鎮成功路37巷1~30號,22.66,住,,,1020202,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820910,78.57,3,2,2,有,無,有,7500,95,,0.0,0,,RPVNMLPJKHIFFDN09CC
和美鎮,房地(土地+建物),彰化縣和美鎮美寮路二段511~540號,110.0,住,,,1020205,土地1建物1車位0,全,4,透天厝,見其他登記事項,見其他登記事項,0930729,195.93,7,2,4,有,無,無,20000,102,,0.0,0,,RPRNMLPJKHIFFBN58DC
鹿港鎮,建物,彰化縣鹿港鎮中山路151~180號,221.85,住,,,1020211,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0221005,94.58,3,2,2,有,無,有,36000,381,,0.0,0,僅一樓地平面騎樓及地面層店鋪共94.58平方公尺,RPTNMLRJKHIFFCN09DC
彰化市,建物,彰化縣彰化市民生南路31~60號,0.0,住,,,1020201,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0660401,210.56,0,0,0,無,無,無,23000,109,,0.0,0,,RPQPMLRJKHIFFAN68CC
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮頂厝里舊港巷1~30號,71.0,住,鄉村區,乙種建築用地,1020225,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0880116,113.63,4,2,3,有,無,無,5000,44,,0.0,0,,RPRNMLKLKHIFFCN38DC
彰化市,房地(土地+建物),彰化縣彰化市彰草路443巷19弄1~30號,49.97,住,,,1020317,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0661207,78.0,3,2,2,有,無,無,5000,64,,0.0,0,,RPUNMLQLKHIFFAN09DC
彰化市,房地(土地+建物),彰化縣彰化市三民路237巷31~60號,80.28,住,,,1020301,土地1建物2車位0,一層,12,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0820621,118.48,0,0,0,無,無,無,40000,338,,0.0,0,"租金內含管理費,出租方須扣除10%的租賃所得稅及2%健保補充保費",RPVPMLQLKHIFFAN76DC
北斗鎮,房地(土地+建物),彰化縣北斗鎮文子巷1~30號,508.0,商,,,1020301,土地2建物2車位0,一層,3,店面(店鋪),住商用,鋼筋混凝土造,0780306,275.28,0,0,0,無,無,無,4500,16,,0.0,0,承租人自行整修屋內修繕,RPQNMLOJLHIFFFN78CC
福興鄉,建物,彰化縣福興鄉中正路148巷1~30號,13.1,住,,,1020301,土地0建物1車位0,一層,1,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0881014,84.01,3,2,2,有,無,有,8000,95,,0.0,0,,RPQNMLOJLHIFFCN58DC
二林鎮,房地(土地+建物),彰化縣二林鎮明德街151~180號,82.0,住,,,1020219,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0860106,192.38,4,2,3,有,無,有,7000,36,,0.0,0,,RPQNMLPJLHIFFGN09DC
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮鹿和路四段45巷30弄1~30號,99.96,,鄉村區,乙種建築用地,1020220,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1010601,211.13,5,2,3,有,無,有,18000,85,,0.0,0,,RPRNMLQJLHIFFCN88DC
員林市,房地(土地+建物),彰化縣員林鎮中山路一段751~780號,194.0,商,,,1020315,土地2建物1車位0,一層,2,店面(店鋪),住商用,磚造,0340115,433.0,0,0,0,無,無,無,70000,162,,0.0,0,,RPSNMLQJLHIFFDN98CC
鹿港鎮,土地,順興段391~420地號,88.27,住,,,1020205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,5000,57,,0.0,0,,RPUNMLRJLHIFFCN56CC
北斗鎮,房地(土地+建物),彰化縣北斗鎮斗苑路二段451~480號,161.0,,特定農業區,甲種建築用地,1020401,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0691230,147.88,0,0,0,無,無,無,15000,101,,0.0,0,,RPSNMLRJLHIFFFN76DC
彰化市,房地(土地+建物),彰化縣彰化市大埔路451~480號,84.0,住,,,1020320,土地1建物1車位0,三層,3,店面(店鋪),住商用,鋼筋混凝土造,0680322,165.84,5,2,3,有,無,無,23000,139,,0.0,0,,RPOOMLPKLHIFFAN48DC
和美鎮,房地(土地+建物),彰化縣和美鎮和東里彰美路五段243及241~270號,296.5,住,,,1020228,土地1建物2車位0,二層,2,店面(店鋪),見其他登記事項,見其他登記事項,1010222,640.88,0,0,0,無,無,無,100000,156,,0.0,0,,RPQNMLTKLHIFFBN98CC
埔鹽鄉,土地,義和段601~630地號,1637.0,農,特定農業區,農牧用地,1020225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,16000,10,,0.0,0,,RPPNMLPLLHIFFHN66DC
北斗鎮,建物,彰化縣北斗鎮中華路211~240號,0.0,商,,,1020320,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0741220,243.28,0,0,0,無,無,無,47728,196,,0.0,0,,RPVNMLRLLHIFFFN17CC
鹿港鎮,土地,鹿鳳段1051~1080地號,61.43,,鄉村區,乙種建築用地,1020501,土地1建物0車位0,,,店面(店鋪),,,,0.0,0,0,0,無,無,無,10000,163,,0.0,0,含增建或未登記建物。,RPUNMLLJMHIFFCN78DC
和美鎮,房地(土地+建物),彰化縣和美鎮忠孝路327巷1~30號,77.0,住,,,1020401,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0990924,145.91,4,2,3,有,無,有,17000,117,,0.0,0,,RPQNMLMJMHIFFBN38DC
彰化市,房地(土地+建物),彰化縣彰化市彰美路一段211~240號,81.0,住,,,1020315,土地1建物1車位0,四層,4,店面(店鋪),住商用,鋼筋混凝土造,0691231,215.48,5,3,4,有,無,有,30000,139,,0.0,0,,RPPOMLMJMHIFFAN28DC
和美鎮,建物,彰化縣和美鎮永樂路91~120號,0.0,住,,,1020322,土地0建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土加強磚造,0690918,57.49,0,1,1,有,無,無,15000,261,,0.0,0,,RPQNMLRKMHIFFBN88CC
彰化市,房地(土地+建物),彰化縣彰化市四維路69巷1弄1~30號,22.15,住,,,1020410,土地1建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830722,141.01,4,2,2,有,有,無,9000,64,,0.0,0,,RPTNMLTKMHIFFAN76DC
彰化市,房地(土地+建物),彰化縣彰化市中山路一段481~510號,1775.0,住,,,1020412,土地4建物2車位0,全,,透天厝,,,,1466.12,1,1,1,有,無,無,270000,184,,0.0,0,,RPQNMLMLMHIFFAN48DC
埔鹽鄉,房地(土地+建物),彰化縣埔鹽鄉番金路91~120號,1366.0,,特定農業區,甲種建築用地,1020329,土地1建物1車位0,一層,1,倉庫,工業用,見其他登記事項,0671222,409.63,0,0,0,無,無,無,40000,,,0.0,0,,RPQNMLNLMHIFFHN56CC
彰化市,房地(土地+建物),彰化縣彰化市平和一街61~90號,7.0,住,,,1020421,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810317,45.5,1,0,1,有,無,有,4990,110,,0.0,0,,RPOOMLOLMHIFFAN58DC
彰化市,房地(土地+建物),彰化縣彰化市建國東路331~360號,90.63,住,,,1020420,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0840116,200.08,4,3,3,有,無,無,13500,67,,0.0,0,,RPRNMLQLMHIFFAN98DC
北斗鎮,房地(土地+建物),彰化縣北斗鎮西德里八德路71巷1~30號,124.0,住,,,1020501,土地2建物1車位0,全,3,透天厝,住工用,鋼筋混凝土造,0790809,155.76,4,2,3,有,無,無,7500,48,,0.0,0,,RPSNMLTLMHIFFFN17CC
