編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPQQNLLLLHIFFAO68DB,坡道平面,0,30.71
RPQQNLLLLHIFFAO68DB,坡道平面,0,30.71
RPXPNLLLLHIFFAO66DB,坡道平面,0,30.71
RPTRNLLLLHIFFAO09DB,坡道平面,0,30.71
RPQRNLLLLHIFFAO78DB,坡道平面,0,30.71
RPORNLLLLHIFFAO58DB,坡道平面,0,30.71
RPQPNLLLLHIFFAO58DB,坡道平面,0,26.73
RPUPNLLLLHIFFAO98DB,坡道平面,0,30.71
RPSPNLLLLHIFFAO78DB,坡道平面,0,30.71
RPWPNLLLLHIFFAO56DB,坡道平面,0,30.71
RPWRNLLLLHIFFAO76DB,坡道平面,0,30.71
RPWRNLLLLHIFFAO76DB,坡道平面,0,30.71
RPQSNLLLLHIFFAO88DB,坡道平面,0,30.71
RPQSNLLLLHIFFAO88DB,坡道平面,0,30.71
RPVRNLLLLHIFFAO66DB,坡道平面,0,30.71
RPPSNLLLLHIFFAO78DB,坡道平面,0,26.73
RPPSNLLLLHIFFAO78DB,坡道平面,0,26.73
RPURNLLLLHIFFAO56DB,坡道平面,0,30.71
RPSRNLLLLHIFFAO98DB,坡道平面,0,30.71
RPUQMLQLLHIFFAO86DB,坡道平面,0,26.45
RPUQMLQLLHIFFAO86DB,坡道平面,0,26.45
RPPRMLQLLHIFFAO09DB,坡道平面,0,36.36
RPWQMLQLLHIFFAO07DB,坡道平面,0,26.45
RPXQMLQLLHIFFAO17DB,坡道平面,0,36.36
RPSRMLQLLHIFFAO76DB,坡道平面,0,23.14
RPSRMLQLLHIFFAO76DB,坡道平面,0,23.14
RPORMLQLLHIFFAO98DB,坡道平面,0,36.36
RPTRMLQLLHIFFAO86DB,坡道平面,0,23.14
RPTRMLQLLHIFFAO86DB,坡道平面,0,21.49
RPRRMLQLLHIFFAO66DB,坡道平面,0,26.45
RPQRMLQLLHIFFAO56DB,坡道平面,0,36.36
RPTQMLQLLHIFFAO76DB,坡道平面,0,36.36
RPWOMLRLLHIFFAO96DB,坡道平面,0,23.14
RPSQMLRLLHIFFAO76DB,坡道平面,0,30.71
RPSQMLRLLHIFFAO76DB,坡道平面,0,30.71
RPOPMLRLLHIFFAO88DB,坡道平面,0,36.36
RPRPMLRLLHIFFAO56DB,坡道平面,0,26.45
RPRPMLRLLHIFFAO56DB,坡道平面,0,26.45
RPQPMLRLLHIFFAO09DB,坡道平面,0,26.45
RPQPMLRLLHIFFAO09DB,坡道平面,0,26.45
RPQPMLRLLHIFFAO09DB,坡道平面,0,23.14
RPTOMLRLLHIFFAO66DB,坡道平面,0,26.45
RPTOMLRLLHIFFAO66DB,坡道平面,0,26.45
RPTPMLRLLHIFFAO76DB,坡道平面,0,30.71
RPQQMLRLLHIFFAO56DB,坡道平面,0,26.73
