編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSNMLTJMHIFFDQ27EC,中庄段,66.25,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLTJMHIFFDQ27EC,中庄段,37.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLMKLHIFFBQ68CC,鎮安段,2467.10,都市：住
RPRNMLOJLHIFFBQ78CC,嘉朴段,718.00,都市：商
RPQNMLLJKHIFFBQ28CC,嘉朴段,15.17,都市：住
RPQNMLTJMHIFFBQ66CC,嘉朴段,111.50,都市：住
RPPNMLPKMHIFFBQ88CC,嘉朴段,5758.57,都市：住
RPSNMLLJKHIFFBQ48CC,嘉朴段,15.20,都市：住
RPQNMLOJLHIFFBQ68CC,嘉朴段,5758.57,都市：住
RPUNMLTJMHIFFBQ27EC,嘉朴段,5758.57,都市：住
RPPNMLTJMHIFFBQ56CC,嘉朴段,5758.57,都市：住
RPQNMLQJKHIFFBQ78CC,文化段,85.00,非都市： ; 非都市編定：
RPVNMLKMMHIFFBQ56CC,大鄉段,88.07,都市：住
