編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLMJKHIFFAU88CC,18,24.12,住家用,鋼筋混凝土造,83年11月15日,十二層,
RPROMLMJKHIFFAU88CC,18,7.56,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPROMLMJKHIFFAU88CC,18,3.97,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPXOMLLJKHIFFAU86DC,16,119.96,住家用,鋼筋混凝土造,86年2月20日,六層,
RPXOMLLJKHIFFAU86DC,16,41.82,共有部份,鋼筋混凝土造,86年2月20日,六層,
RPPOMLOJKHIFFAU88CC,18,222.76,住商用,鋼筋混凝土造,83年10月3日,三層,
RPQOMLOJKHIFFAU98CC,21,70.14,住家用,鋼筋混凝土造,81年1月21日,六層,
RPXOMLOJKHIFFAU07CC,17,60.06,住家用,鋼筋混凝土造,85年3月9日,七層,
RPXOMLOJKHIFFAU07CC,17,2.81,共有部份,鋼筋混凝土造,85年3月9日,七層,
RPWOMLOJKHIFFAU17EC,8,210.07,住家用,鋼筋混凝土造,94年3月29日,三層,
RPOPMLLJKHIFFAU68DC,34,100.80,住商用,鋼筋混凝土加強磚造,67年9月11日,二層,
RPQPMLLJKHIFFAU88DC,22,213.98,住家用,鋼筋混凝土造,79年12月6日,三層,
RPWOMLOJKHIFFAU96CC,17,60.06,住家用,鋼筋混凝土造,85年3月9日,七層,
RPWOMLOJKHIFFAU96CC,17,2.81,共有部份,鋼筋混凝土造,85年3月9日,七層,
RPWOMLLJKHIFFAU76DC,8,197.09,住商用,鋼筋混凝土造,94年3月29日,四層,
RPPPMLLJKHIFFAU78DC,18,105.33,住家用,鋼筋混凝土造,84年4月17日,六層,
RPPPMLLJKHIFFAU78DC,18,19.99,共有部份,鋼筋混凝土造,84年4月17日,六層,
RPPPMLLJKHIFFAU78DC,18,13.04,共有部份,鋼筋混凝土造,84年4月17日,六層,
RPQPMLPJKHIFFAU56CC,28,111.98,商業用,鋼筋混凝土造,73年8月27日,五層,
RPQNMLQJKHIFFAU09CC,7,42.84,住商用,鋼筋混凝土造,95年1月13日,四層,
RPRNMLQJKHIFFAU56CC,14,85.60,住商用,鋼筋混凝土造,87年10月9日,五層,
RPRNMLQJKHIFFAU56CC,14,13.53,共有部份,鋼筋混凝土造,87年10月9日,五層,
RPRNMLQJKHIFFAU56CC,14,29.48,共有部份,鋼筋混凝土造,87年10月9日,五層,
RPQOMLKLKHIFFAU78CC,20,166.88,住家用,鋼筋混凝土造,81年12月31日,三層,
RPQOMLRJKHIFFAU66CC,15,129.96,商業用,鋼筋混凝土造,86年8月5日,五層,
RPVNMLRJKHIFFAU07CC,2,18.20,住家用,鋼筋混凝土造,100年2月8日,二層,
RPSOMLLLKHIFFAU09CC,44,85.52,住家用,見其他登記事項,,一層,
RPPQMLRJKHIFFAU76CC,8,251.31,住家用,鋼筋混凝土造,93年9月15日,四層,
RPQOMLLLKHIFFAU88CC,17,209.95,住商用,鋼筋混凝土造,85年3月25日,三層,
RPTNMLLLKHIFFAU09CC,18,27.02,住家用,鋼筋混凝土造,84年3月21日,十三層,
RPROMLLLKHIFFAU98CC,24,84.65,住商用,,77年9月9日,一層,
RPWNMLRJKHIFFAU17CC,2,18.20,住家用,鋼筋混凝土造,100年2月8日,二層,
RPSOMLRJKHIFFAU86CC,18,17.02,住商用,鋼筋混凝土造,84年5月3日,五層,
RPQOMLLLKHIFFAU09EC,17,49.08,住家用,鋼筋混凝土造,85年5月13日,五層,
RPQOMLLLKHIFFAU09EC,17,11.63,共有部份,鋼筋混凝土造,85年3月13日,五層,
RPPNMLMLKHIFFAU78CC,35,98.47,住商用,鋼筋混凝土加強磚造,66年9月7日,二層,
RPOOMLMLKHIFFAU78CC,7,266.39,住家用,鋼筋混凝土造,95年3月24日,四層,
RPUNMLPLKHIFFAU07DC,9,97.50,住商用,鋼筋混凝土造,93年3月3日,二層,
RPROMLPLKHIFFAU86DC,16,51.23,住家用,鋼筋混凝土造,86年6月20日,五層,
RPROMLPLKHIFFAU86DC,16,10.66,共有部份,鋼筋混凝土造,86年6月20日,五層,
RPQOMLPLKHIFFAU76DC,15,97.35,住家用,鋼筋混凝土造,86年8月27日,九層,
RPQOMLPLKHIFFAU76DC,15,15.25,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPQOMLPLKHIFFAU76DC,15,12.97,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPQOMLPLKHIFFAU76DC,15,4.42,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPXNMLPLKHIFFAU37DC,26,85.19,住家用,鋼筋混凝土造,76年1月13日,五層,
RPXNMLPLKHIFFAU37DC,26,4.87,共有部份,鋼筋混凝土造,76年1月13日,五層,
RPXNMLPLKHIFFAU37DC,26,8.95,共有部份,鋼筋混凝土造,76年1月13日,五層,
RPPOMLPLKHIFFAU66DC,18,53.10,住家用,鋼筋混凝土造,83年11月17日,七層,
RPPOMLPLKHIFFAU66DC,18,17.58,共有部份,鋼筋混凝土造,83年11月17日,七層,
RPVNMLPLKHIFFAU17DC,20,114.66,住家用,鋼筋混凝土造,82年1月9日,七層,
RPVNMLPLKHIFFAU17DC,20,10.26,共有部份,鋼筋混凝土造,82年1月9日,七層,
RPVNMLPLKHIFFAU17DC,20,12.76,共有部份,鋼筋混凝土造,82年1月9日,七層,
RPRNMLLKLHIFFAU88CC,,76.76,住家用,鋼筋混凝土造,,五層,
RPTNMLLKLHIFFAU09CC,21,157.86,住家用,鋼筋混凝土造,81年6月18日,三層,
RPROMLSJLHIFFAU96CC,18,41.77,住家用,鋼筋混凝土造,84年6月8日,七層,
RPPNMLSLKHIFFAU76CC,17,69.02,住家用,鋼筋混凝土造,84年9月19日,六層,
RPPNMLSLKHIFFAU76CC,17,34.18,共有部份,鋼筋混凝土造,84年9月19日,六層,
RPUNMLSJLHIFFAU17CC,16,23.59,住家用,鋼筋混凝土造,85年11月4日,六層,
RPUNMLSJLHIFFAU17CC,16,9.80,共有部份,鋼筋混凝土造,85年11月4日,六層,
RPTNMLSJLHIFFAU07CC,14,55.24,住家用,鋼筋混凝土造,88年7月27日,六層,
RPTNMLSJLHIFFAU07CC,14,22.68,共有部份,鋼筋混凝土造,88年7月27日,六層,
RPUNMLLKLHIFFAU56CC,14,165.18,農舍,見其他登記事項,87年11月23日,一層,
RPVNMLLKLHIFFAU86EC,25,39.62,住家用,鋼筋混凝土造,76年11月4日,七層,
RPVNMLLKLHIFFAU86EC,25,11.69,共有部份,鋼筋混凝土造,76年11月4日,七層,
RPTNMLSLKHIFFAU17CC,20,84.32,見其他登記事項,鋼筋混凝土造,81年9月30日,八層,
RPTNMLSLKHIFFAU17CC,20,24.35,共有部份,鋼筋混凝土造,81年9月30日,八層,
RPQNMLSLKHIFFAU86CC,17,95.97,國民住宅,鋼筋混凝土造,85年3月25日,五層,
RPQNMLSLKHIFFAU86CC,17,41.31,共有部份,鋼筋混凝土造,85年3月25日,五層,
RPVNMLOKLHIFFAU96CC,21,56.56,住家用,鋼筋混凝土造,81年1月28日,四層,
RPVNMLOKLHIFFAU96CC,21,10.06,共有部份,鋼筋混凝土造,81年1月28日,四層,
RPSNMLSLKHIFFAU07CC,23,30.82,住家用,鋼筋混凝土造,78年11月4日,六層,
RPSNMLSLKHIFFAU07CC,23,9.04,共有部份,鋼筋混凝土造,78年11月4日,六層,
RPQNMLPKLHIFFAU56CC,19,64.26,住家用,鋼筋混凝土造,83年1月10日,九層,
RPQNMLPKLHIFFAU56CC,19,28.79,共有部份,鋼筋混凝土造,83年1月10日,九層,
RPPNMLPKLHIFFAU09CC,17,46.35,住家用,鋼筋混凝土造,84年9月19日,六層,
RPPNMLPKLHIFFAU09CC,17,22.55,共有部份,鋼筋混凝土造,84年9月19日,六層,
RPQNMLSKLHIFFAU86CC,18,76.36,住家用,鋼筋混凝土造,83年10月26日,九層,
RPQNMLSKLHIFFAU86CC,18,6.07,共有部份,鋼筋混凝土造,83年10月26日,九層,
RPQNMLSKLHIFFAU86CC,18,19.92,共有部份,鋼筋混凝土造,83年10月26日,九層,
RPSNMLSKLHIFFAU07CC,22,102.26,住商用,鋼筋混凝土造,80年5月31日,二層,
RPXNMLSKLHIFFAU57CC,18,105.65,商業用,鋼造,83年10月15日,一層,
RPOOMLSKLHIFFAU76CC,19,185.24,住家用,鋼筋混凝土造,83年1月27日,三層,
RPWNMLMLLHIFFAU07DC,29,111.24,住商用,鋼筋混凝土造,72年9月30日,二層,
RPOPMLMLLHIFFAU09DC,20,72.87,見其他登記事項,鋼筋混凝土造,81年9月30日,八層,
RPOPMLMLLHIFFAU09DC,20,16.84,共有部份,鋼筋混凝土造,81年9月30日,八層,
RPUNMLMLLHIFFAU86DC,18,27.33,住家用,鋼筋混凝土造,84年3月16日,五層,
RPUNMLMLLHIFFAU86DC,18,7.18,共有部份,鋼筋混凝土造,84年3月16日,五層,
RPVOMLSKLHIFFAU47CC,37,107.49,住家用,鋼筋混凝土加強磚造,65年4月8日,二層,
RPQOMLMLLHIFFAU56DC,15,98.35,住家用,鋼筋混凝土造,86年11月27日,五層,
RPQOMLMLLHIFFAU56DC,15,12.22,共有部份,鋼筋混凝土造,86年11月27日,五層,
RPOOMLMLLHIFFAU98DC,17,67.89,住家用,鋼筋混凝土造,85年7月16日,七層,
RPOOMLMLLHIFFAU98DC,17,22.15,共有部份,鋼筋混凝土造,85年7月16日,七層,
RPXNMLSKLHIFFAU77EC,29,83.57,住商用,鋼筋混凝土造,73年6月25日,五層,
RPXNMLSKLHIFFAU77EC,29,5.69,共有部份,鋼筋混凝土造,73年6月25日,五層,
RPXNMLSKLHIFFAU77EC,29,8.00,共有部份,鋼筋混凝土造,73年6月25日,五層,
RPXNMLSKLHIFFAU77EC,29,66.44,住商用,鋼筋混凝土造,73年6月25日,五層,
RPXNMLSKLHIFFAU77EC,29,5.69,共有部份,鋼筋混凝土造,73年6月25日,五層,
RPXNMLSKLHIFFAU77EC,29,6.97,共有部份,鋼筋混凝土造,73年6月25日,五層,
RPRPMLMLLHIFFAU66CC,30,200.14,住商用,鋼筋混凝土造,71年12月29日,三層,
RPPOMLMLLHIFFAU98CC,20,84.32,見其他登記事項,鋼筋混凝土造,81年9月30日,八層,
RPPOMLMLLHIFFAU98CC,20,24.36,共有部份,鋼筋混凝土造,81年9月30日,八層,
RPVNMLPLLHIFFAU17CC,18,93.28,住家用,鋼筋混凝土造,84年6月30日,七層,
RPUOMLQLLHIFFAU47EC,26,30.25,住家用,鋼筋混凝土造,75年10月27日,二層,
RPQNMLQLLHIFFAU76CC,17,76.23,住家用,鋼筋混凝土造,85年1月11日,五層,
RPVNMLSJMHIFFAU37CC,33,122.94,住家用,鋼筋混凝土加強磚造,68年9月26日,二層,
RPTNMLMJMHIFFAU56CC,23,694.81,見其他登記事項,鋼筋混凝土造,78年2月20日,七層,
RPOOMLLJMHIFFAU68CC,17,25.19,共有部份,鋼筋混凝土造,85年2月9日,五層,
RPOOMLLJMHIFFAU68CC,17,207.00,住家用,鋼筋混凝土造,85年2月9日,五層,
RPRNMLSLLHIFFAU07CC,19,25.09,住家用,鋼筋混凝土造,83年8月4日,五層,
RPUNMLSLLHIFFAU37CC,31,75.72,住商用,鋼筋混凝土加強磚造,70年10月5日,二層,
RPTOMLSLLHIFFAU47DC,18,88.28,住家用,鋼筋混凝土造,84年2月22日,八層,
RPTOMLSLLHIFFAU47DC,18,18.00,共有部份,鋼筋混凝土造,84年2月22日,八層,
RPTOMLSLLHIFFAU47DC,18,6.12,停車空間,鋼筋混凝土造,84年2月22日,八層,
RPTOMLSLLHIFFAU47DC,18,14.75,共有部份,鋼筋混凝土造,84年2月22日,八層,
RPVNMLSLLHIFFAU47CC,34,312.96,住家用,鋼筋混凝土造,67年12月18日,七層,
RPPNMLPJMHIFFAU09CC,18,167.18,住家用,鋼筋混凝土造,84年4月28日,四層,
RPQPMLMKMHIFFAU56CC,23,248.16,住商用,鋼筋混凝土造,78年11月24日,四層,
RPWNMLMKMHIFFAU07DC,18,76.73,住家用,鋼筋混凝土造,84年3月21日,十四層,
RPWNMLMKMHIFFAU07DC,18,8.20,共有部份,鋼筋混凝土造,84年3月21日,十三層,
RPWNMLMKMHIFFAU07DC,18,9.80,共有部份,鋼筋混凝土造,84年3月21日,十四層,
RPQNMLMKMHIFFAU09DC,28,128.21,住家用,鋼筋混凝土造,74年5月7日,二層,
RPUNMLMKMHIFFAU86DC,17,61.62,住家用,鋼筋混凝土造,85年1月30日,五層,
RPUNMLMKMHIFFAU86DC,17,10.78,共有部份,鋼筋混凝土造,85年1月30日,五層,
RPVNMLMKMHIFFAU96DC,19,107.56,住家用,鋼筋混凝土造,82年12月15日,六層,
RPVNMLMKMHIFFAU96DC,19,37.26,共有部份,鋼筋混凝土造,82年12月15日,六層,
RPXNMLMKMHIFFAU17DC,27,20.07,見其他登記事項,鋼筋混凝土造,75年5月31日,九層,
RPXNMLMKMHIFFAU17DC,27,14.14,共有部份,鋼筋混凝土造,75年5月31日,九層,
RPRPMLMKMHIFFAU66CC,23,242.40,住商用,鋼筋混凝土造,78年12月8日,四層,
RPSNMLMKMHIFFAU66DC,40,55.35,商業用,鋼筋混凝土造,62年3月27日,二層,
RPPOMLMKMHIFFAU09DC,22,218.58,住工用,鋼筋混凝土造,80年2月11日,三層,
RPQOMLMKMHIFFAU56DC,1,130.71,住家用,鋼筋混凝土造,101年1月9日,四層,
RPUOMLPKMHIFFAU17CC,16,67.23,住家用,鋼筋混凝土造,86年8月27日,九層,
RPUOMLPKMHIFFAU17CC,16,11.11,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPUOMLPKMHIFFAU17CC,16,9.14,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPUOMLPKMHIFFAU17CC,16,3.04,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPVOMLPKMHIFFAU27CC,36,64.54,住家用,鋼筋混凝土加強磚造,66年9月30日,一層,
RPOPMLTKMHIFFAU27EC,31,194.64,住商用,鋼筋混凝土造,71年9月8日,三層,
RPSOMLMLMHIFFAU96EC,19,120.84,住商用,鋼筋混凝土造,83年5月20日,四層,
RPUOMLTKMHIFFAU57CC,25,119.34,商業用,鋼筋混凝土造,77年5月3日,九層,
RPXOMLTKMHIFFAU08EC,30,98.72,住商用,鋼筋混凝土造,72年6月29日,四層,
RPVOMLTKMHIFFAU67CC,15,37.87,住家用,鋼筋混凝土造,87年5月7日,十層,
RPOOMLMLMHIFFAU98CC,41,71.34,住家用,鋼筋混凝土加強磚造,61年2月11日,二層,
RPVOMLMLMHIFFAU07CC,29,206.01,住商用,鋼筋混凝土造,72年12月28日,三層,
RPPNMLRLMHIFFAU86CC,40,118.32,住家用,鋼筋混凝土加強磚造,61年11月2日,二層,
RPQOMLQLMHIFFAU07DC,16,30.74,住家用,鋼筋混凝土造,85年12月13日,五層,
