鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
台東市,房地(土地+建物),臺東縣臺東市中興路二段421~450號,23.99,商,,,1020210,土地1建物1車位0,一層,9,店面(店鋪),見其他登記事項,鋼筋混凝土造,0850628,120.03,0,0,1,無,有,無,18000,150,,0.0,0,,RPQNMLNLKHIFFAV56DC
台東市,建物,臺東縣臺東市更生路821巷1~30號,72.0,住,,,1020201,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0840613,148.35,4,2,2,有,無,無,6000,40,,0.0,0,,RPRNMLNLKHIFFAV66DC
台東市,房地(土地+建物),臺東縣臺東市長沙街391~420號,86.0,住,,,1020301,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0730903,110.64,0,0,0,無,無,無,15000,136,,0.0,0,,RPPNMLMKLHIFFAV98DC
台東市,房地(土地+建物),臺東縣臺東市漢中街149巷1~30號,147.68,住,,,1020313,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0840608,214.92,5,2,4,有,無,無,15000,70,,0.0,0,,RPPNMLKLLHIFFAV88DC
台東市,土地,東海段1051~1080地號,9.52,住,,,1020301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,7000,735,,0.0,0,,RPWNMLPLLHIFFAV47DC
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路61~90號,3063.04,其他,,,1020315,土地13建物1車位0,見其他登記事項,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0831230,6043.25,114,1,114,有,有,有,1800000,298,,0.0,0,,RPPNMLNJMHIFFDV66CC
台東市,房地(土地+建物),臺東縣臺東市仁七街181~210號,110.0,住,,,1020401,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0840701,232.64,4,3,4,有,無,無,15000,64,,0.0,0,,RPPNMLTJMHIFFAV07DC
台東市,土地,新生段1591~1620地號,8001.0,農,,,1020410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,12500,2,,0.0,0,,RPTNMLMKMHIFFAV76CC
台東市,房地(土地+建物),臺東縣臺東市漢陽北路408巷2弄1~30號,82.46,住,,,1020401,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0691001,93.0,3,2,2,有,無,無,10000,108,,0.0,0,,RPPOMLSKMHIFFAV17DC
