編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRPMLQJNHIFFAB57CA,5,249.01,見其他登記事項,鋼筋混凝土造,97年6月27日,三層,一層 二層 三層 地下一層 見其他登記事項
RPRPMLQJNHIFFAB57CA,5,19.55,見其他登記事項,鋼筋混凝土造,97年6月27日,三層,
RPUOMLPJNHIFFAB67CA,32,60.15,住家用,鋼筋混凝土造,70年6月10日,五層,五層
RPUOMLNJNHIFFAB47CA,7,97.69,見其他登記事項,鋼筋混凝土造,94年12月19日,十二層,十一層
RPUOMLNJNHIFFAB47CA,7,75.23,見其他登記事項,鋼筋混凝土造,94年12月19日,十二層,
RPUOMLNJNHIFFAB47CA,7,22.31,見其他登記事項,鋼筋混凝土造,94年12月19日,十二層,
RPXNMLOJNHIFFAB77CA,,54.00,住家用,加強磚造,,二層,一層 二層
RPWOMLRJNHIFFAB08CA,19,143.18,住家用,鋼筋混凝土造,83年3月25日,八層,六層
RPWOMLRJNHIFFAB08CA,19,54.62,見其他登記事項,鋼筋混凝土造,83年3月25日,八層,
RPVQMLRJNHIFFAB18CA,19,23.97,住家用,鋼筋混凝土造,82年11月5日,十二層,六層
RPVQMLRJNHIFFAB18CA,19,6.54,共有部分,鋼筋混凝土造,82年11月5日,十二層,
RPSNMLOJNHIFFAB27CA,16,.39,商業用,鋼筋混凝土造,86年7月23日,十六層,
RPSNMLOJNHIFFAB27CA,16,1249.96,見其他登記事項,鋼筋混凝土造,86年7月23日,十六層,
RPSNMLOJNHIFFAB27CA,16,2036.39,共有部分,鋼筋混凝土造,86年7月23日,十六層,
RPSNMLOJNHIFFAB27CA,16,132.57,住家用,鋼筋混凝土造,86年7月23日,十六層,三層
RPSNMLOJNHIFFAB27CA,16,47.69,見其他登記事項,鋼筋混凝土造,86年7月23日,十六層,
RPVSMLSJNHIFFAB48CA,20,232.61,商業用,鋼筋混凝土造,81年10月12日,十二層,六層
RPVSMLSJNHIFFAB48CA,20,57.67,共有部分,鋼筋混凝土造,81年10月12日,十二層,
RPQRMLTJNHIFFAB97CA,1,89.79,見其他登記事項,鋼筋混凝土造,101年5月28日,十五層,十三層
RPQRMLTJNHIFFAB97CA,1,68.17,見其他登記事項,鋼筋混凝土造,101年5月28日,十五層,
RPUPMLTJNHIFFAB18CA,17,31.37,見其他登記事項,鋼骨鋼筋混凝土造,85年5月20日,十九層,十一層
RPUPMLTJNHIFFAB18CA,17,13.42,見其他登記事項,鋼骨鋼筋混凝土造,85年5月20日,十九層,
RPUPMLTJNHIFFAB18CA,17,6.02,見其他登記事項,鋼骨鋼筋混凝土造,85年5月20日,十九層,
RPPOMLSJNHIFFAB47CA,21,57.55,住家用,鋼筋混凝土造,81年4月30日,五層,三層
RPPOMLSJNHIFFAB47CA,21,21.61,見其他登記事項,鋼筋混凝土造,81年4月30日,五層,
RPPOMLSJNHIFFAB47CA,21,26.98,商業用,鋼筋混凝土造,81年4月30日,五層,
RPPPMLQJNHIFFAB37CA,3,14.73,見其他登記事項,鋼筋混凝土造,99年3月16日,八層,
RPPPMLQJNHIFFAB37CA,3,85.57,見其他登記事項,鋼筋混凝土造,99年3月16日,八層,四層
RPPPMLQJNHIFFAB37CA,3,24.26,見其他登記事項,鋼筋混凝土造,99年3月16日,八層,
RPQNMLMKNHIFFAB96CA,31,84.10,住家用,鋼筋混凝土造,70年12月23日,七層,四層
RPQNMLMKNHIFFAB96CA,31,11.31,共有部分,鋼筋混凝土造,70年12月23日,,
RPOQMLSJNHIFFAB57CA,19,175.06,商業用,鋼筋混凝土造,82年11月2日,十六層,一層 二層 地下一層 騎樓
RPOQMLSJNHIFFAB57CA,19,37.26,見其他登記事項,鋼筋混凝土造,82年11月2日,十六層,
RPTRMLPKNHIFFAB97CA,44,86.27,商業用,見其他登記事項,58年1月8日,二層,一層 二層 騎樓
RPVRMLSJNHIFFAB38CA,17,13.53,見其他登記事項,鋼筋混凝土造,85年5月3日,十六層,
RPVRMLSJNHIFFAB38CA,17,101.73,見其他登記事項,鋼筋混凝土造,85年5月3日,十六層,九層
RPQOMLSKNHIFFAB67CA,16,171.26,住家用,鋼筋混凝土造,85年10月16日,十二層,十二層
RPQOMLSKNHIFFAB67CA,16,50.88,共有部分,鋼筋混凝土造,85年10月16日,十二層,
RPRNMLKLNHIFFAB96CA,20,194.91,住家用,鋼筋混凝土造,81年11月5日,十層,九層 十層
RPRNMLKLNHIFFAB96CA,20,10.05,共有部分,鋼筋混凝土造,81年11月5日,十層,
RPRNMLKLNHIFFAB96CA,20,39.84,見其他登記事項,鋼筋混凝土造,81年11月5日,十層,
RPSNMLRKNHIFFAB67CA,20,90.35,住家用,鋼筋混凝土造,82年3月11日,七層,五層
RPSNMLRKNHIFFAB67CA,20,20.64,見其他登記事項,鋼筋混凝土造,82年3月11日,七層,
RPVNMLLLNHIFFAB47CA,19,74.96,住家用,鋼筋混凝土造,82年9月22日,七層,六層
RPVNMLLLNHIFFAB47CA,19,.77,商業用,鋼筋混凝土造,82年9月22日,七層,
RPVNMLLLNHIFFAB47CA,19,23.74,見其他登記事項,鋼筋混凝土造,82年9月22日,七層,
