編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPXNMLLJNHIFFBB77CC,坡道機械,0,
RPQPMLMJNHIFFBB37CC,升降機械,0,
RPPOMLMJNHIFFCB27CC,坡道機械,0,13.24
RPXRMLMJNHIFFCB38CC,坡道平面,0,33.02
RPTRMLMJNHIFFCB97CC,坡道機械,0,28.49
RPPPMLNJNHIFFBB37CC,坡道機械,0,
RPPQMLOJNHIFFCB67CC,坡道平面,0,
RPSVMLRJNHIFFBB68CC,坡道機械,2500,
RPTVMLRJNHIFFBB78CC,坡道機械,2500,
RPTVMLRJNHIFFBB78CC,坡道平面,3000,
RPWVMLRJNHIFFCB56CC,坡道機械,0,
RPPPMLQJNHIFFAL58CC,坡道平面,0,67.67
RPSPMLTJNHIFFAB18CC,坡道平面,0,
RPQQMLTJNHIFFCB28CC,坡道平面,0,
RPQQMLTJNHIFFCB28CC,坡道平面,0,
RPQQMLTJNHIFFCB28CC,坡道平面,0,
RPOSMLTJNHIFFCB28CC,坡道平面,0,
RPOSMLTJNHIFFCB28CC,坡道平面,0,
RPOSMLTJNHIFFCB28CC,坡道機械,0,
RPOSMLTJNHIFFCB28CC,坡道機械,0,
RPPSMLTJNHIFFCB38CC,坡道機械,0,11.76
RPWRMLTJNHIFFCB98CC,坡道機械,0,22.04
RPUTMLTJNHIFFBB88CC,坡道平面,0,11.14
RPUOMLTJNHIFFBB38CC,升降機械,0,21.67
RPOQMLKKNHIFFBB17CC,坡道平面,0,
RPXPMLKKNHIFFBB97CC,坡道機械,0,
RPPPMLKKNHIFFBB27DC,坡道機械,0,24.41
RPROMLNKNHIFFBB57CC,坡道平面,0,
RPWRMLNKNHIFFCB48CC,坡道機械,0,14.61
RPSQMLOKNHIFFCB08CC,坡道平面,0,24.79
RPXPMLPKNHIFFCB58CC,坡道平面,0,24.95
RPTRMLQKNHIFFCB48CC,坡道機械,0,
RPQOMLRKNHIFFBB87CC,坡道機械,0,
RPSSMLLLNHIFFCB08CC,坡道平面,0,
RPSSMLLLNHIFFCB08CC,坡道平面,0,
RPTPMLNLNHIFFBB97CC,坡道平面,0,
RPSRMLOLNHIFFBB18CC,坡道機械,2000,15.94
RPXOMLSLNHIFFCB98DC,坡道機械,0,26.73
RPWNMLOLNHIFFFL96CC,坡道平面,0,18.17
RPPOMLSLNHIFFAL88CC,坡道平面,0,32.66
RPUOMLRLNHIFFBB38CC,坡道平面,0,31.88
RPXQMLTLNHIFFCB56CC,坡道平面,0,
RPPOMLKMNHIFFCB37CC,升降機械,0,
RPWOMLKMNHIFFAB87CC,坡道平面,0,29.30
RPRPMLKMNHIFFAB47CC,升降機械,38000,14.05
RPVPMLKMNHIFFAB87CC,坡道平面,0,19.05
RPVOMLKMNHIFFBB97DC,坡道平面,2500,24.80
RPOQMLLMNHIFFCB57CC,坡道平面,0,21.35
RPTOMLLMNHIFFCB87CC,坡道機械,0,22.04
RPRNMLLJOHIFFAB17CC,坡道機械,0,21.66
RPUNMLNJOHIFFHL96EC,坡道平面,0,
RPSQMLLMNHIFFCB97CC,坡道平面,0,14.98
RPQOMLOJOHIFFCB67CC,坡道平面,0,
RPOOMLPJOHIFFBB47CC,坡道機械,0,6.33
RPVRMLQJOHIFFCB68CC,坡道平面,0,
RPSRMLRJOHIFFCB48CC,坡道平面,0,20.99
RPOSMLRJOHIFFCB18CC,坡道平面,0,22.28
RPTNMLSJOHIFFCB28CC,坡道平面,0,24.79
RPVNMLKKOHIFFBB67CC,坡道平面,0,
RPUOMLLKOHIFFAB67CC,坡道機械,0,
RPOOMLLKOHIFFAB07CC,升降機械,0,14.05
RPRSMLLKOHIFFCB97CC,坡道機械,0,14.60
RPXOMLNKOHIFFAB18CC,坡道平面,0,
RPXOMLNKOHIFFAB18CC,坡道平面,0,
RPROMLNKOHIFFAB57CC,升降機械,0,14.05
RPUOMLNKOHIFFAB87CC,坡道平面,0,23.83
RPUOMLNKOHIFFAB87CC,坡道平面,0,23.83
RPPRMLNKOHIFFAB67CC,坡道平面,0,29.30
RPUOMLNKOHIFFCB08CC,坡道機械,0,
RPPQMLNKOHIFFCB77CC,升降機械,0,14.08
RPVQMLOKOHIFFCB48CC,坡道機械,0,31.86
RPSRMLOKOHIFFCB28CC,坡道平面,3000,37.80
RPWQMLOKOHIFFCB58CC,坡道平面,0,37.80
RPPRMLNKOHIFFBB77CC,坡道平面,0,
RPQNMLRKOHIFFAB77CC,坡道機械,0,
RPTNMLRKOHIFFAB08CC,坡道平面,0,47.69
RPSTMLRKOHIFFBB68CC,坡道平面,0,
RPWQMLRKOHIFFBB88DC,坡道機械,0,
RPVPMLTKOHIFFBB78CC,坡道平面,0,16.51
RPOQMLKLOHIFFCB47CC,坡道平面,0,24.80
RPTNMLKLOHIFFCB77DC,坡道平面,0,
RPVPMLKLOHIFFBB97CC,坡道平面,0,
RPSNMLLLOHIFFAB47CC,坡道平面,2200,23.00
RPPOMLOLOHIFFAB77EC,坡道平面,0,27.59
