編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPWOMLMJNHIFFAG08CA,坡道平面,0,
RPRNMLKKNHIFFBG57DA,坡道平面,0,
RPVOMLNJNHIFFAG28EA,坡道平面,0,
RPWOMLPKNHIFFAG48CA,升降機械,0,
RPTNMLLKNHIFFAG67CA,坡道平面,0,
RPUQMLNKNHIFFAG38DA,其他,0,
RPUPMLKKNHIFFBG18EA,一樓平面,0,
RPVRMLKKNHIFFBG28CA,坡道平面,0,
RPVRMLKKNHIFFBG28CA,坡道平面,0,
RPVRMLKKNHIFFBG28CA,坡道平面,0,
RPWRMLKKNHIFFBG38CA,坡道平面,0,
RPWRMLKKNHIFFBG38CA,坡道平面,0,
RPOSMLKKNHIFFBG67CA,坡道平面,0,
RPXRMLKKNHIFFBG48CA,坡道平面,0,
RPPSMLKKNHIFFBG77CA,坡道平面,0,
RPQSMLKKNHIFFBG87CA,坡道平面,0,
RPQSMLKKNHIFFBG87CA,坡道平面,0,
RPRSMLKKNHIFFBG97CA,坡道平面,0,
RPRSMLKKNHIFFBG97CA,坡道平面,0,
RPRPMLOLNHIFFBG18CA,坡道平面,0,
RPSOMLSLNHIFFBG68DA,坡道平面,0,
RPPNMLOJOHIFFAG57CA,坡道機械,0,
RPUOMLOKNHIFFBG38DA,坡道平面,0,
RPTOMLOKNHIFFBG28DA,一樓平面,0,
RPSSMLKKNHIFFBG08CA,坡道平面,0,
RPSSMLKKNHIFFBG08CA,坡道平面,0,
RPURMLKKNHIFFBG18CA,坡道平面,0,
RPURMLKKNHIFFBG18CA,坡道平面,0,
RPXNMLPKNHIFFBG78EA,坡道平面,0,
RPROMLRJOHIFFAG38EA,一樓平面,0,
RPQNMLQKNHIFFAG87CA,坡道平面,0,
RPUOMLOLNHIFFBG38CA,坡道平面,0,
RPTNMLRKOHIFFBG68EA,坡道平面,0,
RPQNMLLLNHIFFBG57CA,坡道平面,0,
RPSNMLLLNHIFFBG77CA,坡道平面,0,
RPSNMLLLNHIFFBG77CA,坡道平面,0,
RPRNMLMLNHIFFBG97EA,坡道平面,0,
RPXNMLLLNHIFFBG48EA,坡道平面,0,
RPXNMLLLNHIFFBG48EA,坡道平面,0,
SPXNMLLLNHIFFBG58EA,坡道平面,0,
TPXNMLLLNHIFFBG68EA,坡道平面,0,
UPXNMLLLNHIFFBG78EA,坡道平面,0,
VPXNMLLLNHIFFBG88EA,坡道平面,0,
RPQNMLPLNHIFFAG87CA,一樓平面,0,
RPWNMLNLNHIFFBG58EA,坡道平面,0,
RPOQMLSLNHIFFAG38DA,其他,0,
RPVNMLTLNHIFFBG88CA,坡道平面,0,
RPOOMLMJOHIFFAG37CA,升降機械,0,
RPUOMLNLNHIFFBG48EA,升降機械,0,
RPPNMLNJOHIFFBG77EA,坡道平面,0,
RPSOMLPKPHIFFAG28CA,坡道機械,0,
RPSNMLNKOHIFFBG18EA,坡道平面,0,
RPQNMLTLNHIFFAG48EA,一樓平面,0,
RPUNMLKKOHIFFAG77CA,坡道平面,0,
RPPPMLKMNHIFFAG77EA,坡道機械,0,
RPPPMLQLOHIFFAG38EA,一樓平面,0,
RPUPMLOJOHIFFAG38DA,升降機械,0,
RPVQMLOJOHIFFAG48CA,坡道平面,0,
RPRPMLPLOHIFFAG28CA,升降機械,0,
RPWOMLLJPHIFFAG18CA,一樓平面,0,
RPSOMLKKOHIFFBG97EA,坡道平面,0,
RPUNMLSKOHIFFBG78DA,坡道平面,0,
RPSPMLSLOHIFFAG88EA,坡道平面,0,
RPTOMLTLPHIFFAG98DA,坡道平面,0,
RPXNMLOKOHIFFBG68DA,一樓平面,0,
RPUOMLLJPHIFFAG97CA,升降機械,0,
RPUQMLMJPHIFFBG38CA,坡道平面,0,
RPUNMLMJPHIFFAG18EA,升降機械,0,
RPSNMLTKOHIFFAG68EA,坡道平面,0,
RPOPMLPLOHIFFBG08CA,坡道平面,0,
RPPOMLMJPHIFFAG57CA,坡道平面,0,
RPPNMLNJPHIFFBG67CA,坡道機械,0,
RPROMLPKPHIFFBG28CA,坡道平面,0,
RPQOMLPKPHIFFBG18CA,一樓平面,0,
RPTNMLLJPHIFFAG97EA,升降平面,330000,
RPUNMLLJPHIFFAG08EA,升降平面,330000,
RPPNMLPLOHIFFBG18EA,坡道平面,0,
RPTOMLQKPHIFFBG58CA,坡道平面,0,
RPQOMLNJPHIFFAG97EA,一樓平面,0,
RPQNMLLJPHIFFBG77EA,坡道平面,0,
RPOOMLTLOHIFFAG28CA,坡道平面,0,
RPVNMLSLOHIFFAG88DA,坡道平面,0,
RPXQMLLKPHIFFAG68DA,坡道平面,0,
RPURMLMJPHIFFBG58DA,一樓平面,0,
RPRQMLMJPHIFFBG08CA,坡道平面,0,
RPVOMLOJPHIFFAG58EA,坡道平面,0,
RPVOMLOJPHIFFAG58EA,坡道平面,0,
RPPNMLLKPHIFFBG77EA,坡道平面,0,
RPOOMLSJPHIFFBG18CA,坡道平面,0,
RPSNMLPKPHIFFAG18CA,升降機械,0,
RPPOMLMLPHIFFBG97DA,坡道機械,0,
RPXNMLLKPHIFFAG48EA,升降平面,0,
RPVPMLKKPHIFFBG48EA,坡道平面,0,
RPRNMLSKPHIFFBG48CA,坡道平面,0,
RPPNMLRKPHIFFBG18CA,坡道平面,0,
RPOOMLOLPHIFFAG08EA,一樓平面,0,
RPPRMLLKPHIFFAG87CA,其他,0,
RPRQNLOLPHIFFBG58CA,坡道平面,850000,34.68
RPVPMLSKPHIFFAG98CA,升降機械,0,
RPOOMLQKPHIFFAG18EA,升降機械,0,
RPWPMLPLPHIFFBG98CA,坡道平面,850000,34.68
RPPQMLPLPHIFFBG38CA,坡道平面,850000,34.68
RPQQMLPLPHIFFBG48CA,坡道平面,850000,34.68
RPUQMLPLPHIFFBG88CA,坡道平面,850000,34.68
RPTOMLQLPHIFFBG68CA,坡道平面,850000,34.68
RPXOMLQLPHIFFBG09CA,坡道平面,700000,34.68
RPUOMLQLPHIFFBG78CA,坡道平面,850000,34.68
RPVOMLQLPHIFFBG88CA,坡道平面,700000,34.68
RPXRNLOLPHIFFBG66CA,坡道平面,850000,34.68
RPQSNLOLPHIFFBG68CA,坡道平面,850000,34.68
RPQSNLOLPHIFFBG68CA,坡道平面,850000,34.68
RPXSNLOLPHIFFBG76CA,坡道平面,700000,34.68
RPOUNLOLPHIFFBG68CA,坡道平面,700000,34.68
RPPUNLOLPHIFFBG78CA,坡道平面,850000,34.68
RPTNMLLMPHIFFAG28EA,坡道平面,0,
RPRNMLRKPHIFFAG48EA,升降機械,0,
RPXQMLQLPHIFFBG66CA,坡道平面,850000,34.68
RPRNMLMLPHIFFBG97CA,坡道平面,0,
RPQPMLQLPHIFFBG48CA,坡道平面,0,
RPQPMLTJQHIFFAG58CA,其他,0,
RPOOMLMLPHIFFBG77CA,坡道機械,0,
RPRSMLQLPHIFFBG88CA,坡道平面,850000,34.68
RPXSMLQLPHIFFBG86CA,坡道平面,850000,34.68
RPOTMLQLPHIFFBG68CA,坡道平面,700000,34.68
RPTOMLMKQHIFFBG28CA,升降機械,0,
RPQUNLOLPHIFFBG88CA,坡道平面,0,
RPPTMLQLPHIFFBG78CA,坡道平面,850000,34.68
RPQTMLQLPHIFFBG88CA,坡道平面,700000,34.68
RPRTMLQLPHIFFBG98CA,坡道平面,850000,34.68
RPSTMLQLPHIFFBG09CA,坡道平面,850000,34.68
UPRTMLQLPHIFFBG66CA,坡道平面,850000,34.68
RPUNMLOKQHIFFAG48DA,坡道平面,0,
RPSNMLLJQHIFFAG77CA,坡道平面,0,
RPUNMLPJQHIFFAG38CA,坡道平面,0,22.00
RPQOMLTLPHIFFBG88EA,升降機械,0,
RPVNMLPJQHIFFBG78EA,一樓平面,0,
RPRNMLRJQHIFFBG48DA,坡道平面,0,
RPXNMLLJQHIFFBG58EA,升降機械,0,
RPQNMLLJQHIFFAG67DA,升降機械,0,
RPVNMLLMPHIFFBG48DA,坡道平面,0,
RPWPMLMLQHIFFAG68CA,升降機械,0,
RPUOMLTJQHIFFAG88CA,坡道平面,0,
RPWPMLPJQHIFFBG09EA,坡道平面,0,
