編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPPNMLOJNHIFFAH57CA,坡道平面,0,7.01
SPPNMLOJNHIFFAH67CA,坡道平面,0,7.01
RPOTMLQJNHIFFAH28CA,坡道平面,0,
RPOTMLQJNHIFFAH28CA,坡道平面,0,
RPWUMLQJNHIFFAH56CA,坡道平面,1666666,23.39
RPWUMLQJNHIFFAH56CA,坡道平面,1666666,23.39
RPWUMLQJNHIFFAH56CA,坡道平面,1666666,23.39
RPORMLRJNHIFFAH18CA,升降機械,200000,19.52
RPSPMLRJNHIFFAH38CA,坡道平面,1600000,23.39
RPSPMLRJNHIFFAH38CA,坡道平面,1600000,23.39
RPSPMLRJNHIFFAH38CA,坡道平面,1600000,23.39
RPPNMLRJNHIFFAH87CA,坡道平面,1600000,23.39
RPPNMLRJNHIFFAH87CA,坡道平面,1600000,23.39
RPPNMLRJNHIFFAH87CA,坡道平面,1600000,23.39
RPTQMLSJNHIFFAH68CA,坡道平面,0,
RPTNMLKKNHIFFAH67CA,坡道平面,0,35.83
RPTNMLKKNHIFFAH67CA,坡道平面,0,35.83
RPVOMLKKNHIFFAH97CA,坡道平面,0,35.83
RPVOMLKKNHIFFAH97CA,坡道平面,0,35.83
RPQOMLKKNHIFFAH47CA,坡道平面,0,35.83
RPTOMLKKNHIFFAH77CA,坡道平面,0,35.83
RPTOMLKKNHIFFAH77CA,坡道平面,0,35.83
RPOOMLRJNHIFFAH87CA,坡道平面,1700000,23.39
RPOOMLRJNHIFFAH87CA,坡道平面,1700000,23.39
RPOOMLRJNHIFFAH87CA,坡道平面,1700000,23.39
RPPOMLRJNHIFFAH97CA,坡道平面,1700000,23.39
RPPOMLRJNHIFFAH97CA,坡道平面,1700000,23.39
RPPOMLRJNHIFFAH97CA,坡道平面,1700000,23.39
RPVNMLRJNHIFFAH48CA,坡道平面,1600000,23.39
RPVNMLRJNHIFFAH48CA,坡道平面,1600000,23.39
RPXOMLKKNHIFFAH18CA,坡道平面,0,35.83
RPQOMLRJNHIFFAH08CA,坡道平面,1650000,23.39
RPQOMLRJNHIFFAH08CA,坡道平面,1650000,23.39
RPQOMLRJNHIFFAH08CA,坡道平面,1650000,23.39
RPQOMLRJNHIFFAH08CA,坡道平面,1650000,23.39
RPWRMLKKNHIFFAH38CA,坡道平面,0,35.83
RPTPMLKKNHIFFAH87CA,坡道平面,0,35.83
RPRQMLKKNHIFFAH77CA,坡道平面,0,35.83
RPXRMLKKNHIFFAH48CA,坡道平面,0,35.83
RPOSMLKKNHIFFAH67CA,坡道平面,0,35.83
RPRSMLKKNHIFFAH97CA,坡道平面,0,35.83
RPSSMLKKNHIFFAH08CA,坡道平面,0,35.83
RPWSMLKKNHIFFAH48CA,坡道平面,0,35.83
RPVSMLKKNHIFFAH38CA,坡道平面,0,35.83
RPPQMLKKNHIFFAH57CA,坡道平面,0,35.83
RPPTMLKKNHIFFAH87CA,坡道平面,0,35.83
RPOTMLKKNHIFFAH77CA,坡道平面,0,35.83
RPPUMLKKNHIFFAH97CA,坡道平面,0,35.83
RPTTMLKKNHIFFAH28CA,坡道平面,0,35.83
RPRUMLKKNHIFFAH18CA,坡道平面,0,35.83
RPSUMLKKNHIFFAH28CA,坡道平面,0,35.83
RPXUMLKKNHIFFAH78CA,坡道平面,0,35.83
RPVUMLKKNHIFFAH58CA,坡道平面,0,35.83
RPOVMLKKNHIFFAH97CA,坡道平面,0,35.83
RPUUMLKKNHIFFAH48CA,坡道平面,0,35.83
RPUVMLKKNHIFFAH58CA,坡道平面,0,35.83
RPRQMLOKNHIFFAH18CA,坡道平面,0,9.80
RPOSMLRKNHIFFAH38CA,坡道平面,0,
RPUPMLQKNHIFFAH58CA,坡道平面,0,
RPOPMLSKNHIFFAH18CA,坡道平面,0,34.68
RPTNMLOLNHIFFAH18CA,坡道平面,0,
RPOWMLLLNHIFFAH28CA,坡道平面,0,
RPVQMLLLNHIFFAH38CA,坡道平面,0,33.23
RPPPMLQJNHIFFBH08CA,坡道平面,0,
RPTRMLMLNHIFFAH38CA,坡道平面,0,
RPPWMLSLNHIFFAH09CA,坡道平面,0,35.83
RPPWMLSLNHIFFAH09CA,坡道平面,0,35.83
RPUPMLLJOHIFFAH08CA,坡道平面,1200000,23.39
RPUPMLLJOHIFFAH08CA,坡道平面,1200000,23.39
RPWOMLNJNHIFFDH58CA,坡道平面,850000,19.69
RPVNMLOKNHIFFDH58CA,坡道平面,0,
RPUQMLRJNHIFFEH09CA,坡道平面,0,
RPSPMLNKNHIFFEH48CA,坡道機械,0,
RPOOMLTJNHIFFEH48CA,其他,0,
RPPOMLRLNHIFFEH58CA,坡道平面,0,
RPPPMLLMNHIFFEH18CA,坡道平面,0,
RPTOMLNJOHIFFEH48CA,坡道平面,0,10.81
RPWNMLLLNHIFFFH68CA,坡道平面,1050000,31.31
RPWNMLLLNHIFFFH68CA,坡道平面,1050000,31.31
RPROMLLLNHIFFFH28CA,坡道平面,1000000,31.31
RPROMLLLNHIFFFH28CA,坡道平面,900000,29.26
RPOOMLLLNHIFFFH97CA,坡道平面,950000,31.31
RPUPMLKKNHIFFGH58CA,坡道平面,1050000,33.83
RPPOMLLLNHIFFFH08CA,坡道平面,1000000,31.31
