鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
台東市,土地,合江段151~180地號,209.55,其他,鄉村區,乙種建築用地,1020416,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1150000,5488,,0.0,0,,RPTOMLMJNHIFFAV66CA
台東市,土地,台東段451~480地號,318.0,住,,,1020327,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6300000,19811,,0.0,0,含增建或未登記建物。,RPQNMLNJNHIFFAV98CA
台東市,房地(土地+建物),臺東縣臺東市長安街181~210號,25.46,住,,,1020409,土地1建物1車位0,一層，二層，騎樓，夾層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼骨混凝土造,0840926,133.9,2,2,3,有,無,3800000,28379,,0.0,0,,RPUNMLTJNHIFFAV37CA
卑南鄉,房地(土地+建物),臺東縣臺東市和平路211~240號,83.0,,特定農業區,甲種建築用地,1020419,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,07005,137.72,3,2,2,有,無,1600000,11618,,0.0,0,,RPWNMLKKNHIFFAV76CA
台東市,房地(土地+建物),臺東縣臺東市文心街31~60號,26.7,住,,,1020000,土地2建物1車位0,二層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0840217,109.58,3,2,2,有,無,2700000,24640,,0.0,0,,RPPOMLRKNHIFFAV86CA
台東市,土地,豐工段31~60地號,8623.92,工,,,1020402,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,65000000,7537,,0.0,0,,RPQOMLPJOHIFFAV76CA
東河鄉,土地,大馬段451~480地號,3642.0,,風景區,農牧用地,1020330,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7350000,2018,,0.0,0,,RPRNMLQJNHIFFBV86CA
成功鎮,房地(土地+建物),台東縣成功鎮三民路91~120號,104.01,住,,,1020422,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0780522,136.82,3,1,2,有,無,2900000,21196,,0.0,0,,RPPNMLOLNHIFFBV66CA
關山鎮,土地,新福段991~1020地號,20342.91,農,特定農業區,農牧用地,1020401,土地17建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18000000,885,,0.0,0,,RPRNMLMJNHIFFCV56CA
池上鄉,土地,萬朝段301~330地號,7658.32,農,一般農業區,農牧用地,1020409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,783,,0.0,0,,RPPNMLNJNHIFFCV09CA
關山鎮,土地,月野段1621~1650地號,1206.0,,特定農業區,農牧用地,1020428,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,270000,224,,0.0,0,畸零地或有合併使用之交易。,RPPNMLTJNHIFFCV07CA
台東市,土地,北南王段481~510地號,5914.62,農,,,1010425,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5914620,1000,,0.0,0,,RPPOMLMJNHIFFAV98DA
台東市,土地,豐年段1051~1080地號,598.44,其他,,,1020406,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,550000,919,,0.0,0,,RPROMLMJNHIFFAV56DA
台東市,土地,中心段331~360地號,25.0,住,,,1020325,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,498000,19920,,0.0,0,,RPPNMLNJNHIFFAV98DA
台東市,土地,東農段181~210地號,2534.5,農,特定農業區,農牧用地,1020306,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5350000,2111,,0.0,0,,RPQNMLQJNHIFFAV76DA
台東市,房地(土地+建物),臺東縣臺東市中山路391~420號,3.78,商,,,1020422,土地1建物1車位0,七層,十二層,套房(1房1廳1衛),見其他登記事項,見其他登記事項,0841004,32.66,1,1,1,有,無,700000,21433,,0.0,0,,RPTNMLQJNHIFFAV07DA
台東市,房地(土地+建物),臺東縣臺東市中華路二段271~300號,150.92,住,,,1020401,土地1建物1車位0,二層，騎樓，一層,二層,店面(店鋪),住家用,加強磚造,0691006,130.72,2,1,2,有,無,6600000,50490,,0.0,0,,RPROMLNKNHIFFAV76DA
台東市,土地,永樂段241~270地號,176.0,工,,,1020419,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3150000,17898,,0.0,0,,RPPNMLQKNHIFFAV76DA
成功鎮,土地,三民段31~60地號,219.96,住,,,1010422,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2528000,11493,,0.0,0,,RPPNMLRJNHIFFBV86DA
東河鄉,土地,高原段661~690地號,702.0,,森林區,丙種建築用地,1020401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,287820,410,,0.0,0,本案為辦理自用住宅優惠稅率之二親等買賣,RPPNMLSLNHIFFBV07CA
台東市,土地,建華段1321~1350地號,1199.64,農,,,1020424,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,865790,722,,0.0,0,,RPTNMLNJNHIFFAV66CA
台東市,土地,大豐段241~270地號,10761.39,農,特定農業區,農牧用地,1020418,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14500000,1347,,0.0,0,,RPUNMLNJNHIFFAV76CA
台東市,房地(土地+建物),臺東縣臺東市甘泉街31~60號,92.0,住,,,1020419,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0671222,111.7,3,2,2,有,無,3600000,32229,,0.0,0,,RPPNMLQJNHIFFAV56CA
台東市,土地,新園段421~450地號,499.0,,特定農業區,丁種建築用地,1020419,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1900000,3808,,0.0,0,,RPRNMLQJNHIFFAV76CA
卑南鄉,土地,利家段601~630地號,13870.0,農,山坡地保育區,農牧用地,1020417,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11800000,851,,0.0,0,,RPSNMLQJNHIFFAV86CA
台東市,土地,建國段241~270地號,119.0,其他,,,1020412,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,10084,,0.0,0,,RPTNMLRJNHIFFAV07CA
台東市,土地,知本段8131~8160地號,3294.0,農,特定農業區,農牧用地,1020424,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2700000,820,,0.0,0,,RPPNMLTJNHIFFAV86CA
台東市,房地(土地+建物),臺東縣臺東市建和一街3巷1~30號,396.55,住,,,1020410,土地2建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0730701,67.5,2,1,1,有,無,1000000,14815,,0.0,0,親友、員工或其他特殊關係間之交易。包含公共設施保留地之交易。,RPWNMLPKNHIFFAV27CA
台東市,房地(土地+建物),臺東縣臺東市洛陽街359巷6弄1~30號,53.88,住,,,1020405,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820909,91.65,2,1,2,有,無,1750000,19094,,0.0,0,,RPQOMLOKNHIFFAV66CA
台東市,房地(土地+建物),臺東縣臺東市大孝路61~90號,459.0,工,,,1020420,土地1建物1車位0,一層，二層，三層,三層,工廠,見其他登記事項,見其他登記事項,1020301,467.57,3,3,5,有,無,9600000,,,0.0,0,,RPSNMLTLNHIFFAV37CA
成功鎮,土地,成功段781~810地號,55.5,住,,,1020410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,503000,9063,,0.0,0,,RPSNMLQJNHIFFBV96CA
大武鄉,土地,復興段931~960地號,7.89,其他,,,1020429,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,48129,6100,,0.0,0,親友間交易且本筆土地為道路用地,RPPNMLSJNHIFFDV07CA
池上鄉,土地,大池段1201~1230地號,903.8,,特定農業區,甲種建築用地,1020416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2390000,2644,,0.0,0,,RPSNMLOKNHIFFCV96CA
海端鄉,土地,崁頂段1~30地號,541.0,其他,山坡地保育區,丙種建築用地,1020418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,243000,449,,0.0,0,為變更 設定義務人登記之用,RPPNMLLJOHIFFCV98CA
關山鎮,土地,里段451~480地號,70.45,住,,,1020425,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,17033,,0.0,0,,RPPNMLOJOHIFFCV76DA
成功鎮,土地,都豐段841~870地號,3147.25,農,風景區,農牧用地,1020411,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,318,,0.0,0,,RPSNMLRKNHIFFBV17CA
