編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPQPMLQKNHIFFAX27DA,一樓平面,0,27.71
RPQPMLOKNHIFFAX96CA,坡道平面,0,
RPPNMLLKOHIFFAX56DA,坡道平面,0,
RPRNMLOLNHIFFAX96CA,一樓平面,0,
RPTNMLOLNHIFFAX17CA,一樓平面,0,
RPQPMLKMNHIFFAX76CA,坡道機械,0,
RPXOMLKMNHIFFAX37CA,坡道平面,0,
RPTNMLQJOHIFFAX27CA,一樓平面,0,
RPWNMLTKOHIFFAX97CA,一樓平面,0,
RPTNMLOLOHIFFAX37DA,坡道平面,0,
RPOOMLLJPHIFFAX09CA,坡道平面,0,14.73
RPSNMLPKPHIFFAX37DA,坡道平面,0,
RPSNMLRKPHIFFAX57DA,坡道平面,0,
RPWNMLTJPHIFFAX97CA,坡道機械,0,
RPRNMLNLPHIFFAX07CA,一樓平面,0,
RPRNMLPJQHIFFAX17CA,坡道平面,0,
RPTNMLMKQHIFFAX17CA,坡道平面,0,
RPPNMLLJQHIFFAX66DA,坡道平面,0,
