編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLLJQHIFFCA47CC,36,89.00,住家用,鋼筋混凝土造,66年11月9日,五層,
RPWPMLLJQHIFFCA18CC,30,95.91,住家用,鋼筋混凝土造,72年12月30日,五層,
RPWPMLLJQHIFFCA18CC,30,8.42,共有部分,鋼筋混凝土造,72年12月30日,五層,
RPXNMLLJQHIFFCA08CC,30,97.87,住家用,鋼筋混凝土造,72年12月30日,五層,
RPXNMLLJQHIFFCA08CC,30,8.42,共有部分,鋼筋混凝土造,72年12月30日,五層,
RPQRMLLJQHIFFCA77CC,14,52.77,商業用,鋼筋混凝土造,88年11月2日,十二層,
RPQRMLLJQHIFFCA77CC,14,1.23,共有部分,鋼筋混凝土造,88年11月2日,十二層,
RPQRMLLJQHIFFCA77CC,14,44.61,共有部分,鋼筋混凝土造,88年11月2日,十二層,
RPQOMLLJQHIFFCA47CC,2,46.58,住家用,鋼筋混凝土造,100年1月28日,十四層,
RPQOMLLJQHIFFCA47CC,2,22.05,見其他登記事項,鋼筋混凝土造,100年1月28日,十四層,
RPQOMLLJQHIFFCA47CC,2,2.16,見其他登記事項,鋼筋混凝土造,100年1月28日,十四層,
RPQOMLLJQHIFFCA47CC,2,46.96,見其他登記事項,鋼筋混凝土造,100年1月28日,十四層,
RPPRMLLJQHIFFCA67CC,24,69.81,住家用,鋼筋混凝土造,78年5月17日,十五層,
RPPRMLLJQHIFFCA67CC,24,15.98,共有部分,鋼筋混凝土造,78年5月17日,十五層,
RPROMLLJQHIFFCA57CC,3,36.06,住家用,見其他登記事項,99年11月23日,十八層,
RPROMLLJQHIFFCA57CC,3,5.88,見其他登記事項,見其他登記事項,99年11月23日,十八層,
RPROMLLJQHIFFCA57CC,3,9.50,見其他登記事項,見其他登記事項,99年11月23日,十八層,
RPROMLLJQHIFFCA57CC,3,1.41,見其他登記事項,見其他登記事項,99年11月23日,十八層,
RPROMLLJQHIFFCA57CC,3,2.20,見其他登記事項,鋼筋混凝土造,99年11月23日,十八層,
RPSPMLLJQHIFFCA77CC,5,27.60,商業用,鋼筋混凝土造,97年10月30日,十層,
RPSPMLLJQHIFFCA77CC,5,16.72,共有部分,鋼筋混凝土造,97年10月30日,十層,
RPPPMLLJQHIFFCA47CC,2,55.70,住家用,鋼筋混凝土造,100年7月26日,十三層,
RPPPMLLJQHIFFCA47CC,2,13.05,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPPPMLLJQHIFFCA47CC,2,20.98,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPTPMLLJQHIFFCA87CC,,75.44,,加強磚造,,三層,
RPVRMLLJQHIFFCA28CC,19,299.64,商業用,鋼筋混凝土造,83年4月13日,十二層,
RPVRMLLJQHIFFCA28CC,19,48.92,共有部分,鋼筋混凝土造,83年4月13日,十二層,
RPRRMLLJQHIFFCA87CC,4,50.81,住家用,鋼筋混凝土造,98年7月15日,十層,
RPRRMLLJQHIFFCA87CC,4,10.47,共有部分,鋼筋混凝土造,98年7月15日,十層,
RPRRMLLJQHIFFCA87CC,4,31.31,共有部分,鋼筋混凝土造,98年7月15日,十層,
RPOOMLLJQHIFFDA37CC,2,95.61,住家用,鋼筋混凝土造,99年10月12日,十一層,
RPOOMLLJQHIFFDA37CC,2,30.43,見其他登記事項,鋼筋混凝土造,99年10月12日,十一層,
RPOOMLLJQHIFFDA37CC,2,54.57,見其他登記事項,鋼筋混凝土造,99年10月12日,十一層,
RPOPMLLJQHIFFDA47CC,27,60.63,商業用,鋼筋混凝土造,75年5月19日,十二層,
RPOPMLLJQHIFFDA47CC,27,6.45,商業用,鋼筋混凝土造,75年5月19日,十二層,
RPOPMLLJQHIFFDA47CC,27,11.41,共有部分,鋼筋混凝土造,75年5月19日,十二層,
RPSNMLLJQHIFFEA77CC,11,138.56,住家用,鋼筋混凝土造,91年5月3日,五層,
RPPNMLLJQHIFFEA47CC,17,131.35,住家用,鋼筋混凝土造,85年6月5日,六層,
RPPNMLLJQHIFFEA47CC,17,48.90,共有部分,鋼筋混凝土造,85年6月5日,六層,
RPPPMLLJQHIFFDA57CC,23,55.24,商業用,鋼筋混凝土造,79年12月6日,十層,
RPPPMLLJQHIFFDA57CC,23,16.35,共有部分,鋼筋混凝土造,79年12月6日,十層,
RPUPMLLJQHIFFDA08CC,3,56.88,見其他登記事項,鋼筋混凝土造,99年11月5日,九層,
RPUPMLLJQHIFFDA08CC,3,23.99,見其他登記事項,鋼筋混凝土造,99年11月5日,九層,
RPRPMLLJQHIFFDA77CC,4,33.75,住家用,鋼筋混凝土造,98年3月31日,十八層,
RPRPMLLJQHIFFDA77CC,4,9.39,住家用,鋼筋混凝土造,98年3月31日,十八層,
RPRPMLLJQHIFFDA77CC,4,16.15,共有部分,見其他登記事項,98年3月31日,十八層,
RPRPMLLJQHIFFDA77CC,4,6.20,共有部分,鋼筋混凝土造,98年3月31日,十八層,
RPUNMLLJQHIFFEA97CC,8,129.50,見其他登記事項,鋼筋混凝土造,93年12月31日,十二層,
RPVNMLLJQHIFFEA08CC,9,90.35,住家用,鋼筋混凝土造,93年10月18日,十一層,
RPTNMLLJQHIFFEA87CC,5,88.05,見其他登記事項,鋼筋混凝土造,97年9月30日,十八層,
RPROMLLJQHIFFBA47CC,4,69.36,住家用,見其他登記事項,98年7月24日,十八層,
RPROMLLJQHIFFBA47CC,4,20.75,共有部分,見其他登記事項,98年7月24日,十八層,
RPROMLLJQHIFFBA47CC,4,.15,共有部分,見其他登記事項,98年7月24日,十八層,
RPROMLLJQHIFFBA47CC,4,23.68,共有部分,見其他登記事項,98年7月24日,十八層,
RPVOMLLJQHIFFBA87CC,1,162.48,見其他登記事項,鋼筋混凝土造,101年6月6日,十五層,
RPVOMLLJQHIFFBA87CC,1,45.44,見其他登記事項,鋼筋混凝土造,101年6月6日,十五層,
RPVOMLLJQHIFFBA87CC,1,48.17,見其他登記事項,鋼筋混凝土造,101年6月6日,十五層,
RPQNMLLJQHIFFBA27CC,3,176.99,見其他登記事項,鋼筋混凝土造,99年9月3日,十五層,
RPQOMLLJQHIFFBA47DC,2,38.18,見其他登記事項,鋼筋混凝土造,100年12月5日,十五層,
RPQOMLLJQHIFFBA47DC,2,19.56,見其他登記事項,鋼筋混凝土造,100年12月5日,十五層,
RPSNMLMJQHIFFAA47CC,3,59.31,住家用,鋼筋混凝土造,99年9月30日,十四層,
RPSNMLMJQHIFFAA47CC,3,29.75,見其他登記事項,鋼筋混凝土造,99年9月30日,十四層,
RPPOMLLJQHIFFAA17CC,,54.07,住家用,鋼筋混凝土造,,十一層,
RPTOMLLJQHIFFAA67DC,18,70.60,住家用,鋼筋混凝土造,84年10月24日,七層,
RPOOMLLJQHIFFAA07CC,4,34.92,住家用,鋼筋混凝土造,98年9月3日,十四層,
RPOOMLLJQHIFFAA07CC,4,8.62,共有部分,鋼筋混凝土造,98年9月3日,十四層,
RPOOMLLJQHIFFAA07CC,4,10.16,共有部分,鋼筋混凝土造,98年9月3日,十四層,
RPXNMLMJQHIFFAA97CC,10,106.31,住家用,見其他登記事項,93年1月20日,二十八層,
RPXNMLMJQHIFFAA97CC,10,35.01,共有部分,見其他登記事項,93年1月20日,二十八層,
RPXNMLMJQHIFFAA97CC,10,8.58,共有部分,鋼骨鋼筋混凝土造,93年1月20日,二十八層,
RPPOMLLJQHIFFFA67CC,23,73.41,住家用,鋼筋混凝土造,79年9月27日,二十六層,
RPPOMLLJQHIFFFA67CC,23,16.99,共有部分,鋼筋混凝土造,79年9月27日,二十六層,
RPUNMLLJQHIFFFA08CC,28,218.00,住家用,鋼筋混凝土造,74年10月15日,六層,
RPOOMLLJQHIFFFA57CC,5,47.67,住家用,鋼筋混凝土造,97年7月1日,九層,
RPOOMLLJQHIFFFA57CC,5,26.96,共有部分,鋼筋混凝土造,97年7月1日,九層,
RPPNMLLJQHIFFFA57CC,12,117.61,住家用,鋼筋混凝土造,90年9月25日,九層,
RPPNMLLJQHIFFFA57CC,12,51.40,共有部分,鋼筋混凝土造,90年9月25日,九層,
RPPNMLLJQHIFFFA57CC,12,4.84,共有部分,鋼筋混凝土造,90年9月25日,九層,
RPQOMLLJQHIFFFA77CC,,67.57,住家用,鋼筋混凝土造,,十二層,
RPXNMLLJQHIFFFA38CC,,131.51,住家用,鋼筋混凝土造,,七層,
RPPOMLMJQHIFFEA67CC,5,108.00,見其他登記事項,鋼筋混凝土造,97年10月2日,十五層,
RPTNMLMJQHIFFFA08CC,,595.81,商業用,鋼筋混凝土造,,十二層,
RPTNMLMJQHIFFFA08CC,36,26.69,共有部分,鋼筋混凝土造,66年7月13日,十二層,
RPSNMLMJQHIFFFA97CC,,38.78,住家用,鋼筋混凝土造,,十二層,
RPSNMLMJQHIFFFA97CC,,4.86,共有部分,鋼筋混凝土造,,十二層,
RPOOMLMJQHIFFEA57CC,4,162.50,住家用,鋼筋混凝土造,98年7月7日,十二層,
RPOOMLMJQHIFFEA57CC,4,67.00,共有部分,鋼筋混凝土造,98年7月7日,十二層,
RPOOMLMJQHIFFEA57CC,4,33.17,共有部分,鋼筋混凝土造,98年7月7日,十二層,
RPVNMLMJQHIFFFA28CC,30,103.93,住家用,鋼筋混凝土造,72年11月28日,七層,
RPRNMLMJQHIFFEA77CC,1,140.36,住家用,鋼骨鋼筋混凝土造,101年11月23日,十四層,
RPRNMLMJQHIFFEA77CC,1,41.99,見其他登記事項,鋼骨鋼筋混凝土造,101年11月23日,十四層,
RPRNMLMJQHIFFEA77CC,1,21.80,見其他登記事項,鋼骨鋼筋混凝土造,101年11月23日,十四層,
RPRNMLMJQHIFFEA77CC,1,6.20,見其他登記事項,鋼骨鋼筋混凝土造,101年11月23日,十四層,
RPSNMLMJQHIFFEA87CC,4,128.92,住家用,鋼筋混凝土造,98年12月31日,十二層,
RPSNMLMJQHIFFEA87CC,4,52.53,見其他登記事項,鋼筋混凝土造,98年12月31日,十二層,
RPSNMLMJQHIFFEA87CC,4,5.66,見其他登記事項,鋼筋混凝土造,98年12月31日,十二層,
RPSNMLMJQHIFFEA87CC,4,19.26,見其他登記事項,鋼筋混凝土造,98年12月31日,十二層,
RPUNMLMJQHIFFFA18CC,,137.32,,鋼筋混凝土造,,四層,
RPWNMLMJQHIFFFA38CC,,140.49,商業用,鋼筋混凝土造,,十四層,
RPWNMLMJQHIFFFA38CC,35,20.12,共有部分,鋼筋混凝土造,68年1月15日,十四層,
RPQOMLMJQHIFFEA77CC,28,105.00,住家用,鋼筋混凝土造,74年12月9日,五層,
RPRNMLMJQHIFFBA47CC,33,158.03,住商用,鋼筋混凝土造,69年2月5日,十二層,
RPSNMLMJQHIFFBA57CC,39,68.56,工業用,鋼筋混凝土造,63年7月21日,四層,
RPVNMLMJQHIFFBA87CC,4,32.63,住家用,見其他登記事項,98年7月24日,十八層,
RPVNMLMJQHIFFBA87CC,4,9.60,共有部分,見其他登記事項,98年7月24日,十八層,
RPVNMLMJQHIFFBA87CC,4,.07,共有部分,見其他登記事項,98年7月24日,十八層,
RPVNMLMJQHIFFBA87CC,4,4.89,共有部分,見其他登記事項,98年7月24日,十八層,
