編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLLJQHIFFHL98DC,樹孝段,20.30,都市：住
RPROMLMJQHIFFHL76DC,吉祥段,105.82,都市：住
RPROMLLJQHIFFGL09CC,大元段,114.11,都市：工
RPTOMLLJQHIFFGL66CC,大元段,114.11,都市：工
RPPNMLNJQHIFFHL56DC,宜欣段,99.24,都市：住
RPOPMLLJQHIFFBB37CC,賴厝段,3.37,都市：其他
RPTPMLMJQHIFFBB97CC,松觀段,15.10,都市：住
RPQRMLMJQHIFFBB87CC,平田段,23.32,都市：住
RPPNMLPJQHIFFHL66CC,溪洲段,49.81,都市：住
RPPNMLPJQHIFFHL66CC,溪洲段,123.36,都市：住
RPQNMLLJQHIFFCB47CC,惠國段,26.02,都市：商
RPUPMLMJQHIFFCB18CC,黎明段,13.23,都市：住
RPTNMLNJQHIFFCB97CC,國安段,14.99,都市：住
RPVNMLNJQHIFFCB18CC,國安段,25.44,都市：住
RPSNMLNJQHIFFAB67CC,土庫段,74.00,都市：住
RPQNMLNJQHIFFAB47CC,下橋子頭段,1.83,都市：商
RPQOMLLJQHIFFAB47DC,練武段,23.55,都市：商
RPPNMLNJQHIFFAB37CC,下橋子頭段,1.76,都市：商
RPUOMLQJQHIFFBB38CC,東山段,91.00,都市：住
RPSRMLPJQHIFFBB38CC,乾溝子段,9.49,都市：住
RPRNMLPJQHIFFCL09DC,梧棲段,1343.00,都市：商
RPTSMLPJQHIFFCB68CC,東林段,2776.86,都市：農
RPPOMLPJQHIFFCB87CC,田心段,76.00,都市：住
RPPSMLPJQHIFFCB28CC,民安段,.00,都市：住
RPWNMLPJQHIFFCB48CC,何厝段,.00,都市：商
RPWPMLQJQHIFFCB78CC,大進段,8.42,都市：住
RPTOMLQJQHIFFCB38CC,上石碑段,4.52,都市：住
RPWQMLQJQHIFFCB88CC,福安段,750.00,都市：住
RPUQMLQJQHIFFCB68CC,順和段,633.40,都市：工
RPORMLQJQHIFFCB18CC,惠國段,.00,都市：其他
RPUNMLRJQHIFFHL37CC,孝平段,186.00,都市：住
RPUNMLRJQHIFFHL37CC,孝平段,160.00,都市：住
RPXPMLQJQHIFFAB68CC,頂橋子頭段,163.84,都市：住
RPRNMLRJQHIFFAB97CC,下橋子頭段,1.83,都市：商
RPQOMLRJQHIFFCL66DC,安仁段,20.19,都市：住
RPOPMLRJQHIFFCB18DC,西屯段,4.83,都市：住
RPRNMLRJQHIFFCB18CC,中正段,5.55,都市：商
RPXOMLRJQHIFFAB68CC,三民段三小段,14.65,都市：住
RPSNMLRJQHIFFAB08CC,下橋子頭段,5.51,都市：商
RPTNMLRJQHIFFAB18CC,下橋子頭段,1.83,都市：商
RPTNMLRJQHIFFCB38CC,中正段,6.72,都市：商
RPUNMLRJQHIFFCB48CC,中正段,6.72,都市：商
RPUPMLRJQHIFFCB68CC,中正段,8.49,都市：商
RPRTMLSJQHIFFBB78CC,賴厝段,79.00,都市：住
RPSOMLQJQHIFFGL07CC,中興段,86.00,都市：住
RPXOMLQJQHIFFGL57CC,自立段,66.52,都市：住
RPPTMLSJQHIFFBB58CC,昌平段,71.68,都市：住
RPOPMLSJQHIFFAB97CC,麻園頭段,13.09,都市：住
RPRUMLSJQHIFFBB88CC,北屯段,22.67,都市：住
RPTUMLSJQHIFFBB09CC,同榮段,81.00,都市：住
RPTUMLSJQHIFFBB09CC,同榮段,81.00,都市：住
RPQPMLSJQHIFFAB18CC,麻園頭段,12.36,都市：住
RPQQMLSJQHIFFCB48CC,大墩段,12.32,都市：其他
RPRPMLSJQHIFFAB28CC,麻園頭段,8.23,都市：住
RPVUMLSJQHIFFCB76CC,福安段,16.56,都市：住
RPXUMLSJQHIFFCB96CC,信安段,17.19,都市：住
RPORMLSJQHIFFCB38CC,大新段,16.05,都市：其他
RPOOMLTJQHIFFBB08CC,平田段,65.00,都市：住
RPOOMLTJQHIFFBB08CC,平田段,2.10,都市：住
RPPOMLTJQHIFFBB18CC,水湳段,48.00,都市：住
RPQPMLTJQHIFFBB38CC,東峰段,15.80,都市：商
RPRNMLTJQHIFFCB38CC,上石碑段,6.73,都市：其他
RPSSMLTJQHIFFCB98CC,民安段,122.51,都市：住
RPVOMLKKQHIFFCB18DC,大進段,85.00,都市：商
RPSPMLMKQHIFFAB97DC,練武段,12.33,都市：商
RPVNMLMKQHIFFBB08CC,昌平段,100.19,都市：住
RPRPMLMKQHIFFBB87CC,賴厝段,126.00,都市：住
RPPOMLMKQHIFFBB57CC,東峰段,1024.00,都市：住
RPVNMLSJQHIFFFL37CC,學雅段,470.15,都市：住
RPVNMLSJQHIFFFL37CC,學雅段,134.97,都市：住
RPVNMLSJQHIFFFL37CC,學雅段,99.01,都市：住
RPVNMLTJQHIFFBL07CC,平安段,38.67,都市：住
RPTNMLQJQHIFFAL56DC,前寮段,109.07,都市：工
RPVNMLQJQHIFFAL76DC,下南坑段,115.00,都市：住
RPPNMLNKQHIFFCB67CC,大新段,11.99,都市：住
RPTNMLNKQHIFFAB97DC,繼光段五小段,58.00,都市：商
RPTNMLNKQHIFFAB97DC,繼光段五小段,18.00,都市：商
RPTNMLNKQHIFFAB97DC,繼光段五小段,77.00,都市：商
RPXRMLMKQHIFFCB78CC,何厝段,130.00,都市：商
RPOPMLMKQHIFFCB67CC,保安段,14.30,都市：住
RPSNMLNKQHIFFCB97CC,惠來厝段,.00,都市：住
RPTPMLNKQHIFFCB28CC,田心段,3.56,都市：其他
RPORMLMKQHIFFCB97DC,惠國段,57.63,都市：住
RPSPMLNKQHIFFCB18CC,田心段,3.56,都市：其他
RPRPMLMKQHIFFCB97CC,保安段,11.44,都市：住
RPWNMLNKQHIFFCB38CC,上石碑段,80.00,都市：住
RPOPMLNKQHIFFAB57CC,仁愛段五小段,3.74,都市：住
RPSQMLNKQHIFFAB08CC,下橋子頭段,4.67,都市：商
RPTQMLNKQHIFFAB18CC,下橋子頭段,1.85,都市：商
RPXNMLNKQHIFFAB38DC,麻園頭段,18.50,都市：住
RPXNMLNKQHIFFAB38DC,麻園頭段,18.50,都市：住
RPXNMLNKQHIFFAB38DC,麻園頭段,28.75,都市：住
RPXNMLNKQHIFFAB38DC,麻園頭段,28.75,都市：住
RPQPMLOKQHIFFCB18DC,惠安段,156.51,都市：住
RPPPMLOKQHIFFCB08DC,惠安段,152.89,都市：住
RPVNMLOKQHIFFAL56CC,后豐段,10.85,都市：其他
RPVNMLOKQHIFFAL56CC,后豐段,292.46,都市：住
RPWOMLOKQHIFFAL76CC,車路墘段車路墘小段,62.00,都市：住
RPRQMLOKQHIFFCB28CC,惠民段,15.74,都市：其他
RPUQMLOKQHIFFCB58CC,大新段,82.00,都市：商
RPVQMLOKQHIFFCB68CC,惠國段,12.67,都市：其他
RPQNMLNKQHIFFHL76DC,平欣段,78.00,都市：住
RPWQMLPKQHIFFCB88CC,中仁段,20.51,都市：住
RPSSMLPKQHIFFCB68CC,田心段,114.00,都市：住
RPSSMLPKQHIFFCB68CC,田心段,43.00,都市：住
RPVNMLPKQHIFFAL66CC,大順段,348.21,都市：工
RPXNMLPKQHIFFAL86CC,大順段,83.98,都市：工
RPQOMLPKQHIFFAL88CC,合作段,230.31,都市：住
RPQNMLPKQHIFFHL86CC,宜欣段,92.00,都市：住
RPXPMLPKQHIFFAB68CC,麻園頭段,79.00,都市：住
RPPQMLPKQHIFFAB97CC,下橋子頭段,.00,都市：住
RPWQMLPKQHIFFAB68CC,下橋子頭段,1.83,都市：商
RPXQMLPKQHIFFAB78CC,下橋子頭段,1.83,都市：商
RPPRMLPKQHIFFAB08CC,下橋子頭段,3.84,都市：商
RPQRMLPKQHIFFAB18CC,下橋子頭段,3.84,都市：商
RPRRMLPKQHIFFAB28CC,下橋子頭段,3.86,都市：商
RPPNMLPKQHIFFAL78DC,三陽段,233.00,都市：住
RPRPMLQKQHIFFAB18CC,下橋子頭段,68.00,都市：住
RPWOMLQKQHIFFAB58CC,旱清段,7.32,都市：住
RPRQMLQKQHIFFCB48CC,福星段,28.83,都市：住
RPVNMLQKQHIFFFL27CC,學雅段,110.15,都市：住
RPQQMLNKQHIFFBB97CC,軍福段,773.60,都市：住
RPVRMLPKQHIFFBB78CC,松竹段,5.52,都市：住
RPWNMLRKQHIFFAB58CC,麻園頭段,16.83,都市：住
RPPOMLRKQHIFFAB97CC,下橋子頭段,30.40,都市：住
RPVNMLRKQHIFFBB58CC,平田段,9.13,都市：住
RPVNMLRKQHIFFBB58CC,平田段,1.68,都市：住
RPQOMLTKQHIFFAB28CC,麻園頭段,107.00,都市：住
RPUNMLRKQHIFFBB48CC,北屯段,26.00,都市：住
RPUNMLRKQHIFFBB48CC,北屯段,36.00,都市：住
RPUOMLTKQHIFFAL17DC,豐社段,656.86,都市：工
RPROMLTKQHIFFAL86DC,豐社段,656.86,都市：工
RPQNMLTKQHIFFCB38CC,協和段,.00,都市：工
RPSPMLTKQHIFFCB78CC,何厝段,134.00,都市：商
RPQQMLOKQHIFFBB08CC,乾溝子段,10.02,都市：住
RPVPMLOKQHIFFBB58DC,陳平段,67.69,都市：商
RPVPMLTKQHIFFBB98CC,賴厝段,12.54,都市：住
RPTPMLTKQHIFFBB78CC,松茂段,19.51,都市：住
RPWPMLOKQHIFFBB68DC,陳平段,66.85,都市：商
RPVRMLTKQHIFFCB66CC,惠信段,10.64,都市：住
RPRQMLOKQHIFFBB18CC,東光段,4.65,都市：住
RPRQMLOKQHIFFBB18CC,北屯段,3.53,都市：住
RPRQMLOKQHIFFBB18CC,邱厝子段,.80,都市：住
RPORMLOKQHIFFBB97CC,乾溝子段,10.17,都市：住
RPQQMLTKQHIFFBB58CC,崇德段,5.16,都市：住
RPRPMLOKQHIFFBB08CC,賴厝段,11.13,都市：住
RPXNMLKLQHIFFBB18CC,平田段,47.74,都市：住
RPVNMLKLQHIFFBB97CC,中興段,81.00,都市：住
RPOOMLKLQHIFFBB37CC,北屯段,59.50,都市：其他
RPUNMLKLQHIFFFL66CC,上楓段,.00,非都市： ; 非都市編定：
RPPPMLKLQHIFFBB57CC,文正段,79.00,都市：住
RPUOMLKLQHIFFBB97CC,水源段,.00,都市：商
RPSNMLKLQHIFFCB77CC,西屯段,23.62,都市：住
RPWNMLKLQHIFFCB18CC,田心段,60.17,都市：住
RPWPMLKLQHIFFCB38CC,惠智段,805.18,都市：住
RPWQMLKLQHIFFCB48CC,大新段,13.54,都市：住
RPVQMLKLQHIFFCB38CC,何厝段,117.00,都市：商
RPUNMLKLQHIFFCL98CC,南簡段,146.00,都市：住
RPUNMLKLQHIFFCB97CC,上石碑段,66.53,都市：住
RPSNMLMLQHIFFBB87CC,賴厝段,2.86,都市：住
RPPOMLMLQHIFFAB57CC,土庫段,23.71,都市：住
RPXPMLMLQHIFFBB58CC,賴厝段,4.19,都市：商
RPXPMLMLQHIFFBB58CC,邱厝子段,3.36,都市：商
RPQQMLMLQHIFFBB97CC,賴厝段,4.42,都市：商
RPQQMLMLQHIFFBB97CC,邱厝子段,3.55,都市：商
RPXNMLNLQHIFFAB38CC,後子段,86.00,都市：住
RPORMLMLQHIFFCB97CC,大明段,104.00,都市：住
RPSPMLMLQHIFFCB18CC,中正段,7.87,都市：住
RPPQMLMLQHIFFCB97CC,福安段,16.06,都市：住
RPQPMLMLQHIFFAB77CC,後子段,257.00,都市：住
RPQPMLMLQHIFFAB77CC,後子段,9.00,都市：住
