編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPXNMLLJQHIFFIE09CC,保社段,1223.14,都市：工
RPVNMLMJQHIFFCE38CC,愛群段,18.00,都市：商
RPTNMLLJQHIFFCE08CC,獅甲段,1.44,都市：住
RPTNMLLJQHIFFCE08CC,獅甲段,4.54,都市：住
RPVNMLLJQHIFFBE18CC,意誠段,.00,都市：商
RPSNMLLJQHIFFBE87CC,成功段,14.34,都市：住
RPSNMLNJQHIFFBE08CC,意誠段,7.80,都市：其他
RPWOMLMJQHIFFBE48CC,苓洲段,21.24,都市：商
RPQOMLMJQHIFFBE87CC,苓洲段,16.32,都市：商
RPVNMLMJQHIFFEE58CC,福民段,14.98,都市：住
RPXNMLMJQHIFFDE68CC,灣和段,136.71,都市：住
RPQNMLOJQHIFFEE38DC,和平段一小段,21.00,都市：住
RPWOMLLJQHIFFAE28CC,鹽壽段,2582.00,都市：商
RPQOMLLJQHIFFAE67CC,龍華段一小段,2995.00,都市：住
RPRNMLOJQHIFFAE97CC,文東段,.00,都市：住
RPPNMLOJQHIFFBE87CC,意誠段,.00,都市：商
RPUPMLMJQHIFFAE28CC,鹽新段,51.51,都市：商
RPQNMLOJQHIFFAE87CC,龍中段,.00,非都市： ; 非都市編定：
RPRNMLPJQHIFFAE08CC,龍華段二小段,57.00,都市：住
RPROMLLJQHIFFAE77CC,青海段,13.20,都市：商
RPWNMLNJQHIFFDE68CC,陽明段四小段,.00,非都市： ; 非都市編定：
RPUNMLPJQHIFFEE78CC,福民段,12.53,都市：住
RPUQMLPJQHIFFEE09CC,和平段三小段,27.37,都市：住
RPOSMLQJQHIFFEE78CC,興隆段,8.20,都市：住
RPRNMLNJQHIFFCE08CC,獅甲段,.00,都市：住
RPQOMLQJQHIFFEE68DC,高昌段,24.13,都市：住
RPWOMLQJQHIFFAE88DC,龍中段,24.87,都市：住
RPXNMLQJQHIFFAE78CC,龍華段八小段,5.54,都市：住
RPTOMLQJQHIFFCE68CC,愛群段,1.89,都市：商
RPPPMLPJQHIFFCE28CC,盛興段,77.00,都市：商
RPXOMLQJQHIFFCE09CC,草衙段三小段,1374.00,都市：住
RPTNMLQJQHIFFBE48CC,大統段一小段,13.68,都市：商
RPUPMLPJQHIFFDE88CC,灣內段,.00,都市：住
RPOOMLQJQHIFFAE97CC,前金段,39.60,都市：商
RPXOMLQJQHIFFAE88CC,龍中段,1171.80,都市：商
RPUNMLQJQHIFFBE58CC,林德官段一小段,33.06,非都市： ; 非都市編定：
RPWOMLQJQHIFFBE88CC,新興段一小段,3.75,都市：商
RPPOMLRJQHIFFBE28CC,意誠段,5.73,都市：商
RPXPMLPJQHIFFDE56CC,中都段二小段,.00,都市：住
RPSNMLQJQHIFFDE58CC,大港段,26.26,都市：住
RPROMLRJQHIFFAE38CC,東金段,5.76,都市：商
RPWOMLSJQHIFFAE98CC,博孝段,6.88,都市：住
RPTNMLRJQHIFFIE66CC,竹園段,282.00,都市：工
RPTNMLTJQHIFFDE98CC,灣和段,.00,都市：商
RPUNMLTJQHIFFDE09CC,灣和段,.00,都市：商
RPTNMLSJQHIFFDE88CC,三塊厝段一小段,2.99,都市：商
RPUNMLSJQHIFFCE88CC,佛公段,11.34,非都市： ; 非都市編定：
RPROMLTJQHIFFEE98CC,新博段,306.15,都市：住
RPWPMLTJQHIFFEE96CC,新福段二小段,11.16,都市：住
RPPQMLTJQHIFFEE98CC,福山段,25.09,都市：住
RPUNMLTJQHIFFBE88CC,大統段二小段,.00,都市：商
RPUNMLTJQHIFFBE88CC,大統段二小段,.00,都市：商
RPPNMLNJQHIFFGE28CC,五甲段,67.00,非都市： ; 非都市編定：
RPSPMLSJQHIFFGE66CC,大貝湖段,100.56,都市：住
RPRPMLRJQHIFFGE09CC,七老爺段一甲小段,148.00,都市：住
RPRPMLRJQHIFFGE09CC,七老爺段一甲小段,10.00,都市：其他
RPPOMLTJQHIFFGE98CC,大貝湖段,144.49,都市：住
RPRPMLTJQHIFFGE66CC,道爺?段,.00,非都市： ; 非都市編定：
RPQPMLTJQHIFFGE56CC,文英段,115.00,都市：住
RPSPMLTJQHIFFGE76CC,明頂段,68.00,都市：住
RPWOMLTJQHIFFEE96DC,新庄段十三小段,7.83,都市：商
RPXOMLTJQHIFFEE07DC,新庄段二小段,36.10,都市：住
RPRNMLKKQHIFFEE08CC,翠屏段一小段,18.78,都市：住
RPSNMLMKQHIFFGE58CC,新甲段,58.00,都市：住
RPVNMLNKQHIFFEE78CC,福山段,12.34,都市：住
RPVNMLMKQHIFFAE28CC,北金段,1753.00,都市：住
RPWPMLNKQHIFFEE09CC,新庄段七小段,.00,都市：住
RPUNMLMKQHIFFCE38CC,憲德段一小段,5014.00,都市：住
RPPQMLNKQHIFFEE48CC,新庄段十二小段,.00,都市：商
RPRPMLNKQHIFFDE48CC,大港段七小段,26.44,都市：住
RPXPMLNKQHIFFDE09CC,鼎泰段一小段,98.00,都市：住
RPXPMLNKQHIFFDE09CC,鼎泰段一小段,32.00,都市：住
RPOOMLMKQHIFFBE77CC,意誠段,.00,都市：商
RPSOMLOKQHIFFDE58CC,三塊厝段一小段,3.24,都市：商
RPTOMLOKQHIFFDE68CC,大港段,516.00,都市：商
RPTOMLOKQHIFFDE68CC,大港段,126.00,都市：住
RPQNMLKKQHIFFAE57CC,龍華段八小段,9.69,都市：住
RPSNMLKKQHIFFAE77CC,龍中段,9.53,都市：商
RPWPMLOKQHIFFDE09CC,灣子內段寶珠溝小段,2167.00,都市：住
RPSOMLNKQHIFFBE28CC,林德官段,.00,都市：住
RPWOMLOKQHIFFGE66CC,新甲段,75.00,都市：住
RPTOMLPKQHIFFEE98DC,新民段,7.49,都市：商
RPWQMLOKQHIFFAE88CC,龍華段八小段,7.96,都市：商
RPSNMLPKQHIFFBE38CC,意誠段,.00,都市：商
RPTOMLOKQHIFFBE48CC,五塊厝段,42.80,都市：住
RPUOMLOKQHIFFBE58CC,過田子段,71.00,都市：商
RPQNMLPKQHIFFBE18CC,福東段,74.00,都市：商
RPTNMLPKQHIFFBE48CC,大統段二小段,71.30,都市：商
RPVNMLPKQHIFFBE68CC,意誠段,.00,都市：商
RPXNMLPKQHIFFBE88CC,福裕段,33.60,都市：住
RPXOMLQKQHIFFEE86DC,楠梓段五小段,14.07,都市：住
RPVNMLPKQHIFFDE88CC,灣和段,107.37,都市：住
RPRPMLQKQHIFFEE88CC,福山段,2.49,都市：商
RPRPMLQKQHIFFEE88CC,福山段,6.03,都市：商
RPRPMLQKQHIFFEE88CC,福山段,4.28,都市：商
RPPOMLQKQHIFFBE38DC,大統段一小段,73.00,都市：商
RPWOMLQKQHIFFBE98CC,大統段一小段,.00,都市：商
