鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
龜山區,房地(土地+建物),桃園縣龜山鄉興華二街1~30號,13.4,住,,,1020709,土地1建物1車位0,二層,五層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0950530,31.42,1,1,1,有,無,2570000,81795,,0.0,0,,RPSRMLMJQHIFFAH38CA
桃園區,土地,同安段1771~1800地號,463.0,住,,,1020708,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,119051190,257130,,0.0,0,,RPWRMLMJQHIFFAH78CA
龜山區,房地(土地+建物)+車位,桃園縣龜山鄉龍鳳街32巷1~30號,41.13,住,,,1020731,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010307,215.56,3,2,2,有,有,15800000,83314,坡道平面,40.32,1200000,,RPXRMLMJQHIFFAH88CA
桃園區,房地(土地+建物)+車位,桃園縣桃園市泰昌一街61~90號,19.54,住,,,1020701,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820528,92.28,2,2,1,有,有,3560000,38578,坡道平面,0.0,0,,RPRSMLMJQHIFFAH38CA
龜山區,土地,楓樹坑段楓樹坑小段991~1020地號,1250.0,其他,,,1020626,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5300000,4240,,0.0,0,,RPVSMLMJQHIFFAH78CA
龜山區,房地(土地+建物),桃園縣龜山鄉文七一街91~120號,107.17,住,,,1020708,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0820629,258.89,5,2,5,有,無,17000000,65665,,0.0,0,,RPRNMLPJQHIFFAH18CA
桃園區,房地(土地+建物),桃園縣桃園市和興街1~30號,4.61,住,,,1020722,土地1建物1車位0,四層，陽台,六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0690820,27.68,1,1,1,有,有,850000,30708,,0.0,0,,RPVPMLPJQHIFFAH78CA
桃園區,房地(土地+建物),桃園縣桃園市南平路110巷1~30號,18.0,住,,,1020724,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701022,57.44,2,1,1,有,無,3500000,60933,,0.0,0,,RPUQMLPJQHIFFAH78CA
桃園區,土地,峨眉段871~900地號,67.24,住,,,1020709,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5080000,75550,,0.0,0,,RPVTMLPJQHIFFAH56CA
