鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
員林市,房地(土地+建物),彰化縣員林鎮臺鳳路11巷1~30號,83.0,住,,,1020707,土地1建物0車位0,三層,4,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1010130,25.0,1,1,1,有,無,有,8800,352,,0.0,0,,RPVOMLPJQHIFFDN17CC
社頭鄉,建物,彰化縣社頭鄉忠勇街1~30號,0.0,,,,1020725,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0800709,191.65,2,2,2,有,無,有,8000,42,,0.0,0,,RPQNMLPJQHIFFEN86EC
彰化市,房地(土地+建物),彰化縣彰化市三福街91~120號,60.0,住,,,1020827,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0680625,79.76,3,2,1,有,無,有,10000,125,,0.0,0,,RPQOMLSLQHIFFAN96DC
鹿港鎮,土地,鹿鳳段1051~1080地號,114.0,,鄉村區,乙種建築用地,1020801,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,17000,149,,0.0,0,有民情風俗因素之租賃。,RPPNMLLMQHIFFCN88CC
鹿港鎮,土地,鹿鳳段1051~1080地號,23.0,,鄉村區,乙種建築用地,1020801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,17000,739,,0.0,0,有民情風俗因素之租賃。含增建或未登記建物。,RPQNMLLJRHIFFCN78CC
鹿港鎮,土地,鹿鳳段1051~1080地號,33.0,,鄉村區,乙種建築用地,1020801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,16000,485,,0.0,0,有民情風俗因素之租賃。,RPRNMLLJRHIFFCN88CC
和美鎮,土地,和東段691~720地號,102.0,商,,,1020809,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,20000,196,,0.0,0,,RPPNMLLJRHIFFBN58CC
鹿港鎮,建物,彰化縣鹿港鎮裕民街61~90號,136.0,住,,,1020901,土地0建物0車位0,全,2,透天厝,住家用,加強磚造,0880105,74.08,5,2,5,有,無,有,4500,61,,0.0,0,,RPQOMLMJRHIFFCN98CC
田尾鄉,房地(土地+建物),彰化縣田尾鄉中山路二段451~480號,594.0,其他,,,1020809,土地1建物1車位0,見其他登記事項,2,店面(店鋪),見其他登記事項,鋼筋混凝土造,0740111,1001.79,0,0,0,無,無,無,55000,55,,0.0,0,10/31前為修繕期無租金費用,RPQNMLNJRHIFFFN76DC
