編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLSLQHIFFAN96DC,34,79.76,住家用,鋼筋混凝土加強磚造,68年6月25日,二層,
RPQNMLNJRHIFFFN76DC,29,1001.79,見其他登記事項,鋼筋混凝土造,74年1月11日,二層,
RPQNMLPJRHIFFDN76DC,16,143.23,住商用,鋼筋混凝土造,86年6月14日,五層,
RPVOMLPJQHIFFDN17CC,1,25.00,見其他登記事項,鋼筋混凝土造,101年1月30日,四層,
RPQNMLPJQHIFFEN86EC,22,191.65,住家用,鋼筋混凝土造,80年7月9日,三層,
RPWOMLKKRHIFFAN66CC,42,66.46,住商用,磚造,60年12月1日,一層,
RPOOMLQLRHIFFAN66DC,12,2140.09,見其他登記事項,鋼筋混凝土造,90年7月26日,四層,
RPOOMLQLRHIFFAN66DC,12,2460.83,見其他登記事項,鋼筋混凝土造,90年7月26日,三層,
RPQNMLKKRHIFFFN09CC,21,685.55,住商用,鋼造,82年1月14日,二層,
RPPNMLOLRHIFFFN86CC,,398.80,見其他登記事項,見其他登記事項,102年7月31日,一層,
RPPNMLOLRHIFFFN86CC,,398.80,見其他登記事項,見其他登記事項,102年7月31日,一層,
RPSNMLRLRHIFFBN17DC,12,188.00,住商用,鋼筋混凝土造,90年12月4日,三層,
RPSNMLRLRHIFFBN17DC,12,100.12,住商用,鋼筋混凝土造,90年12月4日,三層,
RPROMLRLRHIFFAN96CC,40,3727.64,工業用,鋼筋混凝土加強磚造,62年12月10日,二層,
RPQOMLMLIIIFFAN28DC,37,177.36,住商用,鋼筋混凝土造,66年3月8日,三層,
RPRNMLOLIIIFFAN38CC,53,74.77,住家用,磚造,49年5月5日,二層,
RPWNMLTLIIIFFAN76CC,40,266.40,住商用,加強磚造,62年9月2日,三層,
RPPNMLRKIIIFFBN58DC,2,201.28,見其他登記事項,鋼筋混凝土造,100年7月18日,四層,
RPTNMLMJIIIFFBN38DC,2,201.28,見其他登記事項,鋼筋混凝土造,100年7月18日,四層,
RPRNMLLKIIIFFHN78DC,8,211.54,住家用,鋼筋混凝土造,94年9月15日,三層,
RPQOMLMJRHIFFCN98CC,15,74.08,住家用,加強磚造,88年1月5日,二層,
