鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新竹市,房地(土地+建物),新竹市新竹市武陵路179巷1~30號,16.43,住,,,1020715,土地2建物1車位0,十四層,21,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890501,113.57000000000001,3,2,2,有,有,有,25556,225,,0.0,0,,RPPPMLMJQHIFFAO78CC
新竹市,建物,新竹市新竹市世界街60巷1~30號,0.0,住,,,1020709,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730207,74.55,1,1,1,有,無,有,8500,114,,0.0,0,,RPRPMLMJQHIFFAO09DC
新竹市,建物,新竹市新竹市中正路96巷1~30號,0.0,商,,,1020710,土地0建物1車位0,二層,10,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0971230,24.2,1,1,1,有,有,有,16000,661,,0.0,0,,RPSPMLMJQHIFFAO56DC
新竹市,建物,新竹市新竹市明湖路751~780號,0.0,其他,,,1020719,土地0建物1車位0,二層,4,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0940220,30.98,1,1,1,有,有,有,12000,387,,0.0,0,,RPTPMLMJQHIFFAO66DC
新竹市,建物,新竹市新竹市明湖路721~750號,0.0,其他,,,1020719,土地0建物1車位0,地下二層,4,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0940220,30.98,1,1,1,有,有,有,9000,291,,0.0,0,,RPUPMLMJQHIFFAO76DC
新竹市,建物,新竹市新竹市中央路245巷61~90號,0.0,商,,,1020724,土地0建物1車位0,十一層,1,店面(店鋪),見其他登記事項,鋼筋混凝土造,1010221,53.98,0,0,0,無,有,無,33000,611,,0.0,0,,RPVPMLMJQHIFFAO86DC
新竹市,建物,新竹市新竹市中山路151~180號,0.0,商,,,1020724,土地0建物1車位0,二層,9,套房(1房1廳1衛),商業用,鋼筋混凝土造,,86.84,1,1,1,有,有,無,8000,92,,0.0,0,,RPWPMLMJQHIFFAO96DC
新竹市,建物,新竹市新竹市興南街1~30號,0.0,住,,,1020727,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750917,87.6,3,2,1,有,無,有,13000,148,,0.0,0,,RPXPMLMJQHIFFAO07DC
新竹市,建物,新竹市新竹市花園街61~90號,0.0,住,,,1020724,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0881201,82.05,3,2,2,有,有,有,14000,171,,0.0,0,,RPPNMLNJQHIFFAO68CC
新竹市,建物,新竹市新竹市建新路110巷12弄1~30號,0.0,住,,,1020730,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0670123,57.28,2,2,1,有,無,有,10000,175,,0.0,0,,RPQNMLNJQHIFFAO78CC
新竹市,建物,新竹市新竹市中華路四段691~720號,0.0,商,,,1020727,土地0建物1車位0,五層,6,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960630,18.23,1,1,1,有,有,有,5800,318,,0.0,0,,RPXPMLPJQHIFFAO37DC
新竹市,建物,新竹市新竹市明湖路751~780號,0.0,其他,,,1020728,土地0建物1車位0,二層,4,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0940220,30.98,1,1,1,有,有,有,10000,323,,0.0,0,,RPPQMLPJQHIFFAO66DC
新竹市,建物,新竹市新竹市明湖路751~780號,0.0,其他,,,1020719,土地0建物1車位0,二層,4,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0940220,30.98,1,1,1,有,有,有,12000,387,,0.0,0,,RPVPMLPJQHIFFAO27EC
新竹市,建物,新竹市新竹市武陵路245巷1~30號,0.0,住,,,1020721,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860410,96.77,2,2,1,有,有,無,10000,103,,0.0,0,,RPXOMLQJQHIFFAO27CC
新竹市,建物,新竹市新竹市光復路一段41巷1~30號,0.0,住,,,1020716,土地0建物1車位0,五層,7,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960501,23.04,1,0,1,有,有,有,12000,521,,0.0,0,,RPOPMLQJQHIFFAO09CC
新竹市,建物,新竹市新竹市民權路181~210號,0.0,,,,1020805,土地0建物1車位0,全,3,透天厝,見其他登記事項,見其他登記事項,0971110,21.0,0,0,0,無,無,無,10000,476,,0.0,0,,RPSSMLRJQHIFFAO27CC
新竹市,房地(土地+建物)+車位,新竹市新竹市鐵道路一段1~30號,20.57,其他,,,1020802,土地1建物1車位1,一層,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,1000718,141.31,0,0,0,無,有,無,25300,179,坡道平面,33.91,0,,RPTOMLTJQHIFFAO17CC
新竹市,建物,新竹市新竹市金竹路121~150號,0.0,住,,,1020721,土地0建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871015,78.28,3,2,2,有,有,有,12500,160,坡道機械,0.0,0,,RPTOMLOKQHIFFAO76CC
新竹市,建物,新竹市新竹市武陵路245巷10弄1~30號,0.0,住,,,1020731,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770816,82.61,3,2,1,有,無,無,10000,121,,0.0,0,,RPOPMLOKQHIFFAO98CC
新竹市,建物,新竹市新竹市水田街211~240號,0.0,住,,,1020728,土地0建物1車位0,五層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,,41.19,1,1,1,有,無,無,8000,194,,0.0,0,,RPPPMLOKQHIFFAO09CC
新竹市,建物,新竹市新竹市西大路721~750號,0.0,住,,,1020725,土地0建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.74,3,2,2,有,有,無,11000,117,,0.0,0,,RPRPMLOKQHIFFAO66CC
新竹市,土地,西濱段481~510地號,1015.89,住,,,1020719,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,46097,45,,0.0,0,102.9.19~105.9.19租金為每坪150元46097元/月105.9.19~108.9.19租金為每坪160元49170元/月108.9.19~110.9.19租金為每坪170元52243元/月110.9.19~111.9.19租金為每坪180元55316元/月,RPXPMLOKQHIFFAO27CC
新竹市,建物,新竹市新竹市東區東門街34巷31~60號,0.0,商,,,1020720,土地0建物1車位0,十九層,25,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011015,230.56,3,2,3,有,有,有,45000,195,,0.0,0,,RPPVMLQKQHIFFAO27CC
新竹市,房地(土地+建物),新竹市新竹市光復路一段361~390號,59.74,其他,,,1020722,土地1建物1車位0,見其他登記事項,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,0980601,309.98,4,2,3,有,有,無,69000,223,,0.0,0,,RPPNMLKLQHIFFAO68DC
新竹市,建物,新竹市新竹市光華東街1~30號,13.47,住,,,1020726,土地0建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861005,134.16,3,2,2,有,有,有,25000,186,坡道平面,0.0,0,,RPVTMLMLQHIFFAO47DC
新竹市,建物,新竹市新竹市光復路一段41巷1~30號,0.0,住,,,1020802,土地0建物1車位0,五層,7,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960501,22.72,1,0,1,有,有,有,11000,484,,0.0,0,,RPOPMLNLQHIFFAO98CC
新竹市,建物,新竹市新竹市東大路二段173巷13弄1~30號,0.0,,,,1020805,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,91.2,3,2,2,有,無,有,12000,132,,0.0,0,,RPTPMLNLQHIFFAO86CC
新竹市,建物,新竹市新竹市民生路271~300號,0.0,住,,,1020808,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830122,63.16,2,2,1,有,無,有,9000,142,,0.0,0,,RPUPMLNLQHIFFAO96CC
新竹市,建物,新竹市新竹市北區中正路223巷1~30號,0.0,住,,,1020805,土地0建物1車位1,六層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950217,169.38,4,2,2,有,有,有,35000,207,坡道機械,0.0,0,,RPTNMLPLQHIFFAO86CC
新竹市,建物,新竹市新竹市東區民族路241~270號,156.0,住,,,1020810,土地0建物1車位0,全,3,透天厝,住家用,加強磚造,,281.14,0,0,0,無,無,無,30000,107,,0.0,0,,RPUNMLPLQHIFFAO96CC
新竹市,建物,新竹市新竹市關新路1~30號,0.0,,,,1020823,土地0建物1車位0,十四層,18,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0970911,193.11,0,0,0,無,有,無,60000,311,,0.0,0,,RPWNMLQLQHIFFAO27CC
新竹市,建物,新竹市新竹市忠孝路421~450號,0.0,,,,1020824,土地0建物1車位0,三層,12,辦公商業大樓,辦公室,鋼筋混凝土造,0861201,107.97,3,1,2,有,無,無,19500,181,,0.0,0,,RPXNMLQLQHIFFAO37CC
新竹市,建物,新竹市新竹市長春街62巷1~30號,25.46,其他,,,1020801,土地0建物1車位1,三層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951012,149.15,3,2,2,有,有,有,32685,219,坡道機械,0.0,0,,RPROMLQLQHIFFAO96DC
新竹市,建物,新竹市新竹市和平路86巷1~30號,0.0,住,,,1020808,土地0建物1車位0,一層,8,店面(店鋪),住商用,鋼筋混凝土造,0821026,93.46000000000001,1,1,1,有,有,無,21000,225,,0.0,0,,RPUOMLQLQHIFFAO37EC
新竹市,建物,新竹市新竹市林森路158巷1~30號,0.0,住,,,1020815,土地0建物1車位0,見其他登記事項,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700223,159.92,8,2,3,有,無,有,20000,125,,0.0,0,,RPPOMLKMQHIFFAO78CC
新竹市,建物,新竹市新竹市埔頂一路451~480號,24.53,住,,,1020829,土地0建物1車位2,十五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1001001,81.62,3,2,2,有,有,有,26000,319,升降機械,0.0,0,,RPROMLKMQHIFFAO98CC
新竹市,建物,新竹市新竹市東區金城一路61~90號,0.0,住,,,1020827,土地0建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1000713,191.3,3,2,2,有,有,無,20000,105,其他,0.0,0,,RPSNMLLMQHIFFAO09CC
新竹市,建物,新竹市新竹市湳雅街331~360號,0.0,住,,,1020824,土地0建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870720,142.94,4,2,2,有,有,有,20000,140,一樓平面,0.0,0,含管理費,RPTNMLLMQHIFFAO56CC
新竹市,建物,新竹市新竹市中央路151~180號,0.0,住,,,1020822,土地0建物1車位0,五層,29,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0961101,165.79,2,2,2,有,有,有,32222,194,,0.0,0,租金含稅價含二代健保費,RPPNMLLJRHIFFAO58CC
新竹市,建物,新竹市新竹市明湖路400巷51弄1~30號,0.0,住,,,1020829,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851009,129.89,3,2,2,有,無,無,14000,108,,0.0,0,,RPQNMLLJRHIFFAO68CC
新竹市,建物,新竹市新竹市埔頂路121~150號,0.0,住,,,1020819,土地0建物1車位0,一層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0841208,115.37,0,0,0,無,有,無,20000,173,,0.0,0,,RPQOMLNJRHIFFAO98CC
新竹市,房地(土地+建物),新竹市新竹市中正路301~330號,196.0,住,,,1020823,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住家用,加強磚造,,133.0,0,3,3,有,無,無,80000,602,,0.0,0,,RPRNMLPJRHIFFAO56CC
新竹市,建物,新竹市新竹市明湖路721~750號,0.0,其他,,,1020812,土地0建物1車位1,地下三層,4,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0940220,30.98,1,1,1,有,有,有,12000,387,坡道平面,0.0,0,,RPWPMLPJRHIFFAO47EC
新竹市,建物,新竹市新竹市西大路582巷15弄1~30號,0.0,商,,,1020806,土地0建物1車位0,三層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0851105,29.06,1,1,1,有,有,有,7500,258,,0.0,0,,RPPOMLPJRHIFFAO56DC
新竹市,建物,新竹市新竹市東山街16巷1~30號,0.0,住,,,1020812,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681124,74.05,3,2,1,有,無,有,12000,162,,0.0,0,,RPROMLPJRHIFFAO76DC
新竹市,建物,新竹市新竹市西大路582巷15弄1~30號,0.0,商,,,1020813,土地0建物1車位0,二層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0851105,23.32,1,1,1,有,有,有,8500,364,,0.0,0,,RPTOMLPJRHIFFAO96DC
新竹市,建物,新竹市新竹市海濱路1~30號,0.0,住,,,1020816,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0720607,112.4,2,2,2,有,無,無,14000,125,,0.0,0,,RPVOMLPJRHIFFAO17DC
新竹市,建物,新竹市新竹市北新街121~150號,0.0,住,,,1020817,土地0建物1車位0,四層,10,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0980319,32.97,2,2,1,有,有,有,20000,607,,0.0,0,,RPWOMLPJRHIFFAO27DC
新竹市,建物,新竹市新竹市中山路640巷1~30號,0.0,住,,,1020822,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0780127,91.84,2,2,2,有,無,無,9000,98,,0.0,0,,RPPPMLPJRHIFFAO66DC
新竹市,建物,新竹市新竹市南外街61~90號,0.0,商,,,1020822,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,77.53,3,2,2,有,無,有,11000,142,,0.0,0,,RPSPMLPJRHIFFAO96DC
新竹市,建物,新竹市新竹市明湖路751~780號,0.0,其他,,,1020826,土地0建物1車位0,地下四層,4,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0940220,30.98,1,1,1,有,有,有,8500,274,,0.0,0,,RPUPMLPJRHIFFAO17DC
新竹市,建物,新竹市新竹市建新路31~60號,0.0,住,,,1020807,土地0建物1車位0,四層,15,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0861111,96.14,3,2,2,有,有,有,18000,187,,0.0,0,,RPQPMLQJRHIFFAO96EC
新竹市,建物,新竹市新竹市英明街1~30號,0.0,商,,,1020807,土地0建物1車位0,三層,8,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0951101,54.79,3,2,2,有,有,有,28000,511,,0.0,0,,RPSPMLQJRHIFFAO17EC
新竹市,建物,新竹市新竹市建新路110巷12弄1~30號,0.0,住,,,1020817,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),國民住宅,加強磚造,,75.32,3,2,1,有,無,有,11000,146,,0.0,0,,RPWOMLQJRHIFFAO27CC
新竹市,建物,新竹市新竹市西大路582巷15弄1~30號,0.0,住,,,1020818,土地0建物1車位0,五層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0851105,18.27,1,0,1,有,有,有,7000,383,,0.0,0,,RPOPMLQJRHIFFAO56CC
新竹市,建物,新竹市新竹市和平路219巷1~30號,0.0,,鄉村區,乙種建築用地,1020821,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840629,67.54,2,2,1,有,無,有,10000,148,,0.0,0,,RPPPMLQJRHIFFAO66CC
新竹市,建物,新竹市新竹市民族路178巷1~30號,0.0,住,,,1020813,土地0建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870105,154.32,0,0,0,無,無,無,15000,97,,0.0,0,,RPRPMLQJRHIFFAO86CC
新竹市,建物,新竹市新竹市中山路40巷31~60號,0.0,住,,,1020817,土地0建物1車位0,全,3,透天厝,住家用,加強磚造,,116.71,5,2,4,有,有,有,16000,137,,0.0,0,,RPXNMLLKRHIFFAO86CC
新竹市,建物,新竹市新竹市田美三街5巷1~30號,0.0,住,,,1020831,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0790903,102.86,3,2,2,有,無,有,14500,141,,0.0,0,,RPQOMLLKRHIFFAO88CC
新竹市,建物,新竹市新竹市東大路三段77巷31~60號,0.0,,鄉村區,丁種建築用地,1020814,土地0建物1車位0,一層,1,廠辦,工業用,,0651104,674.14,0,0,0,無,無,無,50000,74,,0.0,0,,RPSPMLNKRHIFFAO76CC
新竹市,建物,新竹市新竹市振興路102巷1~30號,0.0,住,,,1020818,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0801219,80.91,3,2,2,有,無,無,11000,136,,0.0,0,,RPWPMLNKRHIFFAO17CC
新竹市,建物,新竹市新竹市林森路301~330號,0.0,住,,,1020824,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0901120,91.32,3,2,2,有,無,有,11000,120,,0.0,0,,RPWPMLRKRHIFFAO57CC
新竹市,建物,新竹市新竹市食品路451~480號,0.0,,,,1020825,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0820712,65.24,2,2,1,有,無,有,12000,184,,0.0,0,,RPOQMLRKRHIFFAO86CC
新竹市,建物,新竹市新竹市東光路42巷1~30號,0.0,,,,1020828,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751016,111.87,4,2,3,有,有,有,14000,125,,0.0,0,,RPSQMLRKRHIFFAO27CC
新竹市,建物,新竹市新竹市牛埔東路271~300號,0.0,,,,1020912,土地0建物1車位0,見其他登記事項,3,店面(店鋪),見使用執照,鋼筋混凝土造,0790312,340.53,0,0,0,無,無,無,40000,117,,0.0,0,,RPOOMLSKRHIFFAO76CC
新竹市,房地(土地+建物),新竹市新竹市北區東大路二段172巷1弄1~30號,13.79,住,,,1020913,土地1建物1車位0,二層,10,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,0870615,80.74,3,2,2,有,有,有,12000,149,,0.0,0,,RPPNMLLLRHIFFAO78CC
新竹市,建物,新竹市新竹市光華街95巷1~30號,0.0,住,,,1020903,土地0建物1車位0,三層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,,48.03,1,1,1,有,有,有,8500,177,,0.0,0,,RPQNMLLLRHIFFAO88CC
新竹市,建物,新竹市新竹市中正路485巷1~30號,0.0,住,,,1020903,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820415,75.73,3,2,2,有,無,無,12000,158,,0.0,0,,RPRNMLLLRHIFFAO98CC
新竹市,房地(土地+建物),新竹市新竹市湳中街65巷1~30號,88.0,住,,,1020905,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0751029,133.72,5,2,2,有,無,無,16000,120,,0.0,0,,RPTNMLLLRHIFFAO56CC
新竹市,建物,新竹市新竹市光華南街61~90號,0.0,住,,,1020905,土地0建物1車位0,見其他登記事項,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820222,58.0,3,0,3,有,無,有,19500,336,,0.0,0,,RPUNMLLLRHIFFAO66CC
新竹市,房地(土地+建物)+車位,新竹市新竹市光復路一段361~390號,17.02,住,,,1020913,土地1建物1車位1,九層,14,其他,見其他登記事項,鋼筋混凝土造,0900515,137.93,4,2,2,有,無,有,18750,136,坡道平面,34.19,0,,RPPPMLNLRHIFFAO56CC
新竹市,建物,新竹市新竹市東區長春街154巷31~60號,0.0,住,,,1020915,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,51.88,2,2,2,有,無,有,8000,154,,0.0,0,,RPTNMLPLRHIFFAO96CC
新竹市,建物,新竹市新竹市建功ㄧ路51巷1~30號,0.0,住,,,1020909,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0730523,75.9,3,2,2,有,無,無,13000,171,,0.0,0,,RPSOMLQLRHIFFAO07CC
新竹市,建物,新竹市新竹市中華路二段31~60號,0.0,商,,,1020918,土地0建物1車位0,二層,5,店面(店鋪),住商用,鋼筋混凝土造,,302.67,0,0,0,無,無,無,70000,231,,0.0,0,,RPTSMLQLRHIFFAO57CC
新竹市,建物,新竹市新竹市元培街1~30號,0.0,商,,,1020901,土地0建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831123,90.03,3,2,2,有,無,有,15000,167,,0.0,0,,RPRUMLQLRHIFFAO77EC
新竹市,建物,新竹市新竹市水田街206巷31~60號,0.0,住,,,1020902,土地0建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,0780612,206.36,6,2,3,有,無,有,21000,102,,0.0,0,,RPTTMLQLRHIFFAO77DC
新竹市,建物,新竹市新竹市中央路245巷31~60號,0.0,商,,,1020909,土地0建物1車位0,六層,11,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1010221,44.86,1,1,1,有,有,有,21591,481,,0.0,0,,RPUTMLQLRHIFFAO87DC
