鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西螺鎮,房地(土地+建物),雲林縣西螺鎮西興南路61~90號,133.11,住,,,1020802,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0821006,334.42,5,2,3,有,無,無,15000,45,,0.0,0,,RPSNMLKLQHIFFCP56CC
虎尾鎮,土地,博愛段31~60地號,1057.0,農,,,1020806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,45000,43,,0.0,0,,RPOOMLKLQHIFFDP98CC
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮興南里841~870號,72.0,,特定農業區,甲種建築用地,1020812,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0851030,202.26,4,3,3,有,有,無,10000,49,,0.0,0,,RPROMLKLQHIFFDP66CC
虎尾鎮,土地,安慶段511~540地號,2599.0,,特定農業區,農牧用地,1020918,土地1建物0車位0,,,其他,,,,0.0,6,0,0,有,無,有,30000,12,,0.0,0,,RPQNMLMLRHIFFDP76CC
土庫鎮,房地(土地+建物),雲林縣土庫鎮雙人厝61~90號,380.0,,特定農業區,農牧用地,1020920,土地1建物1車位0,見其他登記事項,2,農舍,農舍,鐵造,0831015,87.0,5,2,2,有,無,有,25000,,,0.0,0,,RPRNMLMLRHIFFDP86CC
西螺鎮,房地(土地+建物),雲林縣西螺鎮新興路1~30號,54.08,住,,,1020905,土地1建物1車位0,全,3,透天厝,住商用,見其他登記事項,0670403,142.0,4,2,3,有,無,無,7000,49,,0.0,0,,RPPNMLQLRHIFFCP96CC
虎尾鎮,建物,雲林縣虎尾鎮新興路61~90號,19.83,商,,,1020817,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土加強磚造,0771025,19.83,27,0,27,有,無,有,3500,177,,0.0,0,,RPPNMLSLRHIFFDP27CC
斗六市,土地,北環段301~330地號,655.81,住,,,1020912,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,35000,53,,0.0,0,第一年至第四年租金每月參萬伍仟元正，第五年至第七年租金每月參萬柒仟元正，第八年至第十年租金每月參萬玖仟元正,RPTNMLSJIIIFFAP09DC
虎尾鎮,建物,雲林縣虎尾鎮新興路61~90號,14.87,商,,,1020928,土地0建物0車位0,六層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土加強磚造,0771025,14.87,1,0,1,有,無,有,2800,188,,0.0,0,,RPRNMLLLIIIFFDP58CC
虎尾鎮,建物,雲林縣虎尾鎮新興路61~90號,24.79,商,,,1020818,土地0建物0車位0,六層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土加強磚造,0771025,24.79,1,0,1,有,無,有,4800,194,,0.0,0,,RPSNMLLLIIIFFDP68CC
西螺鎮,房地(土地+建物),雲林縣西螺鎮中山路301~330號,110.12,住,,,1021023,土地1建物1車位0,全,3,透天厝,住商用,加強磚造,0690817,130.23,3,1,2,有,無,有,8000,61,,0.0,0,,RPPNMLOLIIIFFCP58CC
西螺鎮,房地(土地+建物),雲林縣西螺鎮新興路100巷31弄1~30號,88.72,住,,,1021007,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0930519,239.23,5,2,4,有,無,有,12000,50,,0.0,0,,RPQNMLTLIIIFFCP56CC
西螺鎮,房地(土地+建物),雲林縣西螺鎮安定1~30號,76.95,住,,,1021019,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0840629,177.95,4,2,4,有,無,無,8000,45,,0.0,0,,RPPNMLKMIIIFFCP28CC
