編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPXNMLLJJIIFFCC77EB,坡道平面,0,
RPWNMLLJJIIFFCC67EB,坡道平面,0,
RPTNMLLJJIIFFCC37EB,坡道平面,0,
RPQOMLMKKIIFFCC27CB,坡道平面,900000,32.85
RPOOMLMKKIIFFCC07CB,坡道機械,1150000,24.04
RPOOMLMKKIIFFCC07CB,坡道機械,0,24.04
RPUNMLLJJIIFFCC47EB,坡道平面,0,
RPVNMLLJJIIFFCC57EB,坡道平面,0,
RPVNMLLJJIIFFCC57EB,坡道平面,0,
RPWNMLMKKIIFFCC77CB,坡道平面,1150000,30.79
RPPOMLMKKIIFFCC17CB,坡道平面,1100000,32.85
RPVNMLMKKIIFFCC67CB,坡道平面,1000000,32.85
RPSOMLMKKIIFFCC47CB,坡道機械,1150000,24.04
RPSOMLMKKIIFFCC47CB,坡道機械,0,24.04
RPVOMLMKKIIFFCC77CB,坡道平面,900000,32.85
RPROMLMKKIIFFCC37CB,坡道平面,850000,30.79
RPPPMLMKKIIFFCC27CB,坡道機械,0,24.04
RPPPMLMKKIIFFCC27CB,坡道機械,1250000,24.04
RPQPMLMKKIIFFCC37CB,坡道機械,0,24.04
RPQPMLMKKIIFFCC37CB,坡道機械,1150000,24.04
RPXOMLMKKIIFFCC97CB,坡道平面,900000,32.85
RPSPMLMKKIIFFCC57CB,坡道平面,850000,30.79
RPWOMLMKKIIFFCC87CB,坡道機械,1250000,24.04
RPWOMLMKKIIFFCC87CB,坡道機械,0,24.04
RPTPMLMKKIIFFCC67CB,坡道平面,850000,30.79
RPWPMLMKKIIFFCC97CB,坡道平面,900000,32.85
RPOQMLMKKIIFFCC27CB,坡道機械,0,24.04
RPOQMLMKKIIFFCC27CB,坡道機械,1150000,24.04
RPXPMLMKKIIFFCC08CB,坡道平面,1200000,32.85
RPPQMLMKKIIFFCC37CB,坡道機械,0,24.04
RPPQMLMKKIIFFCC37CB,坡道機械,1150000,24.04
RPVPMLMKKIIFFCC87CB,坡道平面,850000,30.79
RPQQMLMKKIIFFCC47CB,坡道平面,1200000,32.85
RPSNMLNKKIIFFCC47CB,坡道平面,850000,30.79
RPPOMLNKKIIFFCC27CB,坡道平面,1150000,30.79
RPWNMLNKKIIFFCC87CB,坡道平面,1100000,32.85
RPQNMLNKKIIFFCC27CB,坡道平面,1100000,32.85
RPVNMLNKKIIFFCC77CB,坡道平面,1150000,30.79
RPRNMLNKKIIFFCC37CB,坡道平面,900000,32.85
RPROMLNKKIIFFCC47CB,坡道平面,1200000,32.85
RPQOMLNKKIIFFCC37CB,坡道平面,850000,30.79
RPSOMLNKKIIFFCC57CB,坡道平面,1150000,30.79
RPUOMLNKKIIFFCC77CB,坡道機械,1150000,24.04
RPUOMLNKKIIFFCC77CB,坡道機械,0,24.04
RPTOMLNKKIIFFCC67CB,坡道平面,1200000,32.85
RPVOMLNKKIIFFCC87CB,坡道平面,1100000,32.85
RPUPMLNKKIIFFCC87CB,坡道平面,950000,30.79
RPPPMLNKKIIFFCC37CB,坡道平面,900000,32.85
RPQQMLNKKIIFFCC57CB,坡道平面,1200000,32.85
RPOQMLNKKIIFFCC37CB,坡道平面,950000,30.79
RPXPMLNKKIIFFCC18CB,坡道機械,1150000,24.04
RPXPMLNKKIIFFCC18CB,坡道機械,0,24.04
RPRQMLNKKIIFFCC67CB,坡道平面,1150000,30.79
RPSQMLNKKIIFFCC77CB,坡道平面,1200000,32.85
RPPQMLNKKIIFFCC47CB,坡道平面,1200000,32.85
RPUQMLNKKIIFFCC97CB,坡道平面,850000,30.79
