編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLMJJIIFFAD86CA,48,98.05,住家用,加強磚造,54年5月30日,二層,一層 二層 騎樓
RPTOMLOJJIIFFAD37CA,19,161.17,住家用,鋼筋混凝土構造,84年3月25日,四層,一層 二層 三層 四層 屋頂突出物
RPPPMLOJJIIFFAD07CA,20,80.97,住家用,鋼筋混凝土構造,82年7月1日,十層,九層
RPPPMLOJJIIFFAD07CA,20,6.57,共有部分,鋼筋混凝土構造,82年7月1日,十層,
RPPPMLOJJIIFFAD07CA,20,12.20,共有部分,鋼筋混凝土構造,82年7月1日,十層,
RPXOMLOJJIIFFAD77CA,11,91.13,國民住宅,鋼筋混凝土構造,91年11月15日,十一層,七層
RPXOMLOJJIIFFAD77CA,11,42.28,共有部分,鋼筋混凝土構造,91年11月15日,十一層,
RPROMLRJJIIFFAD47CA,18,23.93,住家用,鋼筋混凝土構造,85年1月6日,七層,六層
RPROMLRJJIIFFAD47CA,18,7.51,共有部分,鋼筋混凝土構造,85年1月6日,七層,
RPQNMLPJJIIFFAD07CA,18,93.28,住家用,鋼筋混凝土構造,84年5月30日,二十四層,六層
RPQNMLPJJIIFFAD07CA,18,23.84,共有部分,鋼筋混凝土構造,84年5月30日,二十四層,
RPQNMLPJJIIFFAD07CA,18,.04,商業用,鋼筋混凝土構造,84年5月30日,二十四層,
RPQNMLPJJIIFFAD07CA,18,32.66,共有部分,鋼筋混凝土構造,84年5月30日,二十四層,
RPXNMLQKJIIFFAD97CA,34,92.71,住家用,鋼筋混凝土構造,68年6月2日,三層,一層 二層 三層
RPSOMLKLJIIFFAD07CA,31,170.34,住商用,鋼筋混凝土構造,71年10月7日,三層,騎樓 地下層 一層 二層 三層 屋頂突出物
RPSOMLKLJIIFFAD07CA,31,170.34,住商用,鋼筋混凝土構造,71年10月7日,三層,一層 二層 三層 屋頂突出物 騎樓 地下層
RPPPMLLLJIIFFAD96CA,18,545.44,住商用,鋼筋混凝土構造,84年9月26日,五層,一層 二層 三層 四層 五層 屋頂突出物
RPRNMLQJJIIFFAD27CA,19,81.94,商業用,鋼骨鋼筋混凝土造,84年1月26日,二十三層,十三層
RPRNMLQJJIIFFAD27CA,19,3.88,共有部分,鋼筋混凝土構造,84年1月26日,二十三層,
RPRNMLQJJIIFFAD27CA,19,8.75,共有部分,鋼筋混凝土構造,84年1月26日,二十三層,
RPRNMLQJJIIFFAD27CA,19,19.59,共有部分,鋼筋混凝土構造,84年1月26日,二十三層,
RPRNMLQJJIIFFAD27CA,19,82.06,商業用,鋼骨鋼筋混凝土造,84年1月26日,二十三層,十三層
RPRNMLQJJIIFFAD27CA,19,3.88,共有部分,鋼筋混凝土構造,84年1月26日,二十三層,
RPRNMLQJJIIFFAD27CA,19,8.76,共有部分,鋼筋混凝土構造,84年1月26日,二十三層,
RPRNMLQJJIIFFAD27CA,19,19.62,共有部分,鋼筋混凝土構造,84年1月26日,二十三層,
RPRNMLQJJIIFFAD27CA,19,156.50,商業用,鋼骨鋼筋混凝土造,84年1月26日,二十三層,十三層 通道
RPRNMLQJJIIFFAD27CA,19,7.41,共有部分,鋼筋混凝土構造,84年1月26日,二十三層,
RPRNMLQJJIIFFAD27CA,19,16.71,共有部分,鋼筋混凝土構造,84年1月26日,二十三層,
RPRNMLQJJIIFFAD27CA,19,29.82,共有部分,鋼筋混凝土構造,84年1月26日,二十三層,
RPROMLLJJIIFFBD96CA,,159.89,見其他登記事項,鋼筋混凝土構造,102年7月1日,三層,一層 二層 三層 屋頂突出物
RPSOMLLJJIIFFBD07CA,,153.07,見其他登記事項,鋼筋混凝土構造,102年7月1日,三層,一層 二層 三層 屋頂突出物
