編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOOMLOJJIIFFAE96CA,龍華段二小段,25.40,都市：住
RPSNMLSJJIIFFAE67CA,龍華段一小段,34.35,都市：住
RPQNMLMKJIIFFAE96CA,龍華段八小段,17.05,都市：商
RPSSMLMLJIIFFAE77CA,龍華段八小段,4.21,都市：住
RPXNMLPJJIIFFAE87CA,龍華段四小段,104.00,都市：其他
RPXNMLPJJIIFFAE87CA,龍華段四小段,112.00,都市：住
RPWNMLPJJIIFFAE77CA,青海段,24.83,都市：住
RPPOMLPJJIIFFAE17CA,青海段,28.14,都市：住
RPVOMLOKJIIFFAE77CA,府北段五小段,13.01,都市：住
RPUNMLOKJIIFFAE57CA,博孝段,5.15,都市：商
RPTNMLMKJIIFFAE27CA,龍華段一小段,112.00,都市：住
RPROMLRLJIIFFAE77CA,龍華段八小段,6.16,都市：住
RPTOMLTLJIIFFAE18CA,前峰段,31.42,都市：住
RPPNMLRKJIIFFAE37CA,興橋段,25.68,都市：商
RPVNMLQJJIIFFBE87CA,正明段,29.98,都市：商
RPUOMLRJJIIFFBE97CA,大統段一小段,18.13,都市：商
RPUNMLOJJIIFFBE57CA,林興段,4.32,都市：住
RPUNMLOJJIIFFBE57CA,林興段,26.62,都市：住
RPXNMLRJJIIFFBE18CA,過田子段,50.00,都市：其他
RPXNMLRJJIIFFBE18CA,正言段,4.65,都市：其他
RPXNMLRJJIIFFBE18CA,正言段,22.20,都市：其他
RPQNMLTJJIIFFBE67CA,苓洲段,5.28,都市：商
RPPNMLPKJIIFFBE27CA,福裕段,3.69,都市：住
RPPNMLPKJIIFFBE27CA,福裕段,3.17,都市：住
RPUOMLNKJIIFFBE67CA,意誠段,1.16,都市：商
RPUOMLNKJIIFFBE67CA,意誠段,.29,都市：商
RPSNMLOJJIIFFCE47CA,鳳鼻頭段,3640.00,都市：工
RPUPMLSJJIIFFCE28CA,愛群段,5.90,都市：商
RPUPMLTLJIIFFBE48CA,新興段四小段,3.69,都市：商
RPUPMLPJJIIFFCE97CA,愛群段,8.10,都市：商
RPUPMLPJJIIFFCE97CA,愛群段,13.67,都市：住
RPSPMLPJJIIFFCE77CA,愛群段,8.10,都市：商
RPSPMLPJJIIFFCE77CA,愛群段,13.67,都市：住
RPWOMLRLJIIFFBE38CA,林德官段,50.19,都市：商
RPPNMLRLJIIFFBE57CA,意誠段,4.00,都市：住
RPPNMLSLJIIFFBE67CA,成功段,8.53,都市：住
RPUNMLSLJIIFFBE18CA,五塊厝段,28.17,都市：住
RPRPMLMLJIIFFCE57CA,光華段,11.10,都市：住
RPRPMLMLJIIFFCE57CA,光華段,11.10,都市：住
RPOPMLMLJIIFFCE27CA,光華段,11.24,都市：住
RPOPMLMLJIIFFCE27CA,光華段,11.24,都市：住
RPWNMLPLJIIFFCE18CA,憲德段二小段,13.39,都市：商
RPTOMLPLJIIFFCE97CA,青島段二小段,28.80,都市：住
RPROMLPLJIIFFCE77CA,光華段,29.40,都市：住
RPPOMLPLJIIFFCE57CA,光華段,28.90,都市：住
RPXNMLPLJIIFFCE28CA,光華段,29.20,都市：住
RPUOMLPLJIIFFCE08CA,光華段,31.71,都市：住
RPVOMLPLJIIFFCE18CA,光華段,28.49,都市：住
RPWOMLPLJIIFFCE28CA,青島段二小段,28.80,都市：住
RPQPMLPLJIIFFCE77CA,光華段,28.49,都市：住
RPRPMLPLJIIFFCE87CA,光華段,31.41,都市：住
RPPPMLMJKIIFFBE17CA,新興段二小段,76.34,都市：住
RPQOMLMKJIIFFCE27CA,新生段,256.00,都市：商
RPQOMLQLJIIFFCE77CA,光華段,22.48,都市：住
RPROMLQLJIIFFCE87CA,光華段,28.49,都市：住
RPWOMLSLJIIFFCE58CA,光華段,22.48,都市：住
RPXNMLKLJIIFFCE77CA,盛興段,2.42,都市：住
RPXNMLKLJIIFFCE77CA,盛興段,2.42,都市：住
RPXNMLKLJIIFFCE77CA,盛興段,2.42,都市：住
RPXNMLKLJIIFFCE77CA,盛興段,.05,都市：住
RPXNMLKLJIIFFCE77CA,盛興段,.05,都市：住
RPXNMLKLJIIFFCE77CA,盛興段,.05,都市：住
RPXNMLKLJIIFFCE77CA,盛興段,33.00,都市：住
RPXNMLKLJIIFFCE77CA,盛興段,33.00,都市：住
RPXNMLKLJIIFFCE77CA,盛興段,33.00,都市：住
RPXOMLSLJIIFFCE68CA,光華段,22.49,都市：住
RPSOMLSLJIIFFCE18CA,光華段,22.48,都市：住
RPTOMLSLJIIFFCE28CA,光華段,22.48,都市：住
RPPNMLTLJIIFFCE87CA,光華段,15.23,都市：住
RPPNMLTLJIIFFCE87CA,光華段,15.23,都市：住
RPUOMLSLJIIFFCE38CA,光華段,28.69,都市：住
RPROMLSLJIIFFCE08CA,光華段,22.48,都市：住
RPQOMLSLJIIFFCE97CA,光華段,28.49,都市：住
RPTNMLOJJIIFFDE67CA,鼎金段,170.38,都市：農
RPQPMLMKJIIFFDE47CA,灣愛段,18.62,都市：住
RPWNMLMKJIIFFDE87CA,獅頭段,2.75,都市：商
RPUNMLSJJIIFFDE18CA,獅頭段一小段,17.98,都市：住
RPQOMLLKJIIFFDE27CA,獅頭段一小段,93.00,都市：住
RPQNMLOKJIIFFDE47CA,覆鼎金段覆鼎金小段,32.22,都市：住
RPVOMLRJJIIFFDE28CA,建德段,26.20,都市：商
RPROMLSJJIIFFDE97CA,建安段,17.47,都市：住
RPXNMLTJJIIFFDE58CA,大港段,4.23,都市：住
RPXNMLTJJIIFFDE58CA,大港段,.28,都市：住
RPWNMLNKJIIFFDE97CA,灣中段,4.96,都市：商
RPOQMLOKJIIFFDE57CA,覆鼎金段覆鼎金一小段,16.80,都市：住
RPTOMLOKJIIFFDE87CA,大順段,9.25,都市：商
RPQOMLPKJIIFFDE67CA,大港段七小段,53.00,都市：住
RPPOMLTKJIIFFDE97CA,大裕段一小段,16.65,都市：住
RPSOMLOJJIIFFEE77CA,右昌段四小段,232.00,都市：住
RPPNMLPLJIIFFDE57CA,鼎泰段,24.57,都市：住
RPUNMLQJJIIFFEE08CA,新庄段十三小段,4.90,都市：商
RPWOMLTLJIIFFDE78CA,建興段,42.20,都市：商
RPWOMLTLJIIFFDE78CA,建興段,.80,都市：商
RPRNMLSJJIIFFEE97CA,和平段五小段,4.20,都市：商
RPRNMLSJJIIFFEE97CA,和平段五小段,4.20,都市：商
RPVOMLRJJIIFFEE38CA,右昌段六小段,5.55,都市：其他
RPTOMLNKJIIFFEE87CA,新夏段,15.88,都市：住
RPRNMLRJJIIFFEE87CA,福山段,10.15,都市：商
RPVPMLMKJIIFFEE08CA,新光段,13.61,都市：住
RPSOMLQLJIIFFDE08CA,獅頭段一小段,21.48,都市：住
RPXNMLRLJIIFFDE58CA,三塊厝段,80.00,都市：住
RPXNMLRLJIIFFDE58CA,三塊厝段,14.00,都市：住
RPTPMLRLJIIFFDE38CA,鼎泰段,7.60,都市：住
RPPQMLOKJIIFFEE77CA,新庄段十二小段,9.76,都市：住
