鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
竹南鎮,房地(土地+建物)+車位,公義段241~270地號,13.32,住,,,1000711,土地1建物1車位1,一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.38,3,2,2,有,無,5250000,41924,一樓平面,4.85,700000,,RPRNMLKKJHJFFDK87CB
竹南鎮,房地(土地+建物),公義段241~270地號,13.94,住,,,1010614,土地1建物1車位0,一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.67,3,2,2,有,無,4900000,41291,,0.0,0,,RPSNMLKKJHJFFDK97CB
竹南鎮,房地(土地+建物),公義段241~270地號,8.08,住,,,1010219,土地1建物1車位0,一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.66,2,2,1,有,無,2820000,41072,,0.0,0,,RPTNMLKKJHJFFDK08CB
竹南鎮,房地(土地+建物),公義段241~270地號,13.77,住,,,1011120,土地1建物1車位0,一層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,117.19,0,1,1,有,無,7500000,63999,,0.0,0,,RPUNMLKKJHJFFDK18CB
竹南鎮,房地(土地+建物)+車位,公義段241~270地號,12.9,住,,,1010825,土地1建物1車位1,一層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,109.65,0,1,1,有,無,6200000,59093,坡道平面,15.73,650000,,RPVNMLKKJHJFFDK28CB
竹南鎮,房地(土地+建物)+車位,公義段241~270地號,13.84,住,,,1010603,土地1建物1車位1,一層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,117.75,0,1,1,有,無,7000000,61753,坡道平面,15.73,700000,,RPWNMLKKJHJFFDK38CB
竹南鎮,房地(土地+建物),公義段241~270地號,12.9,住,,,1020413,土地1建物1車位0,一層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,109.75,0,1,1,有,無,6500000,59226,,0.0,0,,RPXNMLKKJHJFFDK48CB
竹南鎮,房地(土地+建物)+車位,公義段241~270地號,12.83,住,,,1000616,土地1建物1車位1,一層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,109.15,0,1,1,有,無,7150000,62800,一樓平面,4.85,600000,,RPOOMLKKJHJFFDK67CB
竹南鎮,房地(土地+建物)+車位,公義段241~270地號,13.29,住,,,1000613,土地1建物1車位1,一層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,112.82,0,1,1,有,無,6800000,57423,一樓平面,4.85,600000,,RPPOMLKKJHJFFDK77CB
竹南鎮,房地(土地+建物)+車位,公義段241~270地號,11.52,住,,,1010724,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.85,2,2,1,有,無,4240000,43717,坡道平面,15.73,650000,,RPQOMLKKJHJFFDK87CB
竹南鎮,房地(土地+建物)+車位,公義段241~270地號,11.52,住,,,1010403,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.85,2,2,1,有,無,4130000,41443,坡道平面,13.88,650000,,RPROMLKKJHJFFDK97CB
竹南鎮,房地(土地+建物)+車位,公義段241~270地號,11.52,住,,,1010415,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.85,2,2,1,有,無,4150000,42621,坡道平面,15.73,650000,,RPSOMLKKJHJFFDK08CB
竹南鎮,房地(土地+建物),公義段241~270地號,10.79,住,,,1010731,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.6,2,2,1,有,無,3680000,40175,,0.0,0,,RPTOMLKKJHJFFDK18CB
竹南鎮,房地(土地+建物),公義段241~270地號,10.79,住,,,1010929,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.6,2,2,1,有,無,3460000,37773,,0.0,0,,RPUOMLKKJHJFFDK28CB
竹南鎮,房地(土地+建物)+車位,公義段241~270地號,10.79,住,,,1000911,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.6,2,2,1,有,無,4000000,44154,坡道平面,15.73,650000,,RPVOMLKKJHJFFDK38CB
竹南鎮,房地(土地+建物)+車位,公義段241~270地號,10.79,住,,,1000809,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.6,2,2,1,有,無,4000000,43495,坡道平面,15.73,700000,,RPWOMLKKJHJFFDK48CB
竹南鎮,房地(土地+建物)+車位,公義段241~270地號,22.27,住,,,1020526,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,189.42,4,2,2,有,無,7800000,40877,坡道平面,15.73,700000,,RPXOMLKKJHJFFDK58CB
竹南鎮,房地(土地+建物)+車位,公義段241~270地號,22.27,住,,,1020302,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,189.42,4,2,2,有,無,8150000,42893,坡道平面,15.73,700000,,RPOPMLKKJHJFFDK77CB
竹南鎮,房地(土地+建物)+車位,公義段241~270地號,22.27,住,,,1020404,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,189.42,4,2,2,有,無,7880000,41338,坡道平面,15.73,700000,,RPPPMLKKJHJFFDK87CB
竹南鎮,房地(土地+建物)+車位,公義段241~270地號,22.27,住,,,1020609,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,189.42,4,2,2,有,無,7800000,40877,坡道平面,15.73,700000,,RPQPMLKKJHJFFDK97CB
竹南鎮,房地(土地+建物),公義段241~270地號,11.38,住,,,1011028,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.62,2,2,1,有,無,3580000,37052,,0.0,0,,RPRPMLKKJHJFFDK08CB
竹南鎮,房地(土地+建物),公義段241~270地號,11.38,住,,,1011028,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.62,2,2,1,有,無,3580000,37052,,0.0,0,,RPSPMLKKJHJFFDK18CB
竹南鎮,房地(土地+建物),公義段241~270地號,11.38,住,,,1020327,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.62,2,2,1,有,無,3450000,35707,,0.0,0,,RPTPMLKKJHJFFDK28CB
竹南鎮,房地(土地+建物),公義段241~270地號,11.38,住,,,1011027,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.62,2,2,1,有,無,3600000,37259,,0.0,0,,RPUPMLKKJHJFFDK38CB
竹南鎮,房地(土地+建物),公義段241~270地號,10.79,住,,,1010130,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.6,2,2,1,有,無,3560000,38865,,0.0,0,,RPVPMLKKJHJFFDK48CB
竹南鎮,房地(土地+建物),公義段241~270地號,10.79,住,,,1020518,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.6,2,2,1,有,無,3500000,38210,,0.0,0,,RPWPMLKKJHJFFDK58CB
竹南鎮,房地(土地+建物)+車位,公義段241~270地號,10.79,住,,,1011115,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.6,2,2,1,有,無,3980000,43891,坡道平面,15.73,650000,,RPXPMLKKJHJFFDK68CB
竹南鎮,房地(土地+建物)+車位,公義段241~270地號,22.13,住,,,1020227,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,188.29,4,2,2,有,無,8300000,44332,坡道平面,15.73,650000,,RPOQMLKKJHJFFDK87CB
