鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
彰化市,土地,南郭段南郭小段541~570地號,52.0,住,,,1020913,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1980000,38077,,0.0,0,,RPWOMLLJJIIFFAN38CA
芬園鄉,土地,清水段1591~1620地號,627.2,,鄉村區,乙種建築用地,1021007,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15178000,24200,,0.0,0,,RPSOMLOJJIIFFAN28CA
彰化市,房地(土地+建物)+車位,彰化縣彰化巿泰和中街61~90號,20.1,住,,,1021008,土地2建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891020,95.63,3,2,2,有,有,6000000,62742,坡道平面,31.25,0,,RPTOMLPJJIIFFAN48CA
彰化市,房地(土地+建物),彰化縣彰化巿南平街91~120號,56.24,住,,,1021001,土地1建物1車位0,全,十三層,透天厝,住商用,鋼筋混凝土造,0831004,228.19,4,2,2,有,有,8280000,36286,,0.0,0,,RPPNMLRJJIIFFAN18CA
彰化市,房地(土地+建物)+車位,彰化縣彰化巿大埔路528巷31~60號,57.74,住,,,1020912,土地1建物2車位2,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830118,210.16000000000003,4,4,4,有,有,5250000,24981,升降平面,0.0,0,,RPSOMLRJJIIFFAN58CA
彰化市,房地(土地+建物),彰化縣彰化巿英士路50巷1~30號,67.0,,鄉村區,乙種建築用地,1021002,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0690401,104.18,3,3,2,有,無,3750000,35995,,0.0,0,含增建或未登記建物。,RPRNMLPKJIIFFAN28CA
彰化市,房地(土地+建物),彰化縣彰化巿中庄里彰南路一段100巷13弄1~30號,203.32,,特定農業區,丁種建築用地,1021002,土地2建物1車位0,全,四層,透天厝,住工用,鋼筋混凝土造,0820816,308.0,6,1,6,有,無,9690000,31461,,0.0,0,,RPPNMLLLJIIFFAN77CA
花壇鄉,土地,南白沙坑段841~870地號,204.14,,鄉村區,乙種建築用地,1021012,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,6368,,0.0,0,,RPSOMLLLJIIFFAN18CA
花壇鄉,土地,南白沙坑段841~870地號,85.29,,鄉村區,乙種建築用地,1021012,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1548000,18150,,0.0,0,,RPTOMLLLJIIFFAN28CA
秀水鄉,土地,西興段661~690地號,12.75,,特定農業區,農牧用地,1021011,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,57852,4537,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLSLJIIFFAN68CA
彰化市,土地,福元段841~870地號,77.0,,工業區,丁種建築用地,1020916,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1160000,15065,,0.0,0,,RPRNMLLMPHKFFAN78CA
伸港鄉,土地,永慶段931~960地號,94.17,,特定農業區,甲種建築用地,1021022,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,10619,,0.0,0,"建物未保存,建物持分1/2.",RPRNMLNKJIIFFBN18CA
