編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVNMLOJJIIFFAU76CC,樹人段,10.06,都市：住
RPVNMLOJJIIFFAU76CC,樹人段,18.53,都市：住
RPWOMLOJJIIFFAU96CC,富國段,8.70,都市：住
RPOQMLLKJIIFFAU78CC,福祥段,14.70,都市：住
RPQPMLLKJIIFFAU88CC,莊敬段,94.00,都市：住
RPUOMLLKJIIFFAU56CC,自強段,78.00,都市：住
RPWOMLLKJIIFFAU76CC,稻香段,115.00,都市：商
RPPPMLMKJIIFFAU88CC,石壁段,85.63,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLMKJIIFFAU88CC,仁恥段,92.00,都市：住
RPUOMLMKJIIFFAU66CC,自強段,83.00,都市：住
RPSPMLMKJIIFFAU56CC,福興段,87.36,都市：住
RPOOMLPKJIIFFAU98CC,林森段,2.27,都市：住
RPOOMLPKJIIFFAU98CC,林森段,4.25,都市：住
RPOOMLPKJIIFFAU98CC,林森段,8.35,都市：住
RPRPMLOKJIIFFAU76DC,福德段,58.00,都市：農
RPUPMLMKJIIFFAU76CC,碧雲段,31.97,都市：住
RPUPMLMKJIIFFAU76CC,碧雲段,13.68,都市：住
RPUPMLMKJIIFFAU76CC,碧雲段,36.00,都市：住
RPVOMLOKJIIFFAU07DC,莊敬段,58.80,都市：住
RPWOMLOKJIIFFAU17DC,仁禮段,83.00,都市：住
RPQOMLSKJIIFFAU86CC,富國段,115.00,都市：商
RPOOMLSKJIIFFAU66CC,慈安段,157.00,都市：住
RPPOMLSKJIIFFAU76CC,富國段,5.13,都市：住
RPPOMLSKJIIFFAU76CC,富國段,3.42,都市：住
RPWPMLMKJIIFFAU96CC,仁禮段,117.00,都市：住
RPQPMLMKJIIFFAU98CC,福興段,678.00,都市：住
RPQOMLQLJIIFFAU76CC,自強段,117.00,都市：住
RPWPMLPLJIIFFAU37CC,碧雲段,88.00,都市：住
RPSOMLQLJIIFFAU96CC,自強段,140.00,都市：住
RPRPMLTLJIIFFAU27CC,富國段,8.51,都市：住
RPTNMLNLJIIFFAU66CC,富國段,16.09,都市：住
RPUPMLMLJIIFFAU96DC,德安段,21.62,都市：住
RPRNMLRLJIIFFAU96DC,主權段,7.77,都市：商
RPQOMLNJKIIFFAU98CC,國風段,95.00,都市：住
RPQOMLNJKIIFFAU98CC,國風段,10.00,都市：住
RPOOMLPJKIIFFAU09DC,明義段,3.25,都市：住
RPOOMLPJKIIFFAU09DC,明義段,.67,都市：住
RPOOMLPJKIIFFAU09DC,明義段,.18,都市：住
RPOOMLPJKIIFFAU09DC,明義段,7.96,都市：住
RPUPMLTLJIIFFAU57CC,明義段,6.97,都市：商
RPUPMLTLJIIFFAU57CC,明義段,.35,都市：商
RPUPMLTLJIIFFAU57CC,明義段,.12,都市：商
RPUPMLTLJIIFFAU57CC,明義段,.06,都市：商
RPTNMLTJKIIFFAU27DC,福祥段,30.03,都市：住
RPSNMLKKKIIFFAU88CC,民勤段,23.73,都市：住
RPPRMLSKKIIFFAU17CC,民孝段,82.00,都市：住
RPROMLTKKIIFFAU17CC,裕民段,5.49,都市：商
RPTNMLMKKIIFFAU56CC,主權段,106.00,都市：住
RPOOMLRKKIIFFAU76DC,富國段,48.53,都市：商
RPWQMLKLKIIFFAU07CC,豐裡段,107.35,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPWOMLRKKIIFFAU47CC,富國段,6.20,都市：住
RPPPMLRKKIIFFAU86CC,民生段,23.00,都市：商
RPOPMLRKKIIFFAU76CC,自強段,2.00,都市：住
RPOPMLRKKIIFFAU76CC,自強段,101.00,都市：住
RPUNMLMKKIIFFAU66CC,富國段,9.55,都市：商
RPVOMLRKKIIFFAU37CC,富國段,4.40,都市：住
RPVOMLRKKIIFFAU37CC,富國段,6.60,都市：住
