鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
湖西鄉,土地,許家段271~300地號,6872.22,,一般農業區,農牧用地,1020917,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14551923,2117,,0.0,0,,RPVNMLRKJIIFFAX27CA
馬公市,土地,五福段121~150地號,260.82,,一般農業區,甲種建築用地,1021017,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7600000,29139,,0.0,0,"農變建專案核准變更起造人,交易總價包括未興建房屋建築費用。",RPOOMLRKJIIFFAX66CA
馬公市,房地(土地+建物),澎湖縣馬公巿忠孝路108巷1~30號,78.5,住,,,1021015,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0721101,149.52,4,2,3,有,無,3800000,25415,,0.0,0,,RPPOMLRKJIIFFAX76CA
馬公市,土地,五福段31~60地號,239.41,,一般農業區,農牧用地,1021021,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2580000,10776,,0.0,0,,RPQOMLRKJIIFFAX86CA
西嶼鄉,土地,內垵三段721~750地號,311.52,,一般農業區,農牧用地,1021028,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,202491,650,,0.0,0,親友、員工或其他特殊關係間之交易。,RPOOMLKLJIIFFAX68CA
馬公市,土地,北極段511~540地號,135.71,農,,,1020910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,1105,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTNMLQJJIIFFAX86CA
馬公市,土地,四維段151~180地號,621.66,農,,,1021014,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10340000,16633,,0.0,0,,RPQNMLPJJIIFFAX09CA
馬公市,土地,安宅段1141~1170地號,289.04,,一般農業區,農牧用地,1021101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,4152,,0.0,0,,RPSNMLQJJIIFFAX86DA
馬公市,房地(土地+建物),澎湖縣馬公巿石泉里1~30號,113.31,,一般農業區,甲種建築用地,1021022,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0861104,185.14,4,2,5,有,無,4500000,24306,,0.0,0,,RPQNMLNKJIIFFAX09DA
