編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPXOMLTKKHJFFBJ56CA,坡道平面,0,
RPXUNLQJKHJFFBJ96DA,坡道平面,0,31.88
RPXUNLQJKHJFFBJ96DA,坡道平面,0,29.80
RPTPMLRJKHJFFBJ68DA,坡道平面,0,
RPPPMLTKKHJFFBJ48CA,坡道平面,0,
RPVPMLTKKHJFFBJ09CA,坡道平面,0,
RPRPMLRJKHJFFBJ38CA,坡道平面,0,
RPVOMLKKKHJFFBJ08CA,坡道平面,0,
RPVOMLKKKHJFFBJ08CA,坡道平面,0,
RPXNMLLKKHJFFBJ28CA,其他,0,
RPXNMLLKKHJFFBJ28CA,其他,0,
RPXNMLLKKHJFFBJ28CA,其他,0,
RPXNMLLKKHJFFBJ28CA,其他,0,
RPXNMLLKKHJFFBJ28CA,其他,0,
RPXNMLLKKHJFFBJ28CA,其他,0,
RPVNMLQLKHJFFBJ68CA,坡道機械,0,11.58
RPVNMLQLKHJFFBJ68CA,坡道機械,0,11.58
RPVNMLQLKHJFFBJ68CA,坡道機械,0,11.58
RPVNMLQLKHJFFBJ68CA,坡道機械,0,11.58
RPVNMLQLKHJFFBJ68CA,坡道機械,0,11.58
RPVNMLQLKHJFFBJ68CA,坡道機械,0,11.58
RPPOMLRLKHJFFBJ28CA,坡道平面,0,
RPOOMLKLKHJFFBJ47CA,一樓平面,0,
RPVNMLMKKHJFFBJ18CA,坡道機械,0,32.38
RPSRMLLKKHJFFBJ28DA,坡道平面,0,
RPQQMLNKKHJFFBJ18DA,坡道平面,0,
RPUQMLNKKHJFFBJ58DA,坡道機械,0,
RPPOMLLKKHJFFBJ57CA,坡道平面,1000000,31.67
RPPPMLKKKHJFFBJ57CA,坡道平面,0,31.26
RPPPMLKKKHJFFBJ57CA,坡道平面,0,36.13
RPTOMLOKKHJFFBJ38DA,坡道平面,0,
RPROMLMKKHJFFBJ87CA,坡道平面,1100000,33.22
RPTOMLMKKHJFFBJ08CA,坡道平面,1000000,33.22
RPUOMLMKKHJFFBJ18CA,坡道平面,1000000,33.22
RPUOMLMKKHJFFBJ18CA,坡道平面,1000000,33.22
RPXOMLMKKHJFFBJ48CA,坡道平面,1270000,33.22
RPXOMLMKKHJFFBJ48CA,坡道平面,1270000,33.22
RPXOMLMKKHJFFBJ48CA,坡道平面,1260000,33.22
RPSOMLMKKHJFFBJ97CA,坡道平面,1150000,33.22
RPSOMLMKKHJFFBJ97CA,坡道平面,1150000,33.22
