鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
大林鎮,土地,中林段211~240地號,293.5,,特定農業區,農牧用地,1021227,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,322850,1100,,0.0,0,,RPSNMLRJKHJFFCQ09CA
大林鎮,土地,中林段121~150地號,103.4,,特定農業區,農牧用地,1021231,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,310000,2998,,0.0,0,,RPUNMLKKKHJFFCQ68CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉松山村4鄰松子腳路31~60號,88.0,,鄉村區,乙種建築用地,1030107,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0820419,202.52,6,2,3,有,無,2200000,10863,,0.0,0,,RPPNMLPKKHJFFCQ68CA
大林鎮,房地(土地+建物),嘉義縣大林鎮明和里10鄰忠孝路451~480號,80.75,住,,,1030129,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0820621,176.18,5,2,3,有,無,3800000,21569,,0.0,0,,RPQNMLPKKHJFFCQ78CA
大林鎮,土地,潭底段潭底小段391~420地號,913.0,住,,,1021231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39490000,43253,,0.0,0,,RPTNMLRLKHJFFCQ76CA
水上鄉,房地(土地+建物),嘉義縣水上鄉寬士村4鄰崎子頭1~30號,119.14,,鄉村區,乙種建築用地,1030108,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0660701,71.85,3,1,1,有,無,1200000,16701,,0.0,0,,RPUNMLQJKHJFFDQ66CA
太保市,土地,埤麻段31~60地號,2051.0,農,,,1030109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,750000,366,,0.0,0,1.地勢低窪常積水。2.旁有公墓。,RPVOMLOLKHJFFDQ86CA
大林鎮,土地,下埤頭段151~180地號,4.94,,特定農業區,農牧用地,1021230,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6920,1401,,0.0,0,向政府機關承購之案件。,RPPNMLQJKHJFFCQ78DA
大林鎮,土地,西結段1051~1080地號,2017.59,,特定農業區,農牧用地,1030111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1008795,500,,0.0,0,,RPRNMLQJKHJFFCQ98DA
