編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLLJLHJFFAV78CC,22,196.32,住家用,鋼筋混凝土造,81年3月24日,三層,
RPRNMLKKKHJFFAV88CC,18,36.75,見其他登記事項,鋼筋混凝土造,85年6月28日,九層,
RPQNMLKLKHJFFAV88CC,27,280.44,住商用,鋼筋混凝土造,76年6月21日,三層,
RPPNMLTKKHJFFAV96CC,43,68.40,住家用,見其他登記事項,59年11月7日,二層,
RPTNMLKKLHJFFAV56CC,18,168.18,住家用,鋼筋混凝土造,85年1月13日,四層,
RPQNMLOLKHJFFAV76DC,32,55.09,住家用,鋼筋混凝土造,70年10月21日,七層,
RPRNMLOLKHJFFAV86DC,22,180.75,住家用,鋼筋混凝土造,81年4月29日,三層,
RPRNMLSLMHJFFAV37CC,20,42.37,見其他登記事項,鋼筋混凝土造,83年4月19日,十四層,
RPPNMLPKLHJFFAV66CC,19,173.68,見其他登記事項,鋼筋混凝土造,84年1月25日,十層,
RPSOMLOLLHJFFAV07CC,33,100.79,住家用,加強磚造,69年10月8日,二層,
