鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
暖暖區,房地(土地+建物)+車位,暖暖段暖暖小段391~420地號,42.58,住,,,1030121,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,225.49,4,2,2,有,無,12000000,57189,坡道平面,38.39,1300000,買賣價金含裝潢費用,RPVNMLQLOHJFFCC58CB
暖暖區,房地(土地+建物)+車位,暖暖段暖暖小段391~420地號,42.6,住,,,1030214,土地1建物1車位2,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,263.88,4,2,2,有,無,12970000,55425,坡道平面,76.78,2600000,,RPWNMLQLOHJFFCC68CB
暖暖區,房地(土地+建物)+車位,暖暖段暖暖小段391~420地號,42.6,住,,,1030127,土地1建物1車位2,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,263.88,4,2,2,有,無,12880000,56013,坡道平面,76.78,2400000,,RPXNMLQLOHJFFCC78CB
暖暖區,房地(土地+建物)+車位,暖暖段暖暖小段391~420地號,36.7,住,,,1030505,土地1建物1車位1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,199.66,3,2,2,有,無,10680000,58163,坡道平面,38.39,1300000,,RPOOMLQLOHJFFCC97CB
暖暖區,房地(土地+建物)+車位,暖暖段暖暖小段391~420地號,36.7,住,,,1030522,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,199.66,3,2,2,有,無,10700000,58287,坡道平面,38.39,1300000,,RPPOMLQLOHJFFCC08CB
暖暖區,房地(土地+建物)+車位,暖暖段暖暖小段391~420地號,42.6,住,,,1030506,土地1建物1車位2,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,263.88,4,2,2,有,無,14200000,63602,坡道平面,76.78,2300000,買賣價金含裝潢費用,RPQOMLQLOHJFFCC18CB
暖暖區,房地(土地+建物)+車位,暖暖段暖暖小段391~420地號,42.6,住,,,1021206,土地1建物1車位2,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,263.88,4,2,2,有,無,12580000,54409,坡道平面,76.78,2400000,,RPROMLQLOHJFFCC28CB
暖暖區,房地(土地+建物)+車位,暖暖段暖暖小段391~420地號,42.58,住,,,1021206,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,225.49,4,2,2,有,無,11390000,54463,坡道平面,38.39,1200000,,RPSOMLQLOHJFFCC38CB
暖暖區,房地(土地+建物)+車位,暖暖段暖暖小段391~420地號,36.72,住,,,1021222,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,199.66,3,2,2,有,無,9980000,54443,坡道平面,38.39,1200000,,RPTOMLQLOHJFFCC48CB
暖暖區,房地(土地+建物)+車位,暖暖段暖暖小段391~420地號,36.76,住,,,1020915,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,200.62,3,2,2,有,無,10050000,53932,坡道平面,38.38,1300000,,RPUOMLQLOHJFFCC58CB
暖暖區,房地(土地+建物)+車位,暖暖段暖暖小段391~420地號,36.72,住,,,1021226,土地1建物1車位1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,199.66,3,2,2,有,無,9980000,54443,坡道平面,38.39,1200000,,RPVOMLQLOHJFFCC68CB
暖暖區,房地(土地+建物)+車位,暖暖段暖暖小段391~420地號,36.72,住,,,1021206,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,199.66,3,2,2,有,無,9980000,54443,坡道平面,38.39,1200000,,RPWOMLQLOHJFFCC78CB
