鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東六街181~210號,27.55,商,,,1030421,土地1建物1車位1,十四層，夾層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930224,250.27999999999997,4,2,3,有,有,15500000,61931,坡道平面,21.68,0,,RPUNMLRJNHJFFAE18CA
鼓山區,房地(土地+建物),高雄市鼓山區民利街91~120號,11.83,商,,,1030411,土地1建物1車位0,八層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840309,155.13,4,2,2,有,有,6000000,38677,,0.0,0,,RPUOMLRJNHJFFAE28CA
鹽埕區,房地(土地+建物),高雄市鹽埕區田單街1~30號,23.5,住,,,1030405,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680811,80.71,1,1,2,有,無,2450000,30356,,0.0,0,,RPPNMLOKNHJFFAE47CA
前金區,土地,博孝段511~540地號,0.57,商,,,1030414,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,77662,0,,0.0,0,,RPPNMLTKNHJFFAE97CA
鼓山區,房地(土地+建物),高雄市鼓山區大榮街43巷31~60號,59.0,住,,,1030306,土地2建物1車位0,全,二層,透天厝,,加強磚造,0561110,78.39,2,2,2,有,無,4400000,56130,,0.0,0,,RPSPMLKLNHJFFAE67CA
鼓山區,房地(土地+建物),高雄市鼓山區裕誠路1141~1170號,36.82,住,,,1030411,土地1建物1車位0,一層，二層，騎樓，夾層,十三層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0851120,185.13,3,2,2,有,有,24000000,129639,,0.0,0,,RPOOMLLLNHJFFAE27CA
前金區,房地(土地+建物),高雄市前金區河南二路61~90號,101.0,商,,,1030403,土地1建物1車位0,全,四層,透天厝,,鋼筋混凝土造,0640630,275.76,5,3,3,有,無,15300000,55483,,0.0,0,,RPVOMLQLNHJFFAE48CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美賢街31~60號,34.35,住,,,1030422,土地1建物1車位2,八層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020129,337.36,3,2,2,有,有,23500000,69659,坡道平面,72.58,0,,RPPNMLRLNHJFFAE87CA
鼓山區,車位,高雄市鼓山區富農路61~90號,0.0,,,,1030326,土地0建物0車位2,,,其他,,,,46.35,0,0,0,有,有,1840000,,坡道平面,0.0,1840000,,RPUOMLRLNHJFFAE48CA
鼓山區,車位,高雄市鼓山區富農路61~90號,0.0,,,,1030326,土地0建物0車位2,,,其他,,,,46.35,0,0,0,有,有,1840000,,坡道平面,0.0,1840000,,RPWOMLRLNHJFFAE68CA
旗津區,房地(土地+建物),高雄市旗津區北汕尾巷1~30號,42.0,其他,,,1030319,土地0建物1車位0,一層,一層,其他,,磚造,0490701,23.83,0,0,0,無,無,300000,12589,,0.0,0,,RPSNMLKMNHJFFAE57CA
鼓山區,房地(土地+建物),高雄市鼓山區文忠路31~60號,8.4,住,,,1030416,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940421,92.44,2,1,1,有,有,4800000,51926,,0.0,0,,RPXNMLKMNHJFFAE08CA
鼓山區,房地(土地+建物),高雄市鼓山區大順一路1011巷1~30號,3.98,住,,,1030415,土地1建物1車位0,四層,二十七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840707,49.03,1,1,1,有,有,2150000,43851,,0.0,0,,RPQOMLKMNHJFFAE47CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區中正二路61~90號,62.92,商,,,1030421,土地2建物1車位4,九層,十二層,辦公商業大樓,,鋼筋混凝土造,0781115,832.06,0,0,0,無,有,26000000,31248,坡道平面,0.0,0,,RPTNMLMJNHJFFBE67CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區中正一路211~240號,28.19,商,,,1030421,土地1建物1車位2,二十八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010705,536.73,0,0,0,無,有,41880000,78028,坡道平面,33.1,0,,RPOOMLMJNHJFFBE27CA
苓雅區,房地(土地+建物),高雄市苓雅區建民路91~120號,22.23,住,,,1030407,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0750410,116.17999999999999,3,2,2,有,無,2550000,21949,,0.0,0,,RPVNMLNJNHJFFBE97CA
苓雅區,房地(土地+建物),高雄市苓雅區武昌路70巷28弄31~60號,58.0,住,,,1030401,土地1建物1車位0,全,二層,透天厝,,加強磚造,0600512,67.68,4,2,5,有,無,4800000,70922,,0.0,0,,RPWNMLNJNHJFFBE08CA
苓雅區,建物,高雄市苓雅區三多三路121~150號,0.0,,,,1030425,土地0建物1車位0,四層,四層,公寓(5樓含以下無電梯),,加強磚造,0600531,96.84,3,2,2,有,無,900000,9294,,0.0,0,,RPPOMLRJNHJFFBE87CA
苓雅區,房地(土地+建物),高雄市苓雅區新田路91~120號,50.76,商,,,1030418,土地1建物1車位0,一層，二層，騎樓，地下層,七層,店面(店鋪),,鋼筋混凝土造,0770607,280.16,0,0,0,無,有,27600000,98515,,0.0,0,,RPVNMLSJNHJFFBE48CA
苓雅區,房地(土地+建物),高雄市苓雅區英明路181~210號,23.71,住,,,1030326,土地2建物1車位0,一層，騎樓，夾層，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1020111,168.46,1,1,1,有,有,18500000,109818,,0.0,0,,RPXNMLSJNHJFFBE68CA
苓雅區,房地(土地+建物),高雄市苓雅區福壽街121~150號,29.29,住,,,1030422,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830528,119.52,4,2,2,有,無,5500000,46017,,0.0,0,,RPSNMLTJNHJFFBE28CA
苓雅區,房地(土地+建物),高雄市苓雅區興中一路1~30號,25.8,住,,,1030411,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0700623,96.51,3,2,1,有,無,3400000,35230,,0.0,0,,RPQNMLSJNHJFFBE97CA
苓雅區,房地(土地+建物),高雄市苓雅區中山二路451~480號,4.26,住,,,1030317,土地3建物1車位0,九層,十一層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0681227,33.37,1,1,1,有,有,1250000,37459,,0.0,0,,RPPOMLOKNHJFFBE67CA
苓雅區,房地(土地+建物),高雄市苓雅區建國一路2巷3弄1~30號,28.2,住,,,1030408,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0701218,98.78999999999999,3,2,2,有,無,3150000,31886,,0.0,0,,RPRNMLQKNHJFFBE97CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區四維三路61~90號,18.16,商,,,1030328,土地2建物2車位1,四層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0800124,237.31,0,0,0,無,有,7600000,32026,坡道平面,0.0,0,,RPQNMLRKNHJFFBE97CA
新興區,房地(土地+建物)+車位,高雄市新興區七賢一路211~240號,14.86,商,,,1030326,土地1建物2車位1,十八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871014,215.69,3,2,2,有,有,10850000,50304,坡道平面,0.0,0,,RPRNMLRKNHJFFBE08CA
苓雅區,土地,福河段1171~1200地號,76.0,住,,,1030304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5850000,76974,,0.0,0,,RPTNMLMLNHJFFBE87CA
苓雅區,土地,福河段1171~1200地號,76.0,住,,,1030304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6150000,80921,,0.0,0,,RPUNMLMLNHJFFBE97CA
苓雅區,房地(土地+建物),高雄市苓雅區永興街31~60號,30.5,商,,,1030413,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0650617,83.01,3,2,4,有,無,5500000,66257,,0.0,0,1.親屬間買賣移轉2.賣清,RPXOMLMLNHJFFBE38CA
苓雅區,房地(土地+建物),高雄市苓雅區和平一路145巷1~30號,32.0,住,,,1030417,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0721130,121.71,3,2,2,有,無,5350000,43957,,0.0,0,,RPPPMLTLNHJFFBE38CA
苓雅區,房地(土地+建物),高雄市苓雅區林森二路31~60號,9.83,住,,,1030415,土地2建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0720517,100.0,4,2,3,有,有,2950000,29500,,0.0,0,,RPQPMLTLNHJFFBE48CA
新興區,房地(土地+建物),高雄市新興區大同一路91~120號,37.7,商,,,1030405,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0700618,122.52,4,2,2,有,無,3200000,26118,,0.0,0,,RPSPMLSKOHJFFBE58CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區翠亨北路301~330號,19.16,住,,,1030417,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030207,174.44,3,2,2,有,有,10800000,61912,坡道平面,21.49,0,,RPWNMLMJNHJFFCE08CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區翠亨北路301~330號,19.16,住,,,1030417,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030207,177.54,3,2,2,有,有,9500000,53509,坡道平面,21.49,0,,RPXNMLMJNHJFFCE18CA
前鎮區,土地,愛群段1111~1140地號,2.0,其他,,,1030416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,75000,,0.0,0,,RPRNMLRJNHJFFCE08CA
小港區,房地(土地+建物),高雄市小港區復華路52巷1弄1~30號,54.0,住,,,1030417,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0670908,75.2,1,2,2,有,無,1800000,23936,,0.0,0,二親等買賣賣清含增建或未登記建物。,RPPOMLRJNHJFFCE97CA
前鎮區,房地(土地+建物),高雄市前鎮區林森三路61~90號,52.0,商,,,1030405,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0511210,77.64,0,0,1,無,無,10000000,128800,,0.0,0,,RPOOMLTJNHJFFCE08CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區中山二路181~210號,7.62,商,,,1030327,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000125,99.75999999999999,2,2,1,有,有,7280000,72975,坡道機械,7.82,0,,RPUOMLTJNHJFFCE68CA
