編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUPMLLJNHJFFAF08CC,21,92.10,商業用,鋼筋混凝土造,82年4月23日,十二層,
RPOPMLLJNHJFFEF87CC,1,172.56,住家用,鋼筋混凝土造,102年7月12日,十五層,
RPWOMLLJNHJFFEF58CC,1,125.20,住家用,鋼筋混凝土造,102年7月12日,十五層,
RPPRMLLJNHJFFEF18CC,6,88.53,見其他登記事項,鋼筋混凝土造,97年6月9日,十五層,
RPPRMLLJNHJFFEF18CC,6,34.04,共有部份,鋼筋混凝土造,97年6月9日,十五層,
RPRPMLLJNHJFFDF08CC,14,58.41,住家用,鋼筋混凝土造,88年12月2日,二十五層,
RPSPMLLJNHJFFDF18CC,14,78.66,住家用,鋼筋混凝土造,88年12月2日,二十五層,
RPSRMLLJNHJFFEF48CC,17,66.55,住家用,鋼筋混凝土造,85年12月28日,二十二層,
RPOOMLLJNHJFFCF77EC,35,93.07,住商用,鋼筋混凝土造,68年3月22日,五層,
RPQPMLMJNHJFFEF18CC,22,142.80,商業用,鋼筋混凝土造,81年1月27日,八層,
RPOSMLLJNHJFFBF87CC,6,48.90,住家用,鋼筋混凝土造,97年3月3日,十層,
RPOSMLLJNHJFFBF87CC,6,5.73,住家用,鋼筋混凝土造,97年3月3日,十層,
RPOSMLLJNHJFFBF87CC,6,3.39,住家用,鋼筋混凝土造,97年3月3日,十層,
RPOSMLLJNHJFFBF87CC,6,22.62,共有部份,鋼筋混凝土造,97年3月3日,十層,
RPSRMLLJNHJFFBF18CC,11,275.29,見其他登記事項,鋼骨鋼筋混凝土造,92年1月20日,十四層,
RPSRMLLJNHJFFBF18CC,11,57.16,共有部份,鋼骨鋼筋混凝土造,92年1月20日,十四層,
RPSRMLLJNHJFFBF18CC,11,20.03,共有部份,鋼骨鋼筋混凝土造,92年1月20日,十四層,
RPRRMLLJNHJFFBF08CC,38,57.37,住家用,加強磚造,64年10月29日,四層,
RPWNMLLJNHJFFBF18CC,8,75.95,住家用,鋼筋混凝土造,95年5月30日,十二層,
RPWNMLLJNHJFFBF18CC,8,50.24,共有部份,鋼筋混凝土造,95年5月30日,十三層,
RPSSMLLJNHJFFBF28CC,9,70.33,住家用,鋼筋混凝土造,94年3月31日,十三層,
RPSSMLLJNHJFFBF28CC,9,54.07,共有部份,鋼筋混凝土造,94年3月31日,十三層,
RPOOMLLJNHJFFAF57EC,,33.00,住家用,加強磚造,,四層,
RPROMLMJNHJFFAF87DC,43,74.59,住家用,加強磚造,60年6月5日,三層,
RPVNMLLJNHJFFIF78CC,9,69.76,住家用,鋼筋混凝土造,94年10月17日,十三層,
RPWNMLLJNHJFFIF88CC,5,123.99,住家用,鋼筋混凝土造,98年1月8日,十九層,
