編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLNJNHJFFAN28CA,18,151.57,住家用,鋼筋混凝土造,85年3月21日,三層,一層 二層 三層
RPVOMLRJNHJFFAN66CA,40,99.96,住家用,鋼筋混凝土加強磚造,63年10月2日,二層,一層 二層
RPQOMLTJNHJFFAN98CA,14,2.31,住家用,鋼筋混凝土造,89年6月14日,八層,
RPQOMLTJNHJFFAN98CA,14,14.60,見其他登記事項,鋼筋混凝土造,89年6月14日,八層,
RPQOMLTJNHJFFAN98CA,14,69.96,住家用,鋼筋混凝土造,89年6月14日,八層,三層 四層
RPQOMLTJNHJFFAN98CA,14,17.35,見其他登記事項,鋼筋混凝土造,89年6月14日,八層,
RPQOMLTJNHJFFAN98CA,14,.00,見其他登記事項,鋼筋混凝土造,89年6月14日,八層,
RPROMLTJNHJFFAN09CA,16,217.44,見其他登記事項,鋼筋混凝土造,87年2月16日,四層,一層 二層 三層 四層 騎樓
RPQOMLTJNHJFFAN98CA,14,.00,見其他登記事項,鋼筋混凝土造,89年6月14日,八層,
RPVNMLMJNHJFFDN98CA,21,203.09,住家用,鋼筋混凝土造,82年9月24日,四層,一層 二層 三層 四層 騎樓
RPOPMLLLNHJFFAN28CA,,169.56,見其他登記事項,鋼筋混凝土造,103年1月16日,四層,
RPOPMLLLNHJFFAN28CA,,.48,見其他登記事項,鋼筋混凝土造,103年1月16日,四層,
RPPOMLQJNHJFFDN88CA,24,113.60,住家用,鋼筋混凝土造,79年2月2日,三層,一層 二層 三層
RPPPMLQJNHJFFDN98CA,23,179.79,住商用,鋼筋混凝土造,80年7月24日,七層,一層 二層 三層 騎樓
RPPPMLQJNHJFFDN98CA,23,24.99,見其他登記事項,鋼筋混凝土造,80年7月24日,七層,
RPPPMLQJNHJFFDN98CA,23,27.32,見其他登記事項,鋼筋混凝土造,80年7月24日,七層,
RPSOMLLLNHJFFAN58CA,43,133.12,住商用,鋼筋混凝土造,59年11月14日,四層,一層 二層 三層 四層
RPSNMLSJNHJFFCN56CA,21,94.55,住商用,鋼筋混凝土造,82年5月22日,七層,一層 二層
RPPNMLPJNHJFFDN68CA,24,124.84,住家用,鋼筋混凝土造,79年7月6日,七層,七層
RPPNMLPJNHJFFDN68CA,24,19.67,見其他登記事項,鋼筋混凝土造,79年7月6日,七層,
RPPNMLPJNHJFFDN68CA,24,22.54,見其他登記事項,鋼筋混凝土造,79年7月6日,七層,
RPPNMLPJNHJFFDN68CA,24,11.14,見其他登記事項,鋼筋混凝土造,79年7月6日,七層,
RPPNMLTKNHJFFCN09CA,3,662.95,工業用,見其他登記事項,100年3月23日,四層,一層 二層 三層 四層 夾層
RPPNMLTKNHJFFCN09CA,3,21.56,工業用,見其他登記事項,100年3月23日,一層,一層
RPWNMLQJNHJFFFN07CA,1,182.03,住宅,鋼筋混凝土造,102年7月19日,三層,一層 二層 三層
RPUNMLPJNHJFFHN96CA,6,215.74,見其他登記事項,鋼筋混凝土造,97年9月9日,四層,一層 二層 三層 四層 屋頂突出物
RPWNMLTKNHJFFHN67CA,17,149.40,住家用,鋼筋混凝土造,86年8月30日,四層,一層 二層 三層 四層
RPXNMLMLNHJFFFN96CA,18,146.04,住家用,鋼筋混凝土造,85年6月22日,三層,一層 二層 三層
RPQOMLMKNHJFFAN48DA,20,1.43,住家用,鋼筋混凝土造,83年8月31日,十二層,地下層
RPQOMLMKNHJFFAN48DA,20,11.52,見其他登記事項,鋼筋混凝土造,83年8月31日,十二層,
RPTNMLTKNHJFFFN17CA,,135.19,住宅,鋼筋混凝土造,102年10月29日,三層,一層 二層 三層
RPOOMLSJNHJFFAN78DA,17,103.43,住家用,鋼筋混凝土造,86年1月25日,十三層,十層
RPOOMLSJNHJFFAN78DA,17,22.86,見其他登記事項,鋼筋混凝土造,86年1月25日,十三層,
RPPNMLTJNHJFFBN98DA,20,347.86,見其他登記事項,鋼筋混凝土造,83年6月10日,三層,一層 二層 三層 地下層
RPTNMLTKNHJFFGN27CA,31,83.86,住家用,加強磚造,71年12月10日,二層,一層 二層
RPTNMLSJNHJFFEN96DA,24,122.31,住家用,鋼筋混凝土造,79年3月13日,三層,騎樓 一層 二層 三層
RPUNMLMJNHJFFFN56DA,20,159.63,住家用,鋼筋混凝土造,83年5月16日,四層,一層 二層 三層 四層
RPVNMLTJNHJFFAN86DA,14,214.01,住家用,鋼筋混凝土造,89年9月27日,四層,一層 二層 三層 四層
RPXNMLNKNHJFFDN76CA,13,146.80,住家用,鋼筋混凝土造,90年7月17日,三層,二層 三層 一層
RPSNMLTJNHJFFGN07CA,15,72.72,住家用,加強磚造,87年10月8日,一層,一層
RPRNMLNKNHJFFEN88CA,10,213.97,見其他登記事項,鋼筋混凝土造,93年4月26日,四層,三層 四層 一層 二層
RPQOMLRJNHJFFFN66CA,1,248.46,見其他登記事項,鋼筋混凝土造,102年5月17日,三層,一層 二層 三層 見其他登記事項
RPTNMLPJNHJFFEN56CA,8,168.01,住家用,鋼筋混凝土造,95年6月29日,三層,一層 二層 三層
RPPOMLRLNHJFFAN88CA,21,235.29,住家用,鋼筋混凝土造,81年12月8日,三層,一層 二層 三層
