編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLQJNHJFFEN09CC,中德段,62.57,都市：住
RPTNMLRLOHJFFCN17DC,新生段,1717.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLRLOHJFFCN17DC,新生段,697.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLNLOHJFFBN98DC,建興段,600.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLKMOHJFFDN56CC,三多段,81.41,都市：其他
RPQNMLOLOHJFFDN66DC,黎明段,5.00,都市：商
RPQNMLOLOHJFFDN66DC,黎明段,35.87,都市：商
RPXNMLSJPHJFFHN08DC,太平東段,108.87,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLMKNHJFFAN56DC,莿桐段,99.00,都市：住
RPXNMLTJPHJFFAN37CC,南郭段南郭小段,42.00,都市：住
RPSOMLQLOHJFFAN76CC,中山段,43.05,都市：住
RPSOMLTKNHJFFAN96DC,西門口段,3345.00,都市：住
RPWOMLSLNHJFFAN37DC,西門口段,2767.00,都市：住
RPXNMLMLPHJFFDN17CC,靜修段,99.78,都市：住
RPXNMLMLPHJFFDN17CC,靜修段,103.85,都市：住
RPUNMLMLPHJFFDN86CC,新生段,94.63,都市：商
RPTNMLRKPHJFFBN96CC,新發段,112.86,都市：工
RPPOMLMKOHJFFFN09CC,螺青段,67.00,都市：住
RPTNMLSKPHJFFFN47CC,芳平段,62.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
