編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLLJNHJFFAO28CB,榮光段一小段,20.05,都市：商
RPUNMLLJNHJFFAO68CB,榮光段一小段,14.32,都市：商
RPVNMLLJNHJFFAO78CB,榮光段一小段,14.32,都市：商
RPSNMLLJNHJFFAO48CB,榮光段一小段,20.05,都市：商
RPRNMLLJNHJFFAO38CB,榮光段一小段,20.05,都市：商
RPXNMLLJNHJFFAO98CB,榮光段一小段,14.32,都市：商
RPWNMLLJNHJFFAO88CB,榮光段一小段,14.32,都市：商
RPROMLLJNHJFFAO48CB,榮光段一小段,14.32,都市：商
RPTOMLLJNHJFFAO68CB,榮光段一小段,14.32,都市：商
RPRQMLLJNHJFFAO68CB,榮光段一小段,14.32,都市：商
RPVOMLLJNHJFFAO88CB,榮光段一小段,14.32,都市：商
RPQQMLLJNHJFFAO58CB,榮光段一小段,14.32,都市：商
RPQOMLLJNHJFFAO38CB,榮光段一小段,14.32,都市：商
RPOOMLLJNHJFFAO18CB,榮光段一小段,14.32,都市：商
RPTQMLLJNHJFFAO88CB,榮光段一小段,14.32,都市：商
RPUQMLLJNHJFFAO98CB,榮光段一小段,14.32,都市：商
RPXQMLLJNHJFFAO66CB,榮光段一小段,14.01,都市：商
RPWQMLLJNHJFFAO56CB,榮光段一小段,14.32,都市：商
RPVQMLLJNHJFFAO09CB,榮光段一小段,14.32,都市：商
RPQRMLLJNHJFFAO68CB,榮光段一小段,14.32,都市：商
RPWRMLLJNHJFFAO66CB,榮光段一小段,14.32,都市：商
RPPRMLLJNHJFFAO58CB,榮光段一小段,14.32,都市：商
RPPSMLLJNHJFFAO68CB,榮光段一小段,14.32,都市：商
RPRRMLLJNHJFFAO78CB,榮光段一小段,14.32,都市：商
RPORMLLJNHJFFAO48CB,榮光段一小段,14.32,都市：商
RPQSMLLJNHJFFAO78CB,榮光段一小段,14.32,都市：商
RPTSMLLJNHJFFAO09CB,榮光段一小段,14.32,都市：商
RPRSMLLJNHJFFAO88CB,榮光段一小段,14.32,都市：商
RPSSMLLJNHJFFAO98CB,榮光段一小段,14.32,都市：商
RPVSMLLJNHJFFAO66CB,榮光段一小段,14.32,都市：商
RPOTMLLJNHJFFAO68CB,榮光段一小段,14.32,都市：商
