編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPXNMLLJNHJFFAV96CA,知本段,5196.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPOMLMJNHJFFAV98CA,旭川段,863.14,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLMJNHJFFAV88CA,知本段,2500.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLMJNHJFFAV98CA,豐年段,83.65,都市：住
RPQNMLMJNHJFFAV98CA,豐年段,4.58,都市：住
RPWOMLNLNHJFFAV37CA,馬蘭段,13.28,都市：住
RPPNMLPJNHJFFAV56CA,北南王段,88.05,都市：住
RPXNMLPJNHJFFAV37CA,馬蘭段,44.54,都市：住
RPVOMLPJNHJFFAV27CA,台東段,114.00,都市：住
RPPNMLMKNHJFFAV98CA,台東段,57.92,都市：住
RPQNMLQJNHJFFCV96CA,大原段,766.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPVNMLTJNHJFFAV57CA,台東段,109.00,都市：住
RPRNMLTKNHJFFCV47CA,牧野段,337.37,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQOMLNKNHJFFAV66CA,新生段,14.64,都市：住
RPSNMLSJNHJFFAV17CA,馬蘭段,46.15,都市：住
RPTNMLRJNHJFFCV37CA,豐泉段,20.46,都市：住
RPUNMLRJNHJFFCV47CA,豐泉段,21.44,都市：住
RPRNMLNKNHJFFCV86CA,慶福段,5.66,都市：商
RPQNMLQJNHJFFDV17DA,金富段,289.17,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLRJNHJFFAV76CA,新園段,212.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLLJNHJFFBV98DA,坪頂段,691.32,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLLJNHJFFBV98DA,坪頂段,5861.93,非都市：風景區 ; 非都市編定：農牧用地
RPSOMLPJNHJFFAV96CA,鎮樂段,5457.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSOMLPJNHJFFAV96CA,鎮樂段,4433.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSOMLPJNHJFFAV96CA,鎮樂段,2600.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLPJNHJFFAV86CA,利家段,4462.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLPJNHJFFAV76CA,中心段,249.00,都市：住
RPQNMLPJNHJFFAV66CA,豐年段,23.57,都市：住
RPPNMLRJNHJFFCV07DA,萬福段,55.75,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLRJNHJFFCV07DA,萬福段,3940.43,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLSJNHJFFCV07CA,大原段,2649.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLOJOHJFFBV66CA,新竹湖段,113.24,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLQJNHJFFAV17CA,台東段,83.00,都市：住
RPUNMLQJNHJFFAV17CA,台東段,14.00,都市：住
RPWPMLNLNHJFFAV47CA,永樂段,61.00,都市：住
RPUNMLTJNHJFFAV57DA,明峰段,3028.29,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPXNMLRJNHJFFAV67DA,利家段,2604.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLTJNHJFFAV47DA,明峰段,2534.14,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLQJNHJFFAV37DA,公西段,22.84,都市：其他
RPVNMLQJNHJFFAV37DA,公西段,521.46,都市：其他
RPVNMLQJNHJFFAV37DA,公西段,13.21,都市：其他
RPVNMLNLNHJFFAV17CA,興安段,252.66,都市：住
RPRNMLOKNHJFFDV07CA,秀山段,8.52,都市：住
RPWNMLMLNHJFFBV27CA,沙泥灣段,3435.05,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLMKNHJFFCV66DA,康源段,104.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLQJNHJFFCV27DA,水源段,1588.13,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLQJNHJFFCV27DA,水源段,40.34,非都市：一般農業區 ; 非都市編定：交通用地
RPSNMLRJNHJFFCV27CA,南山段,5184.12,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLQJNHJFFCV47DA,水源段,8369.03,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLMKNHJFFCV76DA,康源段,104.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLNLNHJFFCV86CA,中福段,83.79,都市：住
RPQNMLNLNHJFFCV86CA,中福段,10.99,都市：住
RPQNMLNLNHJFFCV86CA,中福段,11.32,都市：住
RPQNMLNLNHJFFCV86CA,中福段,82.99,都市：住
RPUNMLNLNHJFFAV07CA,興安段,251.62,都市：住
RPRNMLRJNHJFFBV07CA,寧埔段小段,6320.00,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLRJNHJFFBV96CA,新港段新港小段,50830.00,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLRJNHJFFBV96CA,新港段新港小段,4230.00,非都市：風景區 ; 非都市編定：農牧用地
RPXNMLMLNHJFFBV37CA,新都威段,3849.71,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLTJNHJFFAV96CA,光明段,128.00,都市：住
RPOOMLMLNHJFFBV56CA,北都歷段,104.48,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLMLNHJFFBV56CA,忠勇段,139.32,都市：住
RPTOMLNKNHJFFAV96CA,台東段,68.00,都市：住
RPSNMLTJNHJFFAV27CA,建成段,173.54,都市：住
RPQNMLRJNHJFFAV86CA,新園段,183.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLRJNHJFFAV86CA,新園段,574.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPOOMLRJNHJFFAV76CA,明峰段,3367.51,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPOOMLRJNHJFFAV76CA,明峰段,5646.55,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPOMLLLNHJFFAV09CA,豐康段,26.33,都市：住
RPPOMLLLNHJFFAV09CA,豐康段,87.55,都市：住
RPPOMLLLNHJFFAV09CA,豐康段,26.23,都市：住
RPPNMLKKNHJFFCV09DA,鹿野段,1610.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPOOMLTJNHJFFAV96CA,中山段,97.00,都市：住
RPUNMLNKNHJFFAV96CA,台東段,83.00,都市：住
RPRNMLTJNHJFFCV37CA,豐泉段,56.86,都市：住
RPRNMLTJNHJFFCV37CA,豐泉段,122.15,都市：住
RPQNMLKKNHJFFCV56DA,鹿野段,1610.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLNKNHJFFCV76CA,大同段,74.50,都市：住
