編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSNMLMJNHJFFAW66CA,寧北一劃段,1000.00,都市：其他
RPSNMLLJNHJFFAW66DA,小西門劃測段,687.27,都市：住
RPSNMLQJNHJFFAW07CA,太湖劃測段,606.96,都市：其他
RPUOMLQKNHJFFAW47CA,蔡厝劃測段,1127.03,都市：農
RPVNMLQKNHJFFAW57DA,瓊林段,20.89,都市：其他
RPTNMLTLNHJFFAW67CA,榜林村段,199.00,都市：住
RPUNMLQKNHJFFAW47DA,瓊林段,6.85,都市：其他
RPPNMLPKNHJFFAW86DA,青岐段,151.00,都市：住
RPWNMLMLNHJFFAW27CA,東沙段,53.35,都市：其他
RPWNMLMLNHJFFAW27CA,東沙段,331.14,都市：其他
RPWNMLMLNHJFFAW27CA,東沙段,859.87,都市：其他
RPWNMLMLNHJFFAW27CA,東沙段,181.68,都市：其他
RPWNMLMLNHJFFAW27CA,小西門劃測段,700.00,都市：農
RPWNMLMLNHJFFAW27CA,小西門劃測段,49.51,都市：住
RPXNMLQKNHJFFAW77DA,瓊林段,36.88,都市：其他
RPXNMLQKNHJFFAW77DA,瓊林段,13.32,都市：其他
RPPOMLQKNHJFFAW07DA,瓊林段,66.05,都市：其他
RPOOMLQKNHJFFAW96DA,瓊林段,42.35,都市：其他
RPOOMLQKNHJFFAW96DA,瓊林段,7.85,都市：其他
RPSNMLTKNHJFFAW57DA,金城劃段,217.90,都市：農
RPSNMLTKNHJFFAW57DA,金城劃段,24.60,都市：其他
RPQNMLTJNHJFFAW27DA,小西門劃測段,51.15,都市：住
RPTNMLKLNHJFFAW76CA,水頭段,336.44,都市：農
RPTNMLKLNHJFFAW76CA,水頭段,1209.52,都市：農
RPTNMLKLNHJFFAW76CA,水頭段,20.16,都市：其他
RPTNMLKLNHJFFAW76CA,水頭段,293.73,都市：農
RPTNMLKLNHJFFAW76CA,水頭段,30.04,都市：其他
RPTNMLKLNHJFFAW76CA,水頭段,439.02,都市：農
RPTNMLKLNHJFFAW76CA,水頭段,6.49,都市：其他
RPTNMLKLNHJFFAW76CA,水頭段,761.26,都市：農
RPTNMLKLNHJFFAW76CA,水頭段,488.01,都市：農
RPXNMLNKNHJFFAW37CA,埔后村段,76.00,都市：其他
RPUNMLTJNHJFFAW57CA,古塔段,626.38,都市：其他
RPSNMLTJNHJFFAW37CA,前埔測段,281.79,都市：農
RPSNMLTJNHJFFAW37CA,前埔測段,253.22,都市：農
RPSNMLTJNHJFFAW37CA,前埔測段,240.01,都市：農
RPTNMLTJNHJFFAW47CA,后垵段,275.77,都市：農
RPTNMLTJNHJFFAW47CA,東洲段,239.58,都市：其他
RPRNMLLLNHJFFAW66CA,寧安四劃段,573.33,都市：農
RPQNMLOLNHJFFAW86CA,寧劃段,489.21,都市：農
RPQNMLOLNHJFFAW86CA,寧劃段,489.18,都市：農
RPPNMLOLNHJFFAW76CA,寧劃段,489.55,都市：農
RPPNMLOLNHJFFAW76CA,寧劃段,489.58,都市：農
RPWNMLNKNHJFFAW27CA,寧劃段,491.09,都市：農
RPPNMLQKNHJFFAW96DA,西堡劃測段,600.03,都市：農
RPVNMLNKNHJFFAW17CA,寧劃段,489.63,都市：農
RPOOMLNKNHJFFAW56CA,長寮段,560.81,都市：農
RPQNMLNKNHJFFAW66CA,城西段,6.47,都市：其他
RPQNMLNKNHJFFAW66CA,城西段,132.54,都市：住
RPPOMLNKNHJFFAW66CA,寧湖三劃段,500.00,都市：農
RPQNMLPKNHJFFAW96DA,山外段,48.34,都市：住
RPPNMLOKNHJFFAW76DA,小西門劃測段,51.15,都市：住
RPSNMLPKNHJFFAW07CA,多年段,387.00,都市：住
RPSNMLPKNHJFFAW07CA,多年段,73.00,都市：其他
RPUNMLKLNHJFFAW86CA,水頭段,208.79,都市：農
RPPNMLMLNHJFFAW56CA,小西門劃測段,889.69,都市：住
RPRNMLQKNHJFFAW07CA,料羅段,403.56,都市：農
RPSNMLQKNHJFFAW17CA,東珩段,252.04,都市：農
RPRNMLPKNHJFFAW96CA,長寮段,660.73,都市：農
RPQNMLOKNHJFFAW86DA,碧山段,425.17,都市：農
RPQNMLOKNHJFFAW86DA,沙碧劃段,800.00,都市：農
RPQNMLTKNHJFFAW37DA,沙溪一劃段,470.14,都市：農
RPTNMLTJOHJFFAW67DA,沙碧劃段,375.00,都市：農
RPTNMLTJOHJFFAW67DA,沙碧劃段,375.00,都市：農
RPVNMLTJOHJFFAW87DA,東店段,652.04,都市：其他
RPVNMLTJOHJFFAW87DA,東店段,253.11,都市：其他
RPVNMLTJOHJFFAW87DA,東店段,480.77,都市：其他
RPVNMLTJOHJFFAW87DA,東店段,654.49,都市：其他
RPVNMLTJOHJFFAW87DA,東店段,891.70,都市：其他
RPRNMLTKNHJFFAW47DA,莒光樓段,138.00,都市：農
RPQNMLKKOHJFFAW09CA,后垵段,536.24,都市：農
RPQNMLKKOHJFFAW09CA,庵前劃測段,739.03,都市：農
RPPNMLKKOHJFFAW09DA,東店段,861.04,都市：其他
RPPNMLKKOHJFFAW09DA,東店段,229.82,都市：其他
RPPNMLKKOHJFFAW09DA,東店段,300.20,都市：其他
RPPNMLKKOHJFFAW09DA,東店段,300.60,都市：其他
RPPNMLKKOHJFFAW09DA,東店段,228.84,都市：其他
RPPNMLKKOHJFFAW09DA,東店段,229.82,都市：其他
RPSNMLMKOHJFFAW96DA,沙碧劃段,500.00,都市：農
RPOOMLMKOHJFFAW56CA,新頭段,513.90,都市：農
RPRNMLMKOHJFFAW86DA,沙碧劃段,500.00,都市：農
RPSNMLKLNHJFFAW66CA,湖前段,484.57,都市：其他
RPQNMLKLNHJFFAW09CA,山前段,277.39,都市：農
RPQNMLKLNHJFFAW09CA,山前段,69.64,都市：其他
RPQNMLSLNHJFFAW37DA,寧安二劃段,71.75,都市：住
RPUNMLSLNHJFFAW77DA,夏興段,21.81,都市：住
RPUNMLSLNHJFFAW77DA,夏興段,.10,都市：住
RPUNMLSLNHJFFAW77DA,夏興段,.80,都市：住
RPQNMLLLNHJFFAW56CA,東洲段,87.10,都市：農
RPUNMLKMNHJFFAW96CA,后壟段,1013.00,都市：其他
RPSOMLNLNHJFFAW07CA,士校段,8415.85,都市：農
RPROMLNLNHJFFAW96CA,士校段,1508.73,都市：農
RPQNMLMLNHJFFAW66CA,后豐港段,700.00,都市：農
RPQNMLMLNHJFFAW66CA,后豐港段,62.00,都市：農
RPUNMLMLNHJFFAW07CA,榮湖段,560.00,都市：其他
RPTNMLMLNHJFFAW96CA,長寮段,2363.77,都市：農
RPTNMLKMNHJFFAW86CA,后壟段,1012.00,都市：其他
RPTNMLKMNHJFFAW86CA,后壟段,1012.00,都市：其他
RPUNMLNJOHJFFAW07CA,英坑段,485.18,都市：農
RPSNMLNJOHJFFAW86CA,西方段,279.00,都市：住
RPVNMLNJOHJFFAW17CA,古塔段,648.67,都市：其他
RPVNMLNJOHJFFAW17CA,古塔段,80.53,都市：其他
RPVNMLNJOHJFFAW17CA,金門城段,257.00,都市：住
RPVNMLNJOHJFFAW17CA,金門城段,93.00,都市：住
RPVNMLNJOHJFFAW17CA,金門城段,206.00,都市：住
RPTNMLOLNHJFFAW17CA,寧湖二劃測段,447.93,都市：農
RPSNMLOLNHJFFAW07CA,中三劃測段,686.45,都市：農
RPSNMLOLNHJFFAW07CA,中三劃測段,46.56,都市：其他
RPRNMLMLNHJFFAW86DA,古塔段,572.34,都市：農
RPPOMLMKOHJFFAW66CA,榜林村段,59.00,都市：住
RPWNMLNLNHJFFAW37CA,寧安二劃段,48.84,都市：其他
RPUNMLNLNHJFFAW17CA,寧安二劃段,48.84,都市：其他
RPSNMLNLNHJFFAW96CA,寧安二劃段,84.20,都市：其他
RPOOMLNLNHJFFAW66CA,寧安二劃段,48.84,都市：其他
RPVNMLMLNHJFFAW27DA,水頭段,604.76,都市：農
RPVNMLMLNHJFFAW27DA,水頭段,10.08,都市：農
RPQNMLNLNHJFFAW76CA,寧安二劃段,48.84,都市：其他
RPVOMLSLNHJFFAW87CA,金門城段,73.36,都市：其他
RPTNMLQLNHJFFAW47DA,夏興段,.72,都市：住
RPQNMLTLNHJFFAW37CA,金門城段,69.15,都市：其他
RPTNMLQLNHJFFAW47DA,夏興段,19.64,都市：住
RPTNMLQLNHJFFAW47DA,夏興段,.09,都市：住
RPOOMLSLNHJFFAW17CA,金門城段,78.25,都市：其他
RPWNMLSLNHJFFAW87CA,金門城段,78.17,都市：其他
RPQOMLSLNHJFFAW37CA,金門城段,69.15,都市：其他
SPQOMLSLNHJFFAW47CA,金門城段,69.06,都市：其他
RPSNMLSLNHJFFAW47CA,金門城段,78.25,都市：其他
RPXOMLSLNHJFFAW08CA,金門城段,73.27,都市：其他
RPTOMLSLNHJFFAW67CA,金門城段,65.71,都市：其他
RPTNMLNJOHJFFAW96CA,湖前段,4242.00,都市：農
SPTOMLSLNHJFFAW77CA,金門城段,65.63,都市：其他
RPQNMLRLNHJFFAW17CA,安西劃段,422.95,都市：農
RPWNMLRLNHJFFAW87DA,延平段,492.42,都市：農
RPRNMLRLNHJFFAW27CA,北堤段,30.37,都市：其他
RPRNMLRLNHJFFAW27CA,北堤段,39.92,都市：商
RPSNMLQLNHJFFAW27CA,湖前段,58.75,都市：其他
RPPOMLKKOHJFFAW09CA,青嶼段,519.60,都市：住
RPPOMLKKOHJFFAW09CA,青嶼段,468.00,都市：住
RPWNMLKKOHJFFAW07CA,青嶼段,346.40,都市：住
RPXNMLKKOHJFFAW17CA,青嶼段,545.00,都市：住
RPXNMLKKOHJFFAW17CA,青嶼段,413.00,都市：住
RPSNMLNKOHJFFAW96CA,埔邊村段,32.50,都市：住
RPSNMLNKOHJFFAW96CA,埔邊村段,65.00,都市：住
RPSNMLNKOHJFFAW96CA,埔邊村段,2.00,都市：住
RPRNMLRKOHJFFAW27CA,金門城段,75.16,都市：其他
RPTNMLSKOHJFFAW57CA,埔邊村段,166.00,都市：住
RPTNMLSKOHJFFAW57CA,埔邊村段,6.72,都市：住
RPTNMLSKOHJFFAW57CA,埔邊村段,6.72,都市：住
RPUNMLSKOHJFFAW67CA,埔邊村段,43.33,都市：住
RPWNMLSKOHJFFAW87CA,埔邊村段,43.33,都市：住
RPUNMLSKOHJFFAW67CA,埔邊村段,9.18,都市：住
RPWNMLSKOHJFFAW87CA,埔邊村段,.02,都市：住
RPWNMLSKOHJFFAW87CA,埔邊村段,.02,都市：住
RPUNMLSKOHJFFAW67CA,埔邊村段,9.18,都市：住
RPWNMLTKOHJFFAW97CA,埔邊村段,43.33,都市：住
RPWNMLTKOHJFFAW97CA,埔邊村段,.02,都市：住
RPWNMLTKOHJFFAW97CA,埔邊村段,.02,都市：住
RPPNMLOKOHJFFAW76CA,城西段,17.23,都市：住
RPPNMLOKOHJFFAW76CA,城西段,2.57,都市：住
RPWNMLNJOHJFFAW27CA,北九劃段,915.79,都市：農
RPWNMLNJOHJFFAW27CA,北九劃段,84.21,都市：其他
RPOOMLNJOHJFFAW56CA,太湖劃測段,520.02,都市：農
RPOOMLNJOHJFFAW56CA,太湖劃測段,1040.06,都市：農
RPRNMLNJOHJFFAW76CA,青山段,565.38,都市：農
RPRNMLNJOHJFFAW76CA,青山段,584.81,都市：農
SPWNMLTKOHJFFAW08CA,埔邊村段,43.33,都市：住
SPWNMLTKOHJFFAW08CA,埔邊村段,.02,都市：住
SPWNMLTKOHJFFAW08CA,埔邊村段,.02,都市：住
RPPOMLSKOHJFFAW27CA,埔邊村段,43.33,都市：住
RPPOMLSKOHJFFAW27CA,埔邊村段,.02,都市：住
RPPOMLSKOHJFFAW27CA,埔邊村段,.02,都市：住
RPSNMLRJOHJFFAW27CA,寧山段,153.68,都市：農
RPSNMLRJOHJFFAW27CA,寧山段,221.90,都市：農
RPSNMLRJOHJFFAW27CA,寧山段,645.27,都市：農
RPUNMLRJOHJFFAW47CA,賢厝段,563.00,都市：農
RPRNMLTKOHJFFAW47CA,寧湖六劃段,453.50,都市：農
RPQNMLTJOHJFFAW27CA,古寧頭段,332.00,都市：農
RPTNMLRJOHJFFAW37CA,寧湖一劃段,61.34,都市：其他
RPSNMLOJOHJFFAW96CA,湖前段,200.91,都市：其他
RPSNMLOJOHJFFAW96CA,湖前段,140.03,都市：其他
RPQNMLNJOHJFFAW66CA,青山段,584.81,都市：農
RPQNMLNJOHJFFAW66CA,青山段,565.38,都市：農
RPPNMLRJOHJFFAW96CA,沙溪一劃段,1040.00,都市：農
RPPNMLTJOHJFFAW17CA,北一段,31.36,都市：住
RPQOMLMKOHJFFAW76CA,多年段,315.16,都市：農
RPUNMLMKOHJFFAW07CA,后沙劃測段,600.02,都市：農
RPUNMLMKOHJFFAW07CA,后沙劃測段,780.04,都市：農
RPUNMLMKOHJFFAW07CA,后沙劃測段,899.99,都市：農
RPPOMLTKOHJFFAW37CA,埔邊村段,43.33,都市：住
RPPOMLTKOHJFFAW37CA,埔邊村段,.02,都市：住
RPPOMLTKOHJFFAW37CA,埔邊村段,.02,都市：住
RPPOMLNJOHJFFAW66CA,陳坑段,411.54,都市：農
RPQNMLLKOHJFFAW66DA,寧安二劃段,71.75,都市：住
RPSNMLQJOHJFFAW17CA,中蘭劃測段,899.98,都市：農
RPQNMLQJOHJFFAW96CA,寧湖二劃測段,740.00,都市：農
RPQNMLPJOHJFFAW86CA,蔡厝劃測段,615.36,都市：農
RPQNMLPJOHJFFAW86CA,蔡厝劃測段,762.56,都市：農
RPQNMLPJOHJFFAW86CA,蔡厝劃測段,900.01,都市：農
RPQNMLOKOHJFFAW86CA,煙墩段,340.77,都市：住
RPRNMLOJOHJFFAW86CA,金門城段,73.27,都市：其他
RPQOMLTKOHJFFAW47CA,漁村段,20.29,都市：其他
RPROMLMKOHJFFAW86CA,沙港劃段,1000.46,都市：農
RPQNMLNKOHJFFAW76CA,賢厝段,553.00,都市：農
RPQNMLNKOHJFFAW76CA,賢厝段,405.00,都市：農
RPPNMLNKOHJFFAW66CA,賢厝段,645.00,都市：農
RPPNMLNKOHJFFAW66CA,賢厝段,735.00,都市：農
RPWNMLMKOHJFFAW27CA,汶沙段,87.00,都市：住
RPQNMLMKOHJFFAW66CA,小西門劃測段,71.25,都市：其他
RPSNMLKKOHJFFAW66CA,城西段,.28,都市：其他
RPSNMLKKOHJFFAW66CA,城西段,97.79,都市：商
RPSNMLKKOHJFFAW66CA,城西段,81.74,都市：商
RPSNMLKKOHJFFAW66CA,城西段,.32,都市：其他
RPUNMLTJOHJFFAW77DA,北九十劃段,489.31,都市：農
RPXNMLKLOHJFFAW37DA,寧湖三劃段,493.00,都市：其他
RPPNMLLKOHJFFAW09CA,寧湖二劃測段,1068.29,都市：農
RPUNMLKLOHJFFAW96CA,寧安二劃段,48.84,都市：其他
RPUNMLQLOHJFFAW57CA,榜林村段,153.00,都市：其他
RPUNMLQLOHJFFAW57CA,寧湖二劃測段,133.05,都市：其他
RPTNMLNKOHJFFAW07CA,沙港劃段,1000.05,都市：農
RPSOMLMKOHJFFAW96CA,奎星樓段,31.95,都市：住
RPSOMLMKOHJFFAW96CA,奎星樓段,8.16,都市：其他
RPTOMLMKOHJFFAW07CA,寧湖一劃段,950.00,都市：農
RPWOMLMKOHJFFAW37CA,延平段,293.51,都市：農
RPWOMLMKOHJFFAW37CA,延平段,53.56,都市：其他
RPVOMLMKOHJFFAW27CA,烏土段,809.00,都市：其他
RPRNMLLJPHJFFAW66CA,寧湖三劃段,1000.00,都市：農
RPOOMLLJPHJFFAW56DA,沙東劃段,1100.32,都市：農
RPPOMLOJPHJFFAW86CA,寧安二劃段,166.60,都市：其他
RPPOMLOJPHJFFAW86CA,寧安二劃段,11.78,都市：其他
RPQNMLKLOHJFFAW56CA,漁村段,351.31,都市：其他
RPQNMLKLOHJFFAW56CA,漁村段,243.63,都市：其他
RPSNMLRJPHJFFAW37CA,中五劃段,967.00,都市：農
RPWNMLOJPHJFFAW57DA,士校段,105.40,都市：農
RPWNMLOJPHJFFAW57DA,士校段,41.90,都市：農
RPRNMLRJPHJFFAW27CA,太武段,157.63,都市：其他
RPRNMLRJPHJFFAW27CA,太武段,5.21,都市：其他
RPSNMLRKOHJFFAW37CA,太湖劃測段,1000.02,都市：農
RPQNMLQLOHJFFAW27DA,士校段,52.00,都市：其他
RPWNMLRLOHJFFAW87CA,奎星樓段,4.62,都市：其他
RPWNMLRLOHJFFAW87CA,奎星樓段,28.09,都市：商
RPRNMLTJPHJFFAW47CA,新頭段,66.34,都市：其他
RPRNMLTJPHJFFAW47CA,新頭段,107.05,都市：其他
RPRNMLTJPHJFFAW47CA,新頭段,377.23,都市：其他
RPUNMLNKOHJFFAW17CA,山前段,802.67,都市：農
RPPNMLQJPHJFFAW96CA,赤岑段,135.27,都市：其他
RPSOMLPLOHJFFAW47DA,寧湖二劃測段,435.69,都市：農
RPRNMLPLOHJFFAW27DA,中二劃段,78.94,都市：農
RPRNMLPLOHJFFAW27DA,中二劃段,23.20,都市：農
RPRNMLPLOHJFFAW27DA,中二劃段,24.13,都市：農
RPPNMLTJPHJFFAW27CA,寧古劃段,328.00,都市：農
RPPNMLTKOHJFFAW27CA,后豐港段,331.00,都市：其他
RPPNMLTKOHJFFAW27CA,后豐港段,455.00,都市：其他
RPQNMLTKOHJFFAW37CA,中八劃段,960.00,都市：其他
RPRNMLRLOHJFFAW47DA,中三劃測段,144.11,都市：農
RPRNMLRLOHJFFAW47DA,中三劃測段,14.78,都市：農
RPRNMLRLOHJFFAW47DA,中三劃測段,33.81,都市：農
RPSNMLSJPHJFFAW47CA,湖前段,58.75,都市：住
RPSNMLSJPHJFFAW47CA,湖前段,1.05,都市：住
RPUNMLRLOHJFFAW77DA,中三劃測段,139.03,都市：農
RPUNMLRLOHJFFAW77DA,中三劃測段,14.78,都市：農
RPUNMLRLOHJFFAW77DA,中三劃測段,33.81,都市：農
RPUNMLPLOHJFFAW57DA,湖前段,54.40,都市：其他
RPVNMLPLOHJFFAW67DA,湖前段,54.40,都市：其他
RPWNMLPLOHJFFAW77DA,湖前段,54.40,都市：其他
RPXNMLSKOHJFFAW97CA,庵前劃測段,21.35,都市：其他
RPXNMLSKOHJFFAW97CA,庵前劃測段,2.58,都市：農
RPXNMLSKOHJFFAW97CA,庵前劃測段,76.69,都市：住
RPXNMLSKOHJFFAW97CA,庵前劃測段,33.09,都市：住
RPRNMLOLOHJFFAW07CA,北二三劃測段,922.76,都市：住
RPQNMLNLOHJFFAW86CA,寧湖二劃測段,484.63,都市：農
RPQNMLNLOHJFFAW86CA,寧湖二劃測段,484.63,都市：農
RPQNMLNLOHJFFAW86CA,寧湖二劃測段,15.39,都市：其他
RPQNMLNLOHJFFAW86CA,寧湖二劃測段,15.39,都市：其他
RPTNMLKMOHJFFAW07DA,湖前段,54.40,都市：住
RPVNMLKMOHJFFAW27DA,湖前段,54.40,都市：住
RPQNMLKMOHJFFAW66CA,小西門劃測段,105.06,都市：住
RPQNMLKMOHJFFAW66CA,小西門劃測段,37.60,都市：住
RPQNMLKMOHJFFAW66CA,小西門劃測段,23.01,都市：住
RPPNMLKMOHJFFAW56CA,下后垵段,24.00,都市：住
RPPNMLKMOHJFFAW56CA,下后垵段,24.00,都市：住
RPRNMLKMOHJFFAW76CA,小西門劃測段,67.81,都市：住
RPRNMLKMOHJFFAW76CA,小西門劃測段,37.60,都市：住
RPRNMLKMOHJFFAW76CA,小西門劃測段,23.01,都市：住
RPXNMLKMOHJFFAW47DA,湖前段,54.40,都市：住
RPSNMLKMOHJFFAW96DA,湖前段,47.37,都市：住
RPUNMLKMOHJFFAW17DA,湖前段,47.37,都市：住
RPTNMLKLOHJFFAW86CA,中四劃段,684.00,都市：農
RPRNMLKLOHJFFAW66CA,中四劃段,524.80,都市：農
RPPNMLNLOHJFFAW76CA,慈湖段,1203.94,都市：其他
RPTNMLRLOHJFFAW67DA,中三劃測段,29.36,都市：農
RPTNMLRLOHJFFAW67DA,中三劃測段,17.34,都市：農
RPTNMLRLOHJFFAW67DA,中三劃測段,229.88,都市：農
RPTNMLRLOHJFFAW67DA,中三劃測段,17.92,都市：農
RPTNMLRLOHJFFAW67DA,中三劃測段,33.81,都市：農
RPSNMLOLOHJFFAW17CA,浯坑劃測段,747.00,都市：農
RPSNMLRLOHJFFAW57DA,中三劃測段,52.85,都市：農
RPXNMLPLOHJFFAW77CA,金門城段,125.00,都市：住
RPXNMLRLOHJFFAW08DA,中三劃測段,33.81,都市：農
RPXNMLRLOHJFFAW08DA,中三劃測段,158.54,都市：農
RPVNMLRLOHJFFAW87DA,中三劃測段,33.81,都市：農
RPVNMLRLOHJFFAW87DA,中三劃測段,136.37,都市：農
RPOOMLRLOHJFFAW27DA,中三劃測段,33.81,都市：農
RPOOMLRLOHJFFAW27DA,中三劃測段,158.03,都市：農
RPPOMLRLOHJFFAW37DA,中三劃測段,52.85,都市：農
RPTNMLOLOHJFFAW37DA,湖尚劃段,1000.00,都市：農
RPPNMLQLOHJFFAW17DA,寧湖一劃段,500.00,都市：農
RPUNMLSJPHJFFAW67CA,中一段,383.68,都市：其他
RPTNMLSJPHJFFAW57CA,高坑劃測段,630.00,都市：農
RPVNMLSJPHJFFAW77CA,寧山段,189.65,都市：其他
RPVNMLSJPHJFFAW77CA,寧山段,41.47,都市：其他
RPWNMLSJPHJFFAW87CA,寧山段,19.22,都市：其他
RPVNMLTLOHJFFAW97CA,尚義段,269.00,都市：住
RPROMLRLOHJFFAW57DA,中三劃測段,33.00,都市：農
RPROMLRLOHJFFAW57DA,中三劃測段,25.49,都市：農
RPROMLRLOHJFFAW57DA,中三劃測段,217.65,都市：農
RPROMLRLOHJFFAW57DA,中三劃測段,41.54,都市：農
RPROMLRLOHJFFAW57DA,中三劃測段,33.81,都市：農
RPSOMLRLOHJFFAW57CA,中三劃測段,752.70,都市：農
RPQOMLRLOHJFFAW47DA,中三劃測段,105.70,都市：農
RPSNMLKKPHJFFAW86DA,多年段,230.03,都市：農
RPTNMLQLOHJFFAW47CA,寧湖一劃段,28.04,都市：住
RPTNMLQLOHJFFAW47CA,寧湖一劃段,95.53,都市：住
RPUOMLRLOHJFFAW77CA,沙溪一劃段,933.00,都市：農
RPPNMLLJPHJFFAW09CA,西堡劃測段,320.00,都市：其他
RPQNMLLJPHJFFAW56CA,寧劃段,490.60,都市：農
RPQNMLLJPHJFFAW56CA,龍潭段,429.89,都市：農
RPVNMLMLPHJFFAW37CA,湖前段,349.51,都市：住
RPVOMLKMOHJFFAW27CA,中三劃測段,945.77,都市：農
RPVOMLKMOHJFFAW27CA,中三劃測段,1011.26,都市：農
RPSNMLLJPHJFFAW76CA,新塘段,1000.00,都市：其他
RPSNMLQKPHJFFAW47DA,湖前段,1060.50,都市：農
RPPNMLSKPHJFFAW27CA,金門城段,131.25,都市：其他
RPUNMLPLPHJFFAW57CA,蜈蚣山段,465.42,都市：其他
RPVNMLPLPHJFFAW67CA,金門城段,239.00,都市：住
RPWNMLPLPHJFFAW77CA,蜈蚣山段,397.02,都市：其他
RPWNMLPLPHJFFAW77CA,蜈蚣山段,727.64,都市：其他
RPWNMLPLPHJFFAW77CA,古塔段,332.00,都市：其他
RPPNMLTKPHJFFAW37CA,榮湖段,648.22,都市：其他
RPPNMLNLPHJFFAW96DA,寧古劃段,500.00,都市：農
RPSNMLNJPHJFFAW96CA,后沙劃測段,910.03,都市：其他
RPTNMLNJPHJFFAW07CA,南雄段,482.35,都市：商
RPUNMLNJPHJFFAW17CA,官澳測段,468.12,都市：其他
RPWNMLNJPHJFFAW37CA,浯坑劃測段,299.04,都市：農
RPWNMLNJPHJFFAW37CA,浯坑劃測段,500.02,都市：農
RPWNMLNJPHJFFAW37CA,浯坑劃測段,1110.02,都市：農
RPWNMLNJPHJFFAW37CA,西園測段,370.11,都市：農
RPWNMLNJPHJFFAW37CA,西園測段,531.34,都市：其他
RPWNMLNJPHJFFAW37CA,西園測段,106.93,都市：農
RPWNMLNJPHJFFAW37CA,西園測段,420.82,都市：農
RPWNMLNJPHJFFAW37CA,官澳段,285.00,都市：其他
RPRNMLNJPHJFFAW96DA,寧湖二劃測段,500.00,都市：農
RPRNMLNJPHJFFAW96DA,寧湖二劃測段,493.19,都市：農
RPQNMLNJPHJFFAW86DA,山柄段,411.55,都市：農
RPTNMLRJPHJFFAW47CA,小西門劃測段,665.02,都市：農
RPTNMLRJPHJFFAW47CA,小西門劃測段,550.04,都市：農
RPVNMLOJPHJFFAW37CA,湖前段,1060.50,都市：農
RPOOMLOJPHJFFAW76CA,延平段,995.02,都市：農
RPWNMLMLPHJFFAW47CA,新頭段,580.03,都市：農
RPQNMLTKPHJFFAW47CA,北八劃段,1000.00,都市：農
RPRNMLTKPHJFFAW57CA,下后垵段,48.00,都市：住
RPPNMLQKPHJFFAW07CA,古井段,186.94,都市：住
RPPNMLQKPHJFFAW07CA,古井段,186.94,都市：住
RPPNMLQKPHJFFAW07CA,古井段,186.94,都市：住
RPPNMLQKPHJFFAW07CA,古井段,186.94,都市：住
RPPNMLQKPHJFFAW07CA,古井段,8.48,都市：其他
RPPNMLQKPHJFFAW07CA,古井段,8.48,都市：其他
RPPNMLQKPHJFFAW07CA,古井段,8.48,都市：其他
RPPNMLQKPHJFFAW07CA,古井段,8.48,都市：其他
RPUNMLTKPHJFFAW87CA,下后垵段,48.00,都市：住
RPWNMLLJPHJFFAW27DA,陳坑段,402.34,都市：住
RPXNMLMLPHJFFAW57CA,后沙劃測段,240.00,都市：農
RPXNMLMLPHJFFAW57CA,后沙劃測段,240.00,都市：農
RPXNMLMLPHJFFAW57CA,后沙劃測段,240.00,都市：農
RPXNMLMLPHJFFAW57CA,后沙劃測段,240.00,都市：農
RPXNMLMLPHJFFAW57CA,后沙劃測段,240.00,都市：農
