編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUOMLPJQHJFFAA97CA,6,26.24,住家用,見其他登記事項,97年5月13日,十四層,四層
RPUOMLPJQHJFFAA97CA,6,4.45,共有部分,見其他登記事項,97年5月13日,十四層,
RPUOMLPJQHJFFAA97CA,6,9.91,共有部分,見其他登記事項,97年5月13日,十四層,
RPQNMLRJQHJFFAA67CA,,77.04,,鋼筋混凝土造,,四層,三層 陽台
RPUNMLNKQHJFFAA77CA,30,70.66,住家用,鋼筋混凝土造,73年4月3日,七層,二層
RPUNMLNKQHJFFAA77CA,30,11.32,共有部分,鋼筋混凝土造,73年4月3日,七層,
RPTNMLLKQHJFFAA47CA,1,134.35,住家用,鋼筋混凝土造,102年1月3日,十五層,十層
RPTNMLLKQHJFFAA47CA,1,20.17,見其他登記事項,鋼筋混凝土造,102年1月3日,十五層,
RPTNMLLKQHJFFAA47CA,1,13.46,見其他登記事項,鋼筋混凝土造,102年1月3日,十五層,
RPTNMLLKQHJFFAA47CA,1,25.18,見其他登記事項,鋼筋混凝土造,102年1月3日,十五層,
RPTNMLLKQHJFFAA47CA,1,.07,見其他登記事項,鋼筋混凝土造,102年1月3日,十五層,
RPTNMLLKQHJFFAA47CA,1,40.70,見其他登記事項,鋼筋混凝土造,102年1月3日,十五層,
RPUNMLLKQHJFFAA57CA,1,100.06,住家用,鋼筋混凝土造,102年1月3日,十五層,十三層
RPUNMLLKQHJFFAA57CA,1,15.02,見其他登記事項,鋼筋混凝土造,102年1月3日,十五層,
RPUNMLLKQHJFFAA57CA,1,10.03,見其他登記事項,鋼筋混凝土造,102年1月3日,十五層,
RPUNMLLKQHJFFAA57CA,1,18.74,見其他登記事項,鋼筋混凝土造,102年1月3日,十五層,
RPUNMLLKQHJFFAA57CA,1,.07,見其他登記事項,鋼筋混凝土造,102年1月3日,十五層,
RPUNMLLKQHJFFAA57CA,1,40.70,見其他登記事項,鋼筋混凝土造,102年1月3日,十五層,
RPSNMLLKQHJFFAA37CA,1,135.34,住家用,鋼筋混凝土造,102年1月3日,十五層,三層
RPSNMLLKQHJFFAA37CA,1,20.31,見其他登記事項,鋼筋混凝土造,102年1月3日,十五層,
RPSNMLLKQHJFFAA37CA,1,13.55,見其他登記事項,鋼筋混凝土造,102年1月3日,十五層,
RPSNMLLKQHJFFAA37CA,1,25.39,見其他登記事項,鋼筋混凝土造,102年1月3日,十五層,
RPSNMLLKQHJFFAA37CA,1,.07,見其他登記事項,鋼筋混凝土造,102年1月3日,十五層,
RPSNMLLKQHJFFAA37CA,1,40.70,見其他登記事項,鋼筋混凝土造,102年1月3日,十五層,
RPXNMLSJQHJFFAA48CA,,92.64,住家用,鋼筋混凝土造,,四層,四層
RPTNMLOJQHJFFAA67CA,46,110.11,住家用,鋼筋混凝土造,57年2月12日,四層,二層
RPVNMLMLQHJFFAA87CA,4,125.05,住家用,鋼筋混凝土造,99年10月27日,十三層,九層
RPVNMLMLQHJFFAA87CA,4,88.49,見其他登記事項,鋼筋混凝土造,99年10月27日,十三層,
RPOOMLMKQHJFFBA27CA,,238.14,,加強磚造,,三層,
RPVNMLSJQHJFFBA38CA,37,102.36,住家用,鋼筋混凝土造,66年8月17日,五層,三層
RPRNMLPJQHJFFBA67CA,36,135.96,商業用,鋼筋混凝土造,67年2月2日,七層,七層
RPRNMLPJQHJFFBA67CA,36,28.09,共有部分,鋼筋混凝土造,67年2月2日,七層,
RPPPMLOJQHJFFBA57CA,5,96.85,住家用,鋼筋混凝土造,98年10月1日,八層,三層
RPPPMLOJQHJFFBA57CA,5,68.31,共有部分,鋼筋混凝土造,98年10月1日,八層,
RPPOMLLJQHJFFBA17CA,26,37.60,商業用,鋼筋混凝土造,77年9月30日,十二層,七層
RPPOMLLJQHJFFBA17CA,26,2.85,共有部分,鋼筋混凝土造,77年9月30日,十二層,
RPPOMLLJQHJFFBA17CA,26,6.26,共有部分,鋼筋混凝土造,77年9月30日,十二層,
RPOOMLLJQHJFFBA07CA,34,22.43,住家用,鋼筋混凝土造,69年9月15日,九層,六層
RPOOMLLJQHJFFBA07CA,34,11.62,共有部分,鋼筋混凝土造,69年9月15日,九層,
RPRPMLOKQHJFFBA87CA,1,34.96,住家用,鋼筋混凝土造,102年9月14日,十三層,十一層
RPRPMLOKQHJFFBA87CA,1,28.75,見其他登記事項,鋼筋混凝土造,102年9月14日,十三層,
RPRPMLOKQHJFFBA87CA,1,2.52,見其他登記事項,鋼筋混凝土造,102年9月14日,十三層,
RPRPMLOKQHJFFBA87CA,1,24.52,見其他登記事項,鋼筋混凝土造,102年9月14日,十三層,
RPUOMLPKQHJFFBA18CA,,49.51,商業用,鋼筋混凝土造,,十層,四層
RPUOMLPKQHJFFBA18CA,,14.31,共有部分,鋼筋混凝土造,,十層,
RPSNMLSJQHJFFCA18CA,28,103.51,住家用,鋼筋混凝土造,75年3月19日,五層,五層
RPOQMLQJQHJFFCA87CA,20,30.49,商業用,鋼筋混凝土造,83年10月18日,七層,四層
RPSNMLSJQHJFFCA18CA,28,8.00,共有部分,鋼筋混凝土造,75年3月19日,五層,
RPOQMLQJQHJFFCA87CA,20,8.05,共有部分,鋼筋混凝土造,83年10月18日,七層,
RPOPMLTJRHJFFBA08CA,7,112.84,住家用,鋼筋混凝土造,97年1月3日,十四層,九層
RPOPMLTJRHJFFBA08CA,7,76.46,共有部分,鋼筋混凝土造,97年1月3日,十四層,
RPSQMLLJQHJFFCA77CA,34,42.66,住家用,鋼筋混凝土造,69年8月21日,十一層,十一層
RPSQMLLJQHJFFCA77CA,34,16.91,共有部分,鋼筋混凝土造,69年8月21日,十一層,
RPXOMLPJQHJFFCA48CA,9,114.06,住家用,鋼筋混凝土造,94年7月15日,十一層,七層
RPXOMLPJQHJFFCA48CA,9,75.73,共有部分,鋼筋混凝土造,94年7月15日,十一層,
RPTQMLOJQHJFFCA18CA,34,22.13,商業用,鋼筋混凝土造,69年7月21日,十二層,四層
RPTQMLOJQHJFFCA18CA,34,6.35,共有部分,鋼筋混凝土造,69年7月21日,十二層,
RPXOMLOJQHJFFCA38CA,15,115.66,國民住宅,鋼筋混凝土造,88年6月2日,十二層,十層
RPXOMLOJQHJFFCA38CA,15,45.32,共有部分,鋼筋混凝土造,88年6月2日,十二層,
RPOPMLOJQHJFFCA57CA,32,25.45,住家用,鋼筋混凝土造,71年2月27日,十一層,六層
RPOPMLOJQHJFFCA57CA,32,4.18,共有部分,鋼筋混凝土造,71年2月27日,十一層,
RPVQMLOJQHJFFCA38CA,7,68.46,共有部分,鋼筋混凝土造,96年11月30日,十四層,
RPVQMLOJQHJFFCA38CA,7,87.93,住家用,鋼筋混凝土造,96年11月30日,十四層,十一層
RPPOMLLKQHJFFCA37CA,20,64.51,住家用,鋼筋混凝土造,83年7月29日,十八層,一層
RPPOMLLKQHJFFCA37CA,20,3.97,共有部分,鋼筋混凝土造,83年8月4日,八層,
RPPOMLLKQHJFFCA37CA,20,3.64,共有部分,鋼筋混凝土造,83年7月29日,十八層,
RPPOMLLKQHJFFCA37CA,20,44.46,停車空間,鋼筋混凝土造,83年7月29日,二十層,
RPPOMLLKQHJFFCA37CA,20,1.04,共有部分,鋼筋混凝土造,83年7月29日,二十層,
RPTOMLPLQHJFFCA28CA,,180.71,見其他登記事項,鋼筋混凝土造,103年1月29日,十三層,四層
RPTOMLPLQHJFFCA28CA,,94.15,見其他登記事項,鋼筋混凝土造,103年1月29日,十三層,
RPTOMLPLQHJFFCA28CA,,74.14,見其他登記事項,鋼筋混凝土造,103年1月29日,十三層,
RPUOMLPLQHJFFCA38CA,,180.25,見其他登記事項,鋼筋混凝土造,103年1月29日,十三層,四層
RPUOMLPLQHJFFCA38CA,,93.31,見其他登記事項,鋼筋混凝土造,103年1月29日,十三層,
RPUOMLPLQHJFFCA38CA,,43.25,見其他登記事項,鋼筋混凝土造,103年1月29日,十三層,
RPPRMLPLQHJFFCA18CA,33,50.58,住家用,鋼筋混凝土造,70年11月13日,五層,五層
RPRPMLTLQHJFFCA58CA,33,98.43,住家用,鋼筋混凝土造,70年10月15日,五層,五層
RPOOMLOJQHJFFDA57CA,32,146.11,住家用,鋼筋混凝土造,71年10月20日,五層,三層
RPOPMLOJQHJFFDA67CA,,58.35,住家用,鋼筋混凝土造,,四層,四層
RPOPMLOJQHJFFDA67CA,,37.90,共有部分,鋼筋混凝土造,,四層,
RPROMLOJQHJFFDA87CA,31,146.11,住家用,鋼筋混凝土造,71年12月20日,五層,四層
RPPOMLLJQHJFFDA37CA,,88.99,住家用,加強磚造,,四層,一層 騎樓
RPXNMLOJQHJFFDA38CA,31,146.11,商業用,鋼筋混凝土造,71年12月20日,五層,一層
RPOPMLRJQHJFFDA97CA,,177.68,見其他登記事項,鋼筋混凝土造,103年5月14日,十一層,八層
RPOPMLRJQHJFFDA97CA,,78.16,見其他登記事項,鋼筋混凝土造,103年5月14日,十一層,
RPOPMLRJQHJFFDA97CA,,87.61,見其他登記事項,鋼筋混凝土造,103年5月14日,十一層,
RPOPMLRJQHJFFDA97CA,,8.83,見其他登記事項,鋼筋混凝土造,103年5月14日,十一層,
RPSPMLRJQHJFFDA38CA,,177.68,見其他登記事項,鋼筋混凝土造,103年5月14日,十一層,五層
RPSPMLRJQHJFFDA38CA,,36.19,見其他登記事項,鋼筋混凝土造,103年5月14日,十一層,
RPSPMLRJQHJFFDA38CA,,87.61,見其他登記事項,鋼筋混凝土造,103年5月14日,十一層,
RPSPMLRJQHJFFDA38CA,,8.83,見其他登記事項,鋼筋混凝土造,103年5月14日,十一層,
RPUPMLRJQHJFFDA58CA,,177.82,見其他登記事項,鋼筋混凝土造,103年5月14日,十一層,五層
RPUPMLRJQHJFFDA58CA,,41.98,見其他登記事項,鋼筋混凝土造,103年5月14日,十一層,
RPUPMLRJQHJFFDA58CA,,87.67,見其他登記事項,鋼筋混凝土造,103年5月14日,十一層,
RPUPMLRJQHJFFDA58CA,,8.81,見其他登記事項,鋼筋混凝土造,103年5月14日,十一層,
RPWNMLMKQHJFFDA18CA,42,73.55,住家用,鋼筋混凝土造,61年10月16日,四層,一層 平台 騎樓
RPUNMLPKQHJFFDA28CA,1,36.02,住家用,鋼筋混凝土造,102年8月8日,十一層,十層
RPUNMLPKQHJFFDA28CA,1,91.28,見其他登記事項,鋼筋混凝土造,102年8月8日,十一層,一層 二層
RPUNMLPKQHJFFDA28CA,1,10.38,見其他登記事項,鋼筋混凝土造,102年8月8日,十一層,
RPUNMLPKQHJFFDA28CA,1,26.18,見其他登記事項,鋼筋混凝土造,102年8月8日,十一層,
RPUNMLPKQHJFFDA28CA,1,44.34,見其他登記事項,鋼筋混凝土造,102年8月8日,十一層,
RPUNMLPKQHJFFDA28CA,1,22.17,見其他登記事項,鋼筋混凝土造,102年8月8日,十一層,
RPUNMLPKQHJFFDA28CA,1,6.78,見其他登記事項,鋼筋混凝土造,102年8月8日,十一層,
RPQNMLOLQHJFFDA87CA,8,152.01,住家用,鋼筋混凝土造,95年12月14日,九層,二層
RPQNMLOLQHJFFDA87CA,8,57.46,共有部分,鋼筋混凝土造,95年12月14日,九層,
RPQNMLOLQHJFFDA87CA,8,39.64,共有部分,鋼筋混凝土造,95年12月14日,九層,
RPRPMLRLQHJFFDA48CA,,84.67,住家用,鋼筋混凝土造,,四層,二層
RPROMLPLQHJFFDA18CA,30,82.04,住家用,鋼筋混凝土造,72年12月29日,十六層,十三層
RPROMLPLQHJFFDA18CA,30,17.24,共有部分,鋼筋混凝土造,72年12月29日,十六層,
RPUOMLRLQHJFFDA68CA,29,19.01,住家用,鋼筋混凝土造,74年8月19日,七層,二層
RPUOMLRLQHJFFDA68CA,29,4.50,見使用執照,鋼筋混凝土造,74年8月19日,七層,
RPUOMLRLQHJFFDA68CA,29,5.30,共有部分,鋼筋混凝土造,74年8月19日,七層,
RPQNMLRJQHJFFEA08CA,,32.62,住家用,鋼筋混凝土造,103年3月3日,七層,四層
RPQNMLRJQHJFFEA08CA,,38.29,見其他登記事項,鋼筋混凝土造,103年3月3日,七層,
RPWNMLSJQHJFFEA78CA,19,29.43,商業用,鋼筋混凝土造,85年1月9日,八層,一層
RPWNMLSJQHJFFEA78CA,19,6.31,共用部分,鋼筋混凝土造,85年1月9日,八層,
RPWNMLSJQHJFFEA78CA,19,65.92,共用部分,鋼筋混凝土造,85年1月9日,八層,
RPWNMLSJQHJFFEA78CA,19,194.25,商業用,鋼筋混凝土造,85年1月9日,八層,地下一層
RPXNMLOJQHJFFEA48CA,39,90.77,住家用,鋼筋混凝土造,64年10月22日,四層,四層 陽台
RPSNMLOJQHJFFAA67DA,12,30.41,共有部分,鋼筋混凝土造,92年1月21日,十二層,
RPTNMLPJQHJFFBA97DA,21,54.67,住家用,鋼筋混凝土造,82年9月14日,六層,三層
RPTNMLPJQHJFFBA97DA,21,29.83,共有部分,鋼筋混凝土造,82年9月14日,六層,
RPXOMLMKQHJFFEA48CA,17,56.44,共用部分,鋼筋混凝土造,86年1月15日,十六層,
