編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUOMLPJQHJFFAA97CA,南海段二小段,2.85,都市：商
RPUOMLPJQHJFFAA97CA,南海段二小段,1.58,都市：住
RPQNMLRJQHJFFAA67CA,實踐段二小段,28.00,都市：住
RPUNMLNKQHJFFAA77CA,河堤段五小段,14.91,都市：住
RPUNMLNKQHJFFAA77CA,河堤段五小段,1.31,都市：住
RPTNMLLKQHJFFAA47CA,木柵段三小段,27.56,都市：住
RPUNMLLKQHJFFAA57CA,木柵段三小段,21.11,都市：住
RPSNMLLKQHJFFAA37CA,木柵段三小段,27.56,都市：住
RPXNMLSJQHJFFAA48CA,興隆段二小段,.25,都市：其他
RPXNMLSJQHJFFAA48CA,興隆段二小段,29.00,都市：住
RPTNMLOJQHJFFAA67CA,河堤段五小段,39.28,都市：住
RPPNMLTLQHJFFAA97CA,興泰段二小段,33.28,都市：住
RPVNMLMLQHJFFAA87CA,河堤段一小段,25.15,都市：住
RPOOMLMKQHJFFBA27CA,雙連段二小段,103.00,都市：商
RPWNMLOJQHJFFBA08CA,城中段二小段,27.00,都市：其他
RPXOMLRJQHJFFBA58CA,莒光段三小段,7.06,都市：住
RPVNMLSJQHJFFBA38CA,大同段二小段,.40,都市：商
RPVNMLSJQHJFFBA38CA,大同段二小段,9.00,都市：商
RPVNMLSJQHJFFBA38CA,大同段二小段,17.40,都市：商
RPRNMLPJQHJFFBA67CA,雙連段二小段,30.33,都市：商
RPPPMLOJQHJFFBA57CA,華江段三小段,28.82,都市：其他
RPPOMLLJQHJFFBA17CA,公園段二小段,4.29,都市：商
RPOOMLLJQHJFFBA07CA,漢中段一小段,4.95,都市：商
RPOOMLLJQHJFFBA07CA,漢中段一小段,.02,都市：其他
RPRPMLOKQHJFFBA87CA,漢中段一小段,4.96,都市：商
RPUOMLPKQHJFFBA18CA,延平段二小段,7.47,都市：其他
RPOQMLPJQHJFFCA77CA,金泰段,49.64,都市：商
RPOQMLQJQHJFFCA87CA,中山段一小段,5.21,都市：商
RPSNMLSJQHJFFCA18CA,康寧段四小段,27.31,都市：住
RPSNMLSJQHJFFCA18CA,康寧段四小段,.11,都市：住
RPOPMLTJRHJFFBA08CA,青年段一小段,1.60,都市：住
RPOPMLTJRHJFFBA08CA,青年段一小段,.76,都市：住
RPOPMLTJRHJFFBA08CA,青年段二小段,37.86,都市：住
RPOPMLTJRHJFFBA08CA,青年段二小段,.30,都市：住
RPSQMLLJQHJFFCA77CA,德惠段四小段,6.24,都市：商
RPXOMLPJQHJFFCA48CA,康寧段三小段,54.02,都市：住
RPTQMLOJQHJFFCA18CA,吉林段四小段,2.46,都市：商
RPXOMLOJQHJFFCA38CA,康寧段三小段,41.44,都市：住
RPOPMLOJQHJFFCA57CA,德惠段四小段,2.71,都市：商
RPVQMLOJQHJFFCA38CA,文德段一小段,14.78,都市：住
RPVQMLOJQHJFFCA38CA,文德段一小段,10.13,都市：住
RPPOMLLKQHJFFCA37CA,康寧段二小段,19.96,都市：住
RPTOMLPLQHJFFCA28CA,潭美段三小段,45.82,都市：工
RPUOMLPLQHJFFCA38CA,潭美段三小段,45.27,都市：工
RPSOMLTKQHJFFCA48CA,石潭段二小段,.53,都市：其他
RPSOMLTKQHJFFCA48CA,石潭段二小段,.20,都市：其他
RPSOMLTKQHJFFCA48CA,石潭段二小段,2.53,都市：其他
RPSOMLTKQHJFFCA48CA,石潭段二小段,.02,都市：其他
RPUOMLTKQHJFFCA68CA,石潭段四小段,19.94,都市：住
RPPRMLPLQHJFFCA18CA,文德段二小段,3.65,都市：住
RPPRMLPLQHJFFCA18CA,文德段二小段,3.60,都市：住
RPPRMLPLQHJFFCA18CA,文德段二小段,3.65,都市：住
RPPRMLPLQHJFFCA18CA,文德段二小段,3.60,都市：住
RPRPMLTLQHJFFCA58CA,碧湖段四小段,31.04,都市：住
RPOOMLOJQHJFFDA57CA,和段一小段,36.74,都市：住
RPOOMLOJQHJFFDA57CA,和段一小段,5.62,都市：住
RPOPMLOJQHJFFDA67CA,永春段三小段,41.03,都市：住
RPOPMLOJQHJFFDA67CA,永春段三小段,1.63,都市：其他
RPOPMLOJQHJFFDA67CA,永春段三小段,.02,都市：其他
RPROMLOJQHJFFDA87CA,和段一小段,36.74,都市：住
RPROMLOJQHJFFDA87CA,和段一小段,5.62,都市：住
RPPOMLLJQHJFFDA37CA,福德段四小段,32.50,都市：住
