鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中西區,房地(土地+建物)+車位,臺南市中西區中山路61~90號,7.02,商,,,1030620,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840725,106.07,2,2,1,有,有,4800000,45253,坡道平面,0.0,0,,RPTNMLOJQHJFFAD97CA
安平區,房地(土地+建物),臺南市安平區永華八街121~150號,171.0,住,,,1030607,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0761117,347.87,8,2,8,有,無,6700000,19260,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPOMLPJQHJFFAD77CA
安平區,房地(土地+建物)+車位,臺南市安平區郡平路181~210號,18.71,住,,,1030715,土地1建物1車位1,五層，六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850907,201.26000000000002,3,2,2,有,有,6801000,33792,坡道平面,0.0,0,,RPQNMLRJQHJFFAD97CA
中西區,房地(土地+建物),臺南市中西區和緯路五段181~210號,165.41,住,,,1030716,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1020409,444.4,5,3,7,有,無,41180000,92664,,0.0,0,,RPROMLKLQHJFFAD67CA
安平區,房地(土地+建物),臺南市安平區育平路31~60號,20.3,住,,,1010403,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1021225,139.53,3,2,2,有,有,4600000,32968,,0.0,0,,RPTNMLKMQHJFFAD87CA
安平區,房地(土地+建物)+車位,臺南市安平區育平路61~90號,14.07,住,,,1010910,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1021125,123.7,1,2,1,有,有,3695500,29875,坡道平面,30.14,0,,RPSNMLLJRHJFFAD67CA
安平區,房地(土地+建物)+車位,臺南市安平區育平路61~90號,14.07,住,,,1010910,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1021125,123.95,1,2,1,有,有,3655300,29490,坡道平面,30.14,0,,RPTNMLLJRHJFFAD77CA
安平區,房地(土地+建物)+車位,臺南市安平區育平路31~60號,27.06,住,,,1021025,土地1建物1車位1,十三層，十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1021225,212.82,3,2,2,有,有,9257600,43500,坡道平面,30.14,0,,RPUNMLLJRHJFFAD87CA
安南區,房地(土地+建物),臺南市安南區淵中里安中路四段151~180號,84.47,住,,,1030701,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,1001104,189.74,4,2,4,有,無,8500000,44798,,0.0,0,,RPPNMLPJQHJFFBD77CA
