鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
安平區,土地,新南段91~120地號,413.0,住,,,1030711,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,45000,109,,0.0,0,,RPXNMLLJQHJFFAD28CC
東區,房地(土地+建物),臺南市東區中華東路二段151~180號,3.17,住,,,1030724,土地1建物1車位0,三層,14,套房(1房1廳1衛),住家用,鋼筋混凝土構造,0970229,34.2,1,0,1,有,有,有,7500,219,,0.0,0,,RPVNMLLJQHJFFCD28CC
新化區,房地(土地+建物),臺南市新市區永新路1~30號,5941.0,,特定專用區,甲種建築用地,1030727,土地1建物1車位0,四層,7,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860825,79.57,3,2,2,有,無,有,12000,151,,0.0,0,有車位,RPTNMLLJQHJFFER07CC
永康區,房地(土地+建物),臺南市永康區永大路三段622巷70弄1~30號,24.5,住,,,1030728,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0830514,60.52,4,2,4,有,無,有,18000,297,,0.0,0,,RPOOMLMJQHJFFHR07CC
佳里區,房地(土地+建物),臺南市佳里區佳東路31~60號,87.0,住,,,1030801,土地1建物1車位0,見其他登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,0811214,286.04,7,3,4,有,無,無,21000,73,,0.0,0,,RPPNMLMJQHJFFDR66CC
永康區,房地(土地+建物),臺南市永康區中華路7巷1~30號,0.0,住,,,1030728,土地1建物1車位0,十九層,19,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1010817,54.97,2,1,1,有,無,有,16000,291,,0.0,0,租賃合約書無填寫土地租賃.租金包含管理費.網路.第四台費用,RPQOMLOJQHJFFHR47CC
新市區,房地(土地+建物),臺南市新市區中正路92巷1~30號,23.5,其他,,,1030803,土地1建物1車位0,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830806,87.36,3,2,2,有,有,有,12600,144,,0.0,0,,RPVNMLOJQHJFFER57CC
學甲區,土地,仁得段31~60地號,445.75,住,,,1030711,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,15000,34,,0.0,0,,RPSNMLPJQHJFFDR37DC
安平區,房地(土地+建物),臺南市安平區慶平路511~540號,8.37,商,,,1030805,土地1建物1車位0,二十一層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0880211,57.65,1,1,1,有,有,有,12500,217,,0.0,0,,RPTOMLRJQHJFFAD58CC
安平區,建物,臺南市安平區建平十一街四樓之1~30號,17.46,住,,,1030730,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830207,41.18,2,1,1,有,有,無,8500,206,,0.0,0,,RPUPMLRJQHJFFAD78CC
中西區,建物,臺南市中西區永福路一段61~90號,49.0,其他,,,1030629,土地0建物0車位0,全,5,透天厝,見其他登記事項,見其他登記事項,1021115,20.95,5,1,5,有,無,有,7500,358,,0.0,0,,RPPQMLRJQHJFFAD38CC
中西區,建物,臺南市中西區永福路一段61~90號,49.0,其他,,,1030730,土地0建物0車位0,全,5,透天厝,見其他登記事項,見其他登記事項,1021115,18.84,5,1,5,有,無,有,7000,372,,0.0,0,,RPQQMLRJQHJFFAD48CC
中西區,建物,臺南市中西區永福路一段61~90號,49.0,其他,,,1030725,土地0建物0車位0,全,5,透天厝,見其他登記事項,見其他登記事項,1021115,54.78,5,1,5,有,無,有,12500,228,,0.0,0,,RPRQMLRJQHJFFAD58CC
中西區,建物,臺南市中西區信義街108巷31~60號,74.7,住,,,1030802,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820515,88.4,3,2,1,有,無,有,15000,170,,0.0,0,,RPOOMLSJQHJFFAD18CC
南區,土地,公英段211~240地號,449.5,住,,,1030725,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,47600,106,,0.0,0,,RPTOMLSJQHJFFCD98DC
東區,建物,臺南市東區崇明十街61~90號,5.37,住,,,1030705,土地0建物0車位0,三層,6,套房(1房1廳1衛),住家用,鋼筋混凝土構造,0800827,20.02,1,1,1,有,無,有,3500,175,,0.0,0,,RPXOMLSJQHJFFCD76DC
新市區,房地(土地+建物),臺南市新市區勝利街1~30號,78.04,住,,,1030805,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住商用,加強磚造,0720523,109.13,4,2,3,有,無,有,17500,160,,0.0,0,,RPXNMLSJQHJFFER18CC
善化區,房地(土地+建物),臺南市善化區光明路31~60號,85.2,住,,,1030730,土地1建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0841206,189.68,5,2,3,有,無,有,25000,132,,0.0,0,,RPTNMLLKQHJFFER17CC
善化區,建物,臺南市善化區光文路1~30號,122.19,住,,,1030809,土地0建物0車位0,全,1,透天厝,住家用,見其他登記事項,0700727,156.15,23,23,23,有,無,有,4500,29,,0.0,0,,RPRNMLNKQHJFFER17CC
善化區,建物,臺南市善化區光文路1~30號,122.19,住,,,1030801,土地0建物0車位0,全,1,透天厝,住家用,見其他登記事項,0700727,156.15,23,23,23,有,無,有,4500,29,,0.0,0,,RPSNMLNKQHJFFER27CC
永康區,建物,臺南市永康區新民街66巷1~30號,0.0,住,,,1030701,土地0建物1車位0,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821230,105.60000000000001,2,1,2,有,有,有,11000,104,,0.0,0,,RPSNMLNKQHJFFHR57CC
永康區,建物,臺南市永康區大同街33巷1~30號,0.0,住,,,1030703,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0770820,141.18,5,2,3,有,無,無,15000,106,,0.0,0,,RPTNMLNKQHJFFHR67CC
永康區,建物,臺南市永康區大仁街1~30號,0.0,住,,,1030713,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0700314,102.14,4,3,2,有,無,無,27000,264,,0.0,0,,RPVNMLNKQHJFFHR87CC
永康區,建物,臺南市永康區中正北路31~60號,0.0,住,,,1030705,土地0建物1車位0,四層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830524,50.26,1,1,1,有,有,有,7000,139,,0.0,0,,RPWNMLNKQHJFFHR97CC
永康區,建物,臺南市永康區中華路703巷3弄31~60號,0.0,住,,,1030714,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土造,0761019,151.91,3,2,2,有,無,有,17000,112,,0.0,0,,RPQOMLNKQHJFFHR47CC
永康區,建物,臺南市永康區自強路451~480號,0.0,住,,,1030715,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0820622,198.8,5,3,3,有,無,有,16000,80,,0.0,0,,RPROMLNKQHJFFHR57CC
中西區,房地(土地+建物),臺南市中西區康樂街1~30號,804.0,其他,,,1030731,土地1建物1車位0,一層,4,套房(1房1廳1衛),住商用,鋼筋混凝土造,0650610,19.83,1,0,1,有,無,有,7000,353,,0.0,0,,RPPNMLNKQHJFFAD77CC
中西區,房地(土地+建物),臺南市中西區康樂街1~30號,804.0,其他,,,1030731,土地1建物1車位0,一層,4,套房(1房1廳1衛),住商用,鋼筋混凝土造,0650610,24.08,1,0,1,有,無,有,7500,311,,0.0,0,,RPRNMLNKQHJFFAD97CC
北區,建物,臺南市北區勝利路211~240號,0.0,住,,,1030705,土地0建物1車位0,五層,6,套房(1房1廳1衛),住家用,加強磚造,0570210,68.82,1,1,1,有,有,有,5000,73,,0.0,0,,RPROMLNKQHJFFAD08CC
