編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPPQMLLJQHJFFBF08CC,坡道平面,0,11.75
RPPQMLLJQHJFFBF08CC,坡道平面,0,11.75
RPORMLLJQHJFFBF08CC,坡道平面,0,19.02
RPROMLLJQHJFFIF78CC,坡道平面,0,27.63
RPPOMLOJQHJFFDF58EC,一樓平面,0,
RPPNMLLJQHJFFGF48EC,坡道平面,0,30.44
RPORMLPJQHJFFBF48CC,塔式車位,0,11.55
RPSQMLPJQHJFFDF98CC,坡道平面,0,
RPSQMLPJQHJFFDF98CC,坡道平面,0,
RPUNMLPJQHJFFCF98EC,坡道平面,0,38.01
RPRNMLPJQHJFFAF48EC,坡道平面,0,25.45
RPTNMLPJQHJFFCF88EC,坡道平面,0,38.01
RPUOMLRJQHJFFIF07CC,坡道平面,0,39.02
RPVRMLRJQHJFFBF76CC,坡道機械,0,12.26
RPVRMLRJQHJFFBF76CC,坡道機械,0,12.26
RPTUMLRJQHJFFBF86CC,坡道機械,0,15.54
RPOPMLSJQHJFFHF56CC,坡道平面,0,20.41
RPQNMLTJQHJFFHF66CC,其他,0,24.55
RPQNMLKKQHJFFDF08CC,坡道機械,0,14.23
RPVOMLSJQHJFFEF96DC,坡道平面,0,41.99
RPSOMLNKQHJFFDF68CC,坡道平面,0,
RPTOMLNKQHJFFCF68CC,坡道平面,0,
RPTTMLLKQHJFFEF56CC,坡道平面,0,35.76
RPPRMLNKQHJFFEF78CC,升降機械,0,24.17
RPQOMLOKQHJFFGF88CC,升降平面,0,21.95
RPRNMLOKQHJFFHF98CC,坡道平面,4500,33.07
RPTNMLLKQHJFFDF68EC,坡道機械,2750,42.69
RPQNMLLKQHJFFDF38EC,坡道機械,2500,42.69
RPWQMLOKQHJFFCF76DC,坡道平面,0,24.42
RPQNMLPKQHJFFDF58CC,升降機械,0,24.31
RPSQMLPKQHJFFEF56CC,坡道平面,0,28.50
RPQPMLPKQHJFFIF66CC,坡道平面,2000,38.03
RPRNMLQKQHJFFEF88CC,坡道平面,0,31.45
RPPNMLQKQHJFFAF28CC,坡道平面,0,38.09
RPWQMLQKQHJFFBF76CC,坡道平面,0,46.48
RPPNMLRKQHJFFEF78CC,坡道平面,0,29.92
RPXOMLQKQHJFFBF66CC,坡道平面,0,35.06
RPRQMLQKQHJFFBF88CC,坡道平面,0,
RPVQMLSKQHJFFBF86CC,坡道平面,0,31.20
RPOPMLTKQHJFFIF96DC,坡道機械,0,26.98
RPTOMLTKQHJFFBF56CC,坡道平面,0,
RPTOMLTKQHJFFBF56CC,坡道平面,0,
RPUOMLTKQHJFFBF66CC,坡道平面,0,
RPRPMLKLQHJFFAF38EC,坡道平面,0,
RPRPMLKLQHJFFAF38EC,坡道平面,0,
RPRPMLKLQHJFFAF38EC,坡道平面,0,
RPRPMLKLQHJFFAF38EC,坡道平面,0,
RPRPMLKLQHJFFAF38EC,坡道平面,0,
RPVNMLMLQHJFFGF56CC,坡道機械,0,4.83
RPXNMLLLQHJFFDF98CC,坡道平面,0,
RPPPMLLLQHJFFAF08CC,坡道平面,0,38.00
RPUNMLNLQHJFFBF68CC,坡道平面,0,35.75
RPXNMLNLQHJFFBF98CC,坡道平面,0,15.85
RPSNMLNLQHJFFBF48CC,坡道平面,0,27.11
RPOOMLNLQHJFFBF18CC,坡道平面,0,17.52
RPRQMLPLQHJFFBF88CC,坡道平面,0,31.20
RPSOMLPLQHJFFGF66CC,坡道平面,0,
RPVNMLPLQHJFFEF66CC,坡道平面,0,34.77
RPUVMLQLQHJFFBF17CC,坡道平面,0,26.49
RPTUMLQLQHJFFBF96CC,坡道平面,0,26.45
