編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTOMLLJQHJFFBH48CC,普義段,.00,都市：住
RPVOMLLJQHJFFBH68CC,普義段,.00,都市：住
RPSOMLLJQHJFFBH38CC,普義段,.00,都市：住
RPXPMLLJQHJFFBH09DC,興南段興南小段,3.88,都市：其他
RPUOMLLJQHJFFEH88CC,竹圍段拔子林小段,97.00,都市：住
RPRPMLLJQHJFFEH68CC,河底段,19.68,都市：住
RPQNMLNJQHJFFBH38DC,環東段,103.00,都市：住
RPRNMLOJQHJFFBH58DC,中工段,71.50,非都市：工業區 ; 非都市編定：丁種建築用地
RPRNMLOJQHJFFBH58DC,中工段,35.75,非都市：工業區 ; 非都市編定：丁種建築用地
RPRNMLOJQHJFFBH58DC,中工段,35.75,非都市：工業區 ; 非都市編定：丁種建築用地
RPUOMLOJQHJFFBH98DC,普仁段,22.11,都市：住
RPUOMLOJQHJFFBH98DC,普仁段,67.32,都市：住
RPQNMLOJQHJFFBH48DC,內壢段,102.00,都市：農
RPRNMLNJQHJFFBH48DC,中壢埔頂段,24.94,都市：住
RPPNMLOJQHJFFEH68DC,南華段,18.63,都市：住
RPOOMLOJQHJFFEH58CC,南崁廟口段羊稠坑小段,346.00,都市：商
RPUOMLOJQHJFFEH66DC,錦興段,13.46,都市：住
RPQNMLOJQHJFFEH68CC,河底段,86.08,都市：住
RPPRMLLJQHJFFAH28CC,新埔段,12.33,都市：住
RPRPMLLJQHJFFAH28CC,中埔段,6.42,都市：住
RPQQMLLJQHJFFAH28CC,大興段,21.66,都市：住
RPRSMLLJQHJFFAH68DC,富國段,122.00,都市：其他
RPRSMLLJQHJFFAH68DC,富國段,99.00,都市：其他
RPPPMLLJQHJFFAH08CC,桃園段武陵小段,3.15,都市：其他
RPSNMLPJQHJFFAH58CC,文化段,4.11,都市：住
RPPRMLQJQHJFFAH78CC,鹽埕段,110.05,都市：住
RPOPMLQJQHJFFAH48CC,興華段,3.55,都市：商
RPURMLRJQHJFFAH86DC,慈文段,11.64,都市：住
RPQOMLRJQHJFFAH68CC,雲林段,772.93,都市：住
RPXNMLQJQHJFFBH76DC,環東段,31.05,都市：住
RPVNMLQJQHJFFEH86DC,五塊厝段大埔小段,504.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLQJQHJFFEH86DC,五塊厝段大埔小段,445.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVNMLQJQHJFFEH86DC,五塊厝段大埔小段,53.00,非都市：特定農業區 ; 非都市編定：交通用地
RPUOMLRJQHJFFBH56CC,健行段,59.55,都市：住
RPPQMLPJQHJFFBH68CC,普義段,.00,都市：住
RPQPMLPJQHJFFBH68CC,新街段,.00,都市：住
RPXPMLPJQHJFFBH76CC,興南段公坡小段,.00,都市：住
RPROMLRJQHJFFAH78CC,大樹林段,5550.00,都市：住
RPSRMLSJQHJFFBH86DC,三座屋段舊社小段,9.89,都市：住
RPPNMLLKQHJFFBH28EC,三座屋段舊社小段,.00,都市：住
RPSOMLLKQHJFFEH98EC,南新段,9.36,都市：住
RPTRMLSJQHJFFAH96EC,精忠段,66.18,都市：住
RPRTMLLKQHJFFAH88DC,大興段,18.62,都市：其他
RPSQMLMKQHJFFAH68CC,文化段,469.00,都市：住
RPVTMLLKQHJFFAH56CC,半嶺段,78.96,都市：住
RPORMLLKQHJFFAH28CC,中路段,19.60,都市：住
RPPSMLMKQHJFFBH68CC,後興段,3.72,都市：住
RPOPMLMKQHJFFBH38DC,新街段,148.76,都市：住
RPQSMLMKQHJFFBH88DC,遠東段,6.66,都市：住
RPSTMLMKQHJFFBH09CC,石頭段,.00,都市：商
RPSTMLMKQHJFFBH09CC,石頭段,.00,都市：商
RPSSMLMKQHJFFBH09DC,大華段,19.14,都市：住
RPRSMLMKQHJFFBH98DC,遠東段,6.66,都市：住
RPTSMLMKQHJFFBH56DC,遠東段,6.66,都市：住
RPRTMLMKQHJFFBH09DC,遠東段,6.66,都市：住
RPPOMLSJQHJFFFH76EC,永福段,50.99,都市：住
RPSOMLOJQHJFFFH09CC,溪尾段,115.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLRJQHJFFFH86CC,高明段,.00,都市：商
RPSNMLQJQHJFFDH09DC,埔頂段埔頂小段,54.00,都市：農
RPRNMLQJQHJFFDH98DC,頭重溪段,10.40,都市：住
RPUPMLNKQHJFFBH98CC,興南段興南小段,11.78,都市：商
RPUNMLNKQHJFFFH66DC,廣隆段,156.60,都市：住
RPWNMLNKQHJFFFH76CC,興豐段,26.44,都市：住
RPOOMLMKQHJFFFH78EC,福興段,23.24,都市：住
RPVNMLNKQHJFFFH76DC,廣隆段,156.60,都市：住
RPXNMLMKQHJFFFH96EC,豐田段,39.89,都市：住
RPOOMLPKQHJFFBH48CC,中寮段,9.76,都市：住
RPOOMLPKQHJFFEH78CC,坑子口段海湖小段,7495.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLPKQHJFFBH98DC,新街段,7.95,都市：其他
RPRNMLPKQHJFFEH09DC,大竹段,4301.00,都市：住
RPPOMLSKQHJFFEH66DC,錦興段,9.47,都市：住
RPROMLSKQHJFFEH86DC,錦興段,20.15,都市：住
RPWWMLSKQHJFFAH67CC,大樹林段,3.06,都市：住
RPOPMLSJQHJFFCH09EC,埔頂段,32.58,都市：住
RPSRMLPKQHJFFAH09CC,龍安段,3.18,都市：住
RPWTMLPKQHJFFAH07CC,會稽段,28.74,都市：住
RPQTMLOKQHJFFAH98CC,延壽段,8.09,都市：住
RPXRMLOKQHJFFAH86CC,龍壽段,122.98,都市：住
RPONNLSKQHJFFAH68CC,大有段,11.19,都市：住
RPOPMLPKQHJFFAH48CC,富國段,8.50,都市：住
RPWSMLPKQHJFFAH96CC,國聖段,10.63,都市：住
RPQNNLSKQHJFFAH88CC,三元段,16.17,都市：住
RPSNNLSKQHJFFAH09CC,三元段,16.17,都市：住
RPWNMLTKQHJFFAH86CC,中山段,12.73,都市：住
RPWNNLSKQHJFFAH86CC,中埔段,4.60,都市：住
RPUNNLTKQHJFFAH76CC,新埔段,99.00,都市：住
RPXONLTKQHJFFAH27DC,中路一段,144.31,都市：住
RPRQMLTKQHJFFAH66CC,新埔段,19.41,都市：住
RPSQMLTKQHJFFAH76CC,埔子段埔子小段,14.42,都市：住
RPPPMLTKQHJFFBH56DC,雙嶺段,143.92,都市：其他
RPPPMLTKQHJFFBH56DC,雙嶺段,9.77,都市：其他
RPRPMLKLQHJFFAH38CC,桃園段武陵小段,5.57,都市：住
RPVQMLKLQHJFFAH98DC,大有段,29.52,都市：住
RPPQMLKLQHJFFAH28CC,桃園段武陵小段,2.43,都市：住
RPTSMLKLQHJFFAH88CC,龍安段,1830.00,都市：住
RPOQMLKLQHJFFAH18CC,忠義段,6.14,都市：住
RPPOMLKLQHJFFBH18CC,平寮段,17.40,都市：住
RPWOMLKLQHJFFBH88CC,新街段,6.87,都市：住
RPUNMLMLQHJFFEH09CC,許厝港段,28.75,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPWOMLMLQHJFFBH56DC,中工段,5.50,非都市：工業區 ; 非都市編定：丁種建築用地
RPXNMLMLQHJFFBH09CC,自立段,31.62,都市：住
RPPNMLMLQHJFFFH68CC,大和段,.00,都市：住
RPOOMLMLQHJFFBH28CC,環東段,16.77,都市：住
RPQNMLMLQHJFFAH38DC,大樹林段,8.64,都市：住
RPRNMLOLQHJFFBH78DC,仁祥段,29.54,都市：住
RPSNMLOLQHJFFBH88DC,中寮段,25.60,都市：住
RPOQMLMLQHJFFAH38CC,蔗園段,419.68,都市：其他
RPVPMLMLQHJFFAH98CC,寶山段,25.36,都市：住
RPOOMLPLQHJFFBH68DC,遠東段,6.66,都市：住
RPTRMLPLQHJFFAH66CC,大樹林段,129.00,都市：商
RPTRMLPLQHJFFAH66CC,大樹林段,114.00,都市：商
RPRTMLPLQHJFFAH66CC,慈文段,23.94,都市：商
RPRNMLOKQHJFFCH68CC,潛龍段,.53,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLOKQHJFFCH68CC,潛龍段,37.16,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLKLQHJFFCH48CC,潛龍段,27.73,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLKLQHJFFCH48CC,潛龍段,.59,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLPLQHJFFEH96CC,南崁廟口段廟口小段,21.98,都市：住
RPXNMLPLQHJFFEH07CC,南崁廟口段廟口小段,21.98,都市：住
RPQOMLPLQHJFFDH98CC,楊梅段,25.00,都市：住
RPQOMLPLQHJFFDH98CC,楊梅段,20.00,都市：住
RPQOMLPLQHJFFDH98CC,楊梅段,124.00,都市：住
RPTOMLPLQHJFFBH09CC,紫雲段,.00,都市：住
RPVNMLPLQHJFFFH96CC,興隆段,946.18,非都市：特定農業區 ; 非都市編定：農牧用地
RPPOMLPLQHJFFFH56DC,大和段,28.14,都市：住
RPTNMLPLQHJFFFH86DC,廣隆段,156.60,都市：住
RPSPMLQLQHJFFBH66DC,後興段,63.65,都市：住
RPXNMLPLQHJFFCH86CC,逸園段,46.97,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTPMLRLQHJFFBH96EC,華興段,99.38,都市：工
RPWPMLQLQHJFFAH86CC,牛角坡段牛角坡小段,.00,都市：農
RPSQMLRLQHJFFAH76DC,江南段,19.97,都市：住
RPQUMLQLQHJFFAH76CC,興華段,51.22,都市：住
RPQSMLQLQHJFFAH56CC,興華段,6.81,都市：商
RPSQMLQLQHJFFAH66DC,水汴頭段,31.82,都市：商
RPWRMLRLQHJFFAH17CC,大林段,27.45,都市：住
RPRWNLRLQHJFFAH27CC,同德段,.00,都市：商
RPSWNLRLQHJFFAH37CC,海萍段,103.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLLLQHJFFGH98DC,湧光段,10.94,都市：其他
RPQOMLLLQHJFFGH98DC,湧光段,64.44,都市：商
RPSPMLSLQHJFFAH66CC,埔子段埔子小段,71.00,都市：住
RPVNMLMLQHJFFGH86DC,廣南段,32.24,都市：住
RPTRMLSLQHJFFAH96CC,桃園段武陵小段,3.15,都市：住
RPRSMLSLQHJFFAH86CC,大有段,15.96,都市：住
RPQNMLSLQHJFFBH09DC,青溪段,31.82,都市：住
RPRRMLSLQHJFFAH96EC,桃鶯段,60.79,都市：工
RPQOMLQLQHJFFGH86DC,廣東段,32.55,都市：住
RPQOMLQLQHJFFGH86DC,廣東段,.51,都市：住
RPQOMLQLQHJFFGH86DC,廣東段,1.87,都市：住
RPQOMLQLQHJFFGH86DC,廣東段,2.92,都市：住
RPOOMLTLQHJFFDH56CC,瑞上段,2486.00,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPOPMLTLQHJFFAH98CC,大有段,22.46,都市：住
RPPNMLLMQHJFFEH68DC,水尾段,15.76,都市：工
RPPPMLTLQHJFFBH56CC,三座屋段三座屋小段,189.00,都市：其他
RPPPMLTLQHJFFBH56CC,三座屋段三座屋小段,206.00,都市：其他
RPQOMLLJRHJFFBH38DC,青平段,30.62,都市：住
RPSNMLLJRHJFFBH48DC,興南段中壢老小段,61.67,都市：其他
RPQOMLTLQHJFFEH86CC,青山段,105.87,都市：住
RPOOMLNJRHJFFFH88EC,明智段,13.39,都市：住
RPXPMLPJRHJFFBH86CC,興南段公坡小段,.00,都市：住
RPTVMLNJRHJFFAH76CC,新埔段,.00,都市：住
RPQSMLOJRHJFFAH98DC,法政段,45.63,都市：住
RPPSMLTJRHJFFBH76CC,培英段,.00,都市：其他
RPTRMLTJRHJFFBH07CC,新街段,11.26,都市：住
RPWQMLPJRHJFFAH76CC,大樹林段,5.11,都市：住
RPOOMLPJRHJFFAH38CC,大有段,35.62,都市：住
RPTRMLPJRHJFFAH56CC,福元段,11.52,都市：住
RPTQMLPJRHJFFAH09CC,大興段,5.18,都市：住
RPVOMLPJRHJFFAH09CC,福元段,7.10,都市：住
RPVQMLTJRHJFFAH17DC,長安段,19.63,都市：住
RPURMLKKRHJFFAH98DC,海萍段,11.56,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPURMLKKRHJFFAH98DC,海萍段,69.44,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLKKRHJFFAH18CC,富國段,13.82,都市：商
RPSOMLTJRHJFFFH17DC,明智段,20.91,都市：住
RPVPMLLKRHJFFAH98DC,和平段,.00,都市：住
RPVPMLLKRHJFFAH98DC,和平段,9.71,都市：住
RPVNMLLKRHJFFEH56DC,青峰段,115.97,都市：住
RPXOMLTJRHJFFDH47DC,草湳坡段草湳坡小段,19.24,都市：住
RPUPMLLKRHJFFBH98DC,忠福段,97.00,都市：住
RPTQMLKKRHJFFAH68CC,埔子段埔子小段,57.00,都市：其他
RPTQMLKKRHJFFAH68CC,埔子段埔子小段,91.00,都市：其他
RPTQMLKKRHJFFAH68CC,埔子段埔子小段,43.00,都市：其他
RPTQMLKKRHJFFAH68CC,埔子段埔子小段,39.00,都市：其他
RPPOMLMKRHJFFAH38DC,文化段,454.00,都市：住
RPWNMLMKRHJFFCH09CC,潛龍段,40.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLMKRHJFFCH09CC,潛龍段,.59,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLMKRHJFFGH98DC,中央段,54.22,都市：其他
RPROMLLKRHJFFGH09DC,金鍊段,95.94,都市：商
RPROMLLKRHJFFGH09DC,金鍊段,239.86,都市：商
RPTNMLNKRHJFFEH09CC,羊稠段,20.23,都市：住
RPVOMLMKRHJFFEH66CC,南新段,2.07,都市：住
RPUNMLNKRHJFFEH66DC,青峰段,26.41,都市：住
RPUNMLPKRHJFFFH07EC,大庄段,25.65,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLPKRHJFFFH27EC,永福段,20.59,都市：住
RPQNMLLKRHJFFFH78DC,連城段,24.97,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLLKRHJFFFH68DC,豐田段,39.89,都市：住
RPRNMLLKRHJFFFH88DC,豐田段,39.89,都市：住
RPXNMLMKRHJFFAH09DC,文化段,454.00,都市：住
RPSSMLPKRHJFFAH86EC,興華段,175.00,都市：住
RPUPMLPKRHJFFAH56CC,富國段,10.98,都市：住
RPSPMLQKRHJFFAH09CC,興華段,51.99,都市：住
RPWNMLQKRHJFFEH17DC,河底段,4788.64,都市：住
RPXOMLQKRHJFFEH47EC,青峰段,30.60,都市：住
RPWOMLPKRHJFFBH76CC,青平段,128.20,都市：住
RPRPMLTKRHJFFBH86DC,普義段,18.94,都市：住
RPVNMLPKRHJFFBH56CC,中寮段,.00,都市：住
RPRQMLRKRHJFFBH66CC,新街段,.00,都市：商
RPPOMLQKRHJFFBH78CC,新街段,.00,都市：住
RPUOMLPKRHJFFCH86EC,三元段,20.90,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLSKRHJFFGH96DC,廣德段,28.49,都市：住
RPVPMLTKRHJFFBH17CC,新街段,.00,都市：住
RPTNMLMLRHJFFFH66DC,東勇段,64.68,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLLLRHJFFEH68DC,青峰段,31.67,都市：住
RPTSMLTKRHJFFAH17CC,南美段,49.06,都市：住
RPTSMLTKRHJFFAH17CC,南美段,131.13,都市：住
RPTSMLTKRHJFFAH17CC,南美段,49.82,都市：住
