鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,房地(土地+建物)+車位,榮星段七小段1~30地號,18.79,住,,,1010818,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.46,2,2,2,有,無,21200000,201384,升降機械,10.63,1700000,,RPOPMLNJJIJFFCA96CB
中山區,房地(土地+建物)+車位,榮星段七小段1~30地號,29.26,住,,,1011030,土地1建物1車位2,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,172.38,3,2,2,有,無,37800000,226849,升降機械,22.06,3700000,,RPQPMLNJJIJFFCA17CB
中山區,房地(土地+建物)+車位,榮星段七小段1~30地號,18.62,住,,,1011013,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.74,2,2,1,有,無,21100000,198731,升降機械,10.63,2000000,,RPRPMLNJJIJFFCA27CB
中山區,車位,榮星段七小段1~30地號,0.17,住,,,1011016,土地0建物0車位1,停車場,10,其他,停車空間,鋼筋混凝土造,,11.43,0,0,0,有,無,1700000,,升降機械,11.43,1700000,,RPTPMLNJJIJFFCA47CB
中山區,房地(土地+建物)+車位,榮星段七小段1~30地號,18.56,住,,,1010811,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.45,2,2,1,有,無,21000000,201419,升降機械,10.63,1700000,,RPUPMLNJJIJFFCA57CB
中山區,房地(土地+建物)+車位,榮星段七小段1~30地號,18.79,住,,,1010910,土地1建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.46,2,2,2,有,無,22600000,214809,升降機械,10.63,1800000,,RPWPMLNJJIJFFCA77CB
中山區,房地(土地+建物)+車位,榮星段七小段1~30地號,18.65,住,,,1011010,土地1建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.92,2,2,1,有,無,21920000,211750,升降機械,11.43,1700000,,RPOQMLNJJIJFFCA07CB
中山區,房地(土地+建物)+車位,榮星段七小段1~30地號,18.65,住,,,1010624,土地1建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.92,2,2,1,有,無,21490000,212483,升降機械,11.43,1200000,,RPPQMLNJJIJFFCA17CB
中山區,房地(土地+建物)+車位,榮星段七小段1~30地號,18.93,住,,,1010624,土地1建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.26,2,2,2,有,無,21770000,212434,升降機械,11.43,1200000,,RPQQMLNJJIJFFCA27CB
中山區,房地(土地+建物)+車位,榮星段七小段1~30地號,18.51,住,,,1010809,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.12,2,2,1,有,無,20800000,196879,升降機械,10.63,2000000,,RPRQMLNJJIJFFCA37CB
中山區,房地(土地+建物)+車位,榮星段七小段1~30地號,18.79,住,,,1010624,土地1建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.46,2,2,2,有,無,22880000,220799,升降機械,10.63,1500000,,RPUQMLNJJIJFFCA67CB
中山區,房地(土地+建物)+車位,榮星段七小段1~30地號,18.51,住,,,1010916,土地1建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.12,2,2,1,有,無,21400000,206304,升降機械,10.63,1700000,,RPVQMLNJJIJFFCA77CB
中山區,房地(土地+建物)+車位,榮星段七小段1~30地號,18.82,住,,,1011011,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.84,2,2,2,有,無,21400000,202654,升降機械,10.63,1700000,,RPWQMLNJJIJFFCA87CB
中山區,車位,榮星段七小段1~30地號,0.34,住,,,1011018,土地0建物0車位2,停車場,10,其他,停車空間,鋼筋混凝土造,,22.86,0,0,0,有,無,3000000,,升降機械,22.86,3000000,,RPXQMLNJJIJFFCA97CB
