編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOPMLNJJIJFFCA96CB,榮星段七小段,18.79,都市：住
RPRPMLNJJIJFFCA27CB,榮星段七小段,18.62,都市：住
RPQPMLNJJIJFFCA17CB,榮星段七小段,29.26,都市：住
RPTPMLNJJIJFFCA47CB,榮星段七小段,.17,都市：住
RPUQMLNJJIJFFCA67CB,榮星段七小段,18.79,都市：住
RPQQMLNJJIJFFCA27CB,榮星段七小段,18.93,都市：住
RPOQMLNJJIJFFCA07CB,榮星段七小段,18.65,都市：住
RPUPMLNJJIJFFCA57CB,榮星段七小段,18.56,都市：住
RPRQMLNJJIJFFCA37CB,榮星段七小段,18.51,都市：住
RPWPMLNJJIJFFCA77CB,榮星段七小段,18.79,都市：住
RPVQMLNJJIJFFCA77CB,榮星段七小段,18.51,都市：住
RPWQMLNJJIJFFCA87CB,榮星段七小段,18.82,都市：住
RPPQMLNJJIJFFCA17CB,榮星段七小段,18.65,都市：住
RPXQMLNJJIJFFCA97CB,榮星段七小段,.34,都市：住
RPORMLNJJIJFFCA17CB,榮星段七小段,28.72,都市：住
RPPRMLNJJIJFFCA27CB,榮星段七小段,18.71,都市：住
RPRRMLNJJIJFFCA47CB,榮星段七小段,.17,都市：住
RPTOMLNJJIJFFDA47CB,南港段一小段,32.08,都市：住
RPSOMLPJJIJFFCA47CB,潭美段五小段,24.16,都市：其他
RPXNMLPJJIJFFCA87CB,潭美段五小段,26.60,都市：其他
RPOOMLPJJIJFFCA07CB,潭美段五小段,24.16,都市：其他
RPUOMLPJJIJFFCA67CB,潭美段五小段,24.16,都市：其他
RPWNMLPJJIJFFCA77CB,潭美段五小段,26.60,都市：其他
RPPOMLPJJIJFFCA17CB,潭美段五小段,24.16,都市：其他
RPTOMLPJJIJFFCA57CB,潭美段五小段,24.16,都市：其他
RPQOMLPJJIJFFCA27CB,潭美段五小段,24.16,都市：其他
RPROMLPJJIJFFCA37CB,潭美段五小段,24.16,都市：其他
RPVOMLPJJIJFFCA77CB,潭美段五小段,24.16,都市：其他
RPWOMLPJJIJFFCA87CB,潭美段五小段,24.16,都市：其他
RPXOMLPJJIJFFCA97CB,潭美段五小段,26.11,都市：其他
RPPPMLPJJIJFFCA27CB,潭美段五小段,26.11,都市：其他
RPQQMLPJJIJFFCA47CB,潭美段五小段,26.60,都市：其他
RPWPMLPJJIJFFCA97CB,潭美段五小段,26.11,都市：其他
RPXPMLPJJIJFFCA08CB,潭美段五小段,26.11,都市：其他
RPVPMLPJJIJFFCA87CB,潭美段五小段,26.11,都市：其他
RPRPMLPJJIJFFCA47CB,潭美段五小段,26.11,都市：其他
RPOPMLPJJIJFFCA17CB,潭美段五小段,26.11,都市：其他
RPUPMLPJJIJFFCA77CB,潭美段五小段,26.11,都市：其他
RPSPMLPJJIJFFCA57CB,潭美段五小段,26.11,都市：其他
RPRQMLPJJIJFFCA57CB,潭美段五小段,26.60,都市：其他
RPUQMLPJJIJFFCA87CB,潭美段五小段,23.91,都市：其他
RPQPMLPJJIJFFCA37CB,潭美段五小段,26.11,都市：其他
RPTQMLPJJIJFFCA77CB,潭美段五小段,26.60,都市：其他
RPSQMLPJJIJFFCA67CB,潭美段五小段,26.60,都市：其他
RPTPMLPJJIJFFCA67CB,潭美段五小段,26.11,都市：其他
RPPRMLPJJIJFFCA47CB,潭美段五小段,24.16,都市：其他
