編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPPOMLQJJIJFFAD47CC,一樓平面,0,38.47
RPPPMLRKJIJFFAD77CC,坡道平面,0,28.33
RPOPMLPJKIJFFHR96CC,坡道機械,0,14.72
RPOOMLMJKIJFFCD27CC,坡道機械,0,
RPPOMLOJKIJFFCD67DC,坡道平面,0,20.66
RPUOMLKKKIJFFAD57CC,坡道平面,16000,
RPOPMLSKKIJFFHR37CC,坡道平面,0,
RPVNMLMLKIJFFAD87CC,其他,0,
RPSNMLPLKIJFFCD08CC,坡道平面,0,43.04
RPPOMLKMKIJFFAD37DC,坡道平面,0,24.22
RPXNMLNKJHKFFCD28DC,坡道平面,0,
RPXNMLKLJHKFFCD97CC,坡道平面,0,
RPOQMLRKJHKFFER96CC,坡道平面,0,
RPRQMLNLJHKFFAD77CC,坡道平面,0,28.26
RPTNMLQLJHKFFAD97CC,坡道平面,0,
