編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLOJJIJFFKE58DA,28,132.75,農舍,加強磚造,75年11月3日,一層,
RPQNMLPJJIJFFEE77DA,27,121.16,住家用,加強磚造,77年4月12日,二層,一層 二層 屋頂突出物
RPQNMLKKJIJFFCE17DA,16,26.92,住家用,見其它登記事項,88年2月9日,三十九層,二十三層
RPQNMLKKJIJFFCE17DA,16,12.99,共有部份,見其它登記事項,88年2月9日,三十九層,
RPQOMLPJJIJFFCE67DA,14,158.91,住家用,鋼筋混凝土造,89年5月29日,四層,一層 二層 三層 四層
RPQNMLKKJIJFFEE37DA,30,92.01,,鋼筋混凝土造,73年10月18日,五層,四層
RPVNMLPJJIJFFIE68DA,25,230.08,住商用,鋼筋混凝土造,78年11月5日,四層,一層 二層 三層 四層 騎樓
RPVOMLMKJIJFFJE58CA,,210.85,住家用,鋼筋混凝土造,103年6月6日,三層,一層 二層 三層 見其他登記事項
RPPNMLKLJIJFFJE87DA,22,225.37,住商用,鋼筋混凝土造,81年8月27日,四層,一層 二層 三層 四層 騎樓
RPSNMLPJJIJFFFE08DA,9,.38,住家用,鋼筋混凝土造,95年3月31日,一層,
RPSNMLPJJIJFFFE08DA,9,173.85,住家用,鋼筋混凝土造,95年4月10日,四層,一層 二層 三層 四層
RPXNMLPJJIJFFGE78EA,27,115.34,住家用,鋼筋混凝土造,77年1月11日,五層,四層
RPOOMLRJJIJFFAE47DA,2,110.23,住家用,鋼筋混凝土造,101年10月3日,十八層,十五層
RPOOMLRJJIJFFAE47DA,2,85.38,見其它登記事項,鋼筋混凝土造,101年10月3日,十八層,
RPRNMLLKJIJFFAE17DA,10,55.30,住家用,鋼筋混凝土造,93年10月25日,十五層,四層
RPRNMLLKJIJFFAE17DA,10,21.76,共有部分,鋼筋混凝土造,93年10月25日,十五層,
