編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPOOMLRJJIJFFAE47DA,坡道平面,0,29.84
RPTNMLNJKIJFFBE67DA,坡道平面,0,
RPTNMLNJKIJFFBE67DA,坡道平面,0,
RPQNMLQJJIJFFGE97CA,坡道平面,0,
RPQNMLQJJIJFFGE97CA,坡道平面,0,
RPQPMLOJJIJFFGE97CA,坡道平面,0,16.58
RPRPMLOJJIJFFGE08CA,坡道平面,0,16.58
RPSNMLPJJIJFFDE87DA,坡道平面,0,
RPPOMLMJKIJFFGE67CA,坡道平面,0,20.71
RPPNMLSJJIJFFDE77CA,坡道平面,0,
RPRNMLOLJIJFFAE47CA,坡道平面,0,26.38
RPRNMLOLJIJFFAE47CA,坡道平面,0,26.38
RPROMLKKJIJFFDE37CA,坡道平面,0,
RPQNMLQLJIJFFCE77CA,坡道平面,0,
RPTNMLLLJIJFFCE57CA,坡道平面,0,
RPPNMLOLJIJFFDE57CA,坡道平面,0,31.41
RPPNMLOLJIJFFDE57CA,坡道平面,0,31.41
RPQOMLOLJIJFFDE77CA,坡道平面,0,24.21
RPOPMLOLJIJFFDE67CA,坡道平面,0,
RPROMLLLJIJFFDE57CA,坡道平面,0,22.59
RPQNMLOLJIJFFDE67CA,坡道平面,0,31.41
RPQNMLOLJIJFFDE67CA,坡道平面,0,31.41
RPWPMLSLJIJFFDE88CA,塔式車位,0,
RPXOMLQJJIJFFEE58CA,坡道平面,0,
RPROMLMKJIJFFEE67CA,一樓平面,0,17.24
RPQRMLOJJIJFFEE97CA,坡道平面,0,15.00
RPPRMLOJJIJFFEE87CA,坡道平面,0,15.00
RPRNMLMKJIJFFEE57CA,坡道機械,0,
RPPNMLRKJIJFFEE87CA,坡道平面,0,
RPRNMLTLJIJFFEE38CA,坡道平面,0,9.92
RPVPMLMJKIJFFDE08CA,坡道平面,0,
RPOQMLMJKIJFFDE47CA,坡道機械,0,
RPWPMLMJKIJFFDE18CA,坡道機械,0,
RPUPMLLKJIJFFEE97CA,坡道平面,0,19.42
RPTNMLPJJIJFFEE97CA,坡道平面,0,21.23
RPTNMLQJJIJFFEE08CA,坡道機械,0,8.76
RPTNMLSKJIJFFEE38CA,坡道平面,0,
RPTNMLSKJIJFFEE38CA,坡道平面,0,
RPVPMLMJKIJFFEE18CA,坡道平面,0,
RPRNMLOLJIJFFDE77CA,坡道平面,0,31.41
RPRNMLOLJIJFFDE77CA,坡道平面,0,31.41
RPSQMLPJJIJFFEE18CA,坡道機械,0,5.75
RPWPMLPJJIJFFEE48CA,升降機械,0,5.08
RPSNMLOLJIJFFDE87CA,坡道平面,0,31.41
RPSNMLOLJIJFFDE87CA,坡道平面,0,31.41
RPOOMLMKJIJFFDE27CA,坡道平面,0,23.08
RPTNMLMJKIJFFDE67CA,坡道平面,0,23.22
RPUNMLMJKIJFFDE77CA,坡道平面,0,23.22
RPSOMLMJKIJFFDE67CA,坡道平面,0,23.22
RPQNMLQJJIJFFDE67CA,坡道平面,0,
RPPNMLQJJIJFFDE57CA,坡道機械,0,8.92
RPPOMLPJJIJFFCE47CA,坡道機械,0,12.50
RPRNMLNKJIJFFCE47CA,坡道機械,0,7.82
RPRNMLOKJIJFFBE47CA,升降機械,680000,13.19
RPOOMLTKJIJFFAE67CA,坡道平面,0,
RPVNMLLLJIJFFAE57CA,升降機械,0,
RPSOMLLLJIJFFBE47CA,一樓平面,0,
RPOOMLSKJIJFFAE57CA,坡道平面,0,
RPQNMLQJKIJFFBE57CA,升降平面,0,
RPSNMLQLJIJFFAE77CA,坡道平面,0,
RPROMLNJKIJFFCE57CA,坡道機械,0,
RPWNMLKKJIJFFGE08CA,升降機械,0,
RPSNMLPJJIJFFGE08CA,坡道平面,0,16.34
RPTNMLOJKIJFFAE57CA,坡道平面,1750000,18.68
RPSNMLOJKIJFFAE47CA,坡道平面,1750000,20.49
RPUOMLSLJIJFFDE68DA,坡道平面,0,
RPWOMLSKJIJFFBE58DA,坡道平面,0,
RPWOMLSKJIJFFBE58DA,坡道平面,0,
RPTNMLKKJIJFFGE87DA,坡道平面,0,
RPQRMLSLJIJFFDE58DA,坡道機械,0,
RPWNMLLKJIJFFEE08DA,坡道平面,0,20.45
RPUNMLLKJIJFFAE47DA,坡道平面,0,15.44
RPUNMLLKJIJFFAE47DA,坡道平面,0,15.44
RPSNMLRJJIJFFGE28CA,坡道平面,0,16.58
RPROMLRJJIJFFGE28CA,坡道平面,0,
RPUOMLOKJIJFFGE38CA,坡道平面,0,33.98
RPQNMLQLJIJFFGE18CA,坡道平面,0,22.23
RPRNMLQLJIJFFGE28CA,坡道平面,0,22.23
RPUNMLQLJIJFFGE58CA,坡道平面,0,22.23
RPPNMLQLJIJFFGE08CA,坡道平面,0,22.23
RPTNMLQLJIJFFGE48CA,坡道平面,0,22.23
RPSNMLQLJIJFFGE38CA,坡道平面,0,22.23
RPQNMLLKJIJFFIE77CA,坡道平面,0,
RPOPMLQLJIJFFAE57CA,坡道機械,0,12.23
RPSOMLOKJIJFFAE57CA,坡道機械,0,8.00
RPPOMLMKJIJFFDE47DA,坡道機械,0,
RPPOMLOKJIJFFAE27CA,坡道平面,0,21.00
RPROMLTKJIJFFIE78CA,坡道平面,0,20.86
RPXNMLOKJIJFFAE97CA,坡道機械,0,7.00
RPPOMLOLJIJFFAE37CA,坡道平面,0,33.37
RPPOMLOLJIJFFAE37CA,坡道平面,0,33.37
RPROMLNKJIJFFCE57CA,坡道平面,0,41.03
RPROMLNKJIJFFCE57CA,坡道平面,0,34.49
RPQOMLNKJIJFFCE47CA,坡道平面,0,41.03
RPQOMLNKJIJFFCE47CA,坡道平面,0,34.49
RPXNMLPJJIJFFCE18CA,坡道平面,0,
RPWNMLLKJIJFFCE77CA,坡道平面,0,
RPSNMLSLJIJFFCE18CA,升降機械,600000,6.37
RPRNMLSLJIJFFCE08CA,升降機械,550000,6.37
RPQNMLSLJIJFFCE97CA,坡道平面,1500000,16.44
RPTNMLSLJIJFFCE28CA,升降機械,500000,6.37
RPUNMLSLJIJFFCE38CA,升降機械,550000,6.37
RPUOMLSKJIJFFCE38CA,坡道平面,0,19.47
RPSNMLRLJIJFFCE08CA,坡道平面,1600000,16.44
RPUOMLPLJIJFFBE08CA,坡道平面,0,27.00
RPROMLRJJIJFFDE97CA,坡道平面,0,
