鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
嘉義市,建物,嘉義市嘉義市興業西路121~150號,0.0,其他,,,1031030,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931101,188.64,3,2,2,有,有,有,12500,66,,0.0,0,,RPSNMLOJJIJFFAI97CC
嘉義市,房地(土地+建物),嘉義市嘉義市廣州街211~240號,11.4,住,,,1031027,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830319,79.82,2,1,2,有,有,有,7000,88,,0.0,0,,RPRNMLSJJIJFFAI28CC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151~180號,18.5,住,,,1031101,土地1建物1車位0,十三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,150.52,4,2,2,有,有,有,11000,73,坡道平面,0.0,0,,RPXNMLOLJIJFFAI78DC
嘉義市,房地(土地+建物),嘉義市嘉義市民生北路181~210號,288.0,其他,,,1031117,土地1建物1車位0,見其他登記事項,4,店面(店鋪),見使用執照,鋼筋混凝土造,0560120,548.3,0,0,0,無,無,無,130000,237,,0.0,0,,RPOOMLKKKIJFFAI47CC
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市文化路432巷31~60號,25.19,住,,,1031120,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801125,120.53,3,2,2,有,有,無,9000,75,坡道機械,0.0,1000,,RPRNMLPKKIJFFAI28DC
嘉義市,房地(土地+建物),嘉義市嘉義市中山路31~60號,49.0,住,,,1031220,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住商用,鋼筋混凝土加強磚造,0580512,90.72,3,2,2,有,無,無,20000,220,,0.0,0,,RPOOMLOLKIJFFAI97CC
嘉義市,房地(土地+建物),嘉義市嘉義市康樂街91~120號,92.0,住,,,1031221,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0830323,269.6,0,0,0,無,無,無,8000,30,,0.0,0,,RPQOMLOLKIJFFAI38EC
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市興業西路121~150號,26.97,住,,,1031217,土地1建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931101,188.64,3,2,2,有,有,無,14000,74,坡道平面,0.0,0,,RPSNMLPLKIJFFAI38CC
嘉義市,房地(土地+建物),嘉義市嘉義市北興街400巷1~30號,101.0,住,,,1031222,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土加強磚造,0700630,104.87,5,2,3,有,無,有,10000,95,,0.0,0,,RPTNMLPLKIJFFAI48CC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151~180號,18.5,住,,,1031211,土地1建物1車位0,五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,147.54,4,2,2,有,有,有,11500,78,,0.0,0,,RPUOMLRJJHKFFAI68DC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151~180號,14.48,住,,,1031211,土地1建物1車位0,七層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,116.61,3,2,2,有,有,有,11000,94,,0.0,0,,RPVOMLRJJHKFFAI78DC
嘉義市,房地(土地+建物),嘉義市嘉義市垂楊路571~600號,20.18,商,,,1031215,土地2建物1車位0,五層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0830722,83.66,0,0,0,無,無,無,11750,140,,0.0,0,,RPUOMLQKJHKFFAI58CC
嘉義市,房地(土地+建物),嘉義市嘉義市垂楊路571~600號,20.18,商,,,1031215,土地2建物1車位0,五層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0830722,143.81,0,0,0,無,無,無,11750,82,,0.0,0,,RPVOMLQKJHKFFAI68CC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151~180號,18.49,住,,,1031229,土地1建物1車位0,十五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,139.98,4,2,2,有,有,有,14000,100,,0.0,0,,RPROMLLLJHKFFAI97DC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路91~120號,9.65,住,,,1031226,土地1建物1車位0,十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,79.56,2,2,1,有,有,有,8000,101,,0.0,0,,RPUNMLMLJHKFFAI28DC
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市博東路151~180號,13.67,住,,,1031228,土地1建物1車位1,十四層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,114.92,3,2,2,有,有,有,12000,104,坡道平面,0.0,0,,RPXNMLNLJHKFFAI68DC
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151~180號,14.48,住,,,1031231,土地1建物1車位0,二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,119.94,3,2,2,有,有,有,10000,83,,0.0,0,,RPROMLSLJHKFFAI68DC
嘉義市,房地(土地+建物),嘉義市嘉義市小雅路181~210號,5.83,住,,,1031231,土地1建物1車位0,十層,16,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820609,48.12,1,0,1,有,有,有,4500,94,,0.0,0,,RPTOMLSLJHKFFAI88DC
嘉義市,建物,嘉義市嘉義市忠孝路781~810號,15.86,住,,,1040106,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841004,72.0,2,2,1,有,無,有,9000,125,,0.0,0,,RPWOMLSLJHKFFAI09CC
嘉義市,建物,嘉義市嘉義市興業二村1~30號,1.0,其他,,,1040112,土地0建物0車位0,二層,2,其他,見其他登記事項,見其他登記事項,0540725,33.39,1,0,1,有,無,有,3500,105,,0.0,0,,RPXOMLSLJHKFFAI56CC
嘉義市,房地(土地+建物),嘉義市嘉義市西區漢口路181~210號,100.0,其他,,,1040114,土地1建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,0790809,310.4,5,2,4,有,無,無,20000,64,,0.0,0,,RPOPMLSLJHKFFAI38CC
