編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSNMLOJJIJFFCK18CA,福田段,1056.08,都市：住
RPVNMLOJJIJFFBK38CA,南勢坑段上南勢坑小段,299.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLOJJIJFFBK38CA,南勢坑段下南勢坑小段,2517.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLOJJIJFFBK38CA,南勢坑段下南勢坑小段,2501.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLKKJIJFFBK08CA,社寮岡段,84.00,都市：住
RPSNMLLKJIJFFBK87CA,苗栗段,15.43,都市：住
RPWPMLQLJIJFFCK56CA,田心段,89.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWPMLQLJIJFFCK56CA,田心段,27.26,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLPJJIJFFCK08CA,福田段,3.61,都市：住
RPSNMLOJJIJFFDK28CA,成功段,268.64,都市：其他
RPSNMLOJJIJFFDK28CA,鹽館前段山子坪小段,81.00,都市：其他
RPTNMLOJJIJFFDK38CA,成功段,83.33,都市：其他
RPTNMLOJJIJFFDK38CA,鹽館前段山子坪小段,16.00,都市：其他
RPVNMLRJJIJFFBK68CA,苗栗段,25.80,都市：住
RPPQMLQLJIJFFCK58CA,田心段,74.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPQMLQLJIJFFCK58CA,田心段,19.13,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLNKJIJFFBK18CA,仁隆段,408.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLKLJIJFFCK87CA,五南段,287.60,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRNMLKLJIJFFCK87CA,五南段,6.08,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQOMLPJJIJFFDK28CA,合興段,8.51,都市：其他
RPQOMLPJJIJFFDK28CA,合興段,161.32,都市：住
RPWOMLPLJIJFFBK88CA,苗栗段,4.58,都市：住
RPWNMLRLJIJFFCK09CA,田心段,70.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLPJJIJFFEK38CA,僑成段,75.20,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLRLJIJFFCK09CA,田心段,18.63,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLOJJIJFFEK48CA,老雞隆段,38.22,非都市：鄉村區 ; 非都市編定：乙種建築用地
