編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLLKJIJFFDP98CC,35,56.82,住商用,鋼筋混凝土造,69年2月5日,三層,
RPPNMLTKJIJFFDP66CC,34,55.02,住商用,加強磚造,70年3月31日,三層,
RPSNMLSKJIJFFAP66DC,1,197.48,住商用,鋼筋混凝土造,102年5月31日,三層,
RPPNMLTKJIJFFAP09DC,1,54.83,住商用,鋼筋混凝土造,102年5月31日,三層,
RPRNMLLLJHKFFDP78CC,39,178.41,住商用,鋼筋混凝土造,64年9月1日,二層,
RPPNMLNKJHKFFBP58DC,28,218.85,住商用,鋼筋混凝土造,75年11月10日,三層,
RPPNMLTLJHKFFBP66DC,35,187.58,住商用,鋼筋混凝土加強磚造,69年1月12日,三層,
RPPNMLMLJHKFFAP38CC,20,192.38,住商用,鋼筋混凝土造,83年8月19日,七層,
RPPNMLMLJHKFFAP38CC,20,38.58,共同部份,鋼筋混凝土造,83年8月19日,七層,
RPUNMLRJJHKFFAP66DC,2,48.07,住商用,鋼筋混凝土造,102年5月31日,三層,
RPUNMLRJJHKFFAP66DC,2,195.79,住商用,鋼筋混凝土造,102年5月31日,三層,
