鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
林口區,房地(土地+建物)+車位,新北市林口區竹林路1~30號,69.9,住,,,1040121,土地2建物1車位2,一層,8,店面(店鋪),見其他登記事項,鋼筋混凝土造,0870623,236.85999999999999,0,0,0,無,有,無,20000,84,坡道平面,52.84,0,,RPQNMLLJKHKFFBF37CC
淡水區,房地(土地+建物),新北市淡水區中正東路二段25巷1~30號,13.92,住,,,1040201,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951121,48.56999999999999,1,0,1,有,有,有,14000,288,,0.0,0,,RPPNMLLJKHKFFEF57CC
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路三段31~60號,26.39,住,,,1040131,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990106,166.47,3,2,2,有,有,有,15000,90,坡道平面,29.96,0,,RPQNMLLJKHKFFEF67CC
五股區,房地(土地+建物),新北市五股區五工一路91~120號,1482.84,,工業區,丁種建築用地,1040129,土地1建物1車位0,二層,4,工廠,工業用,鋼筋混凝土造,0820908,724.21,0,0,0,無,無,無,90000,,,0.0,0,承租2樓部份 約180坪,RPPPMLMJKHKFFBF57CC
汐止區,房地(土地+建物),新北市汐止區新臺五路一段91~120號,55.33,工,,,1040129,土地1建物1車位0,二十層,26,辦公商業大樓,工業用,鋼造,0831222,779.9,0,0,0,無,有,無,129756,166,,0.0,0,,RPWNMLMJKHKFFDF28CC
汐止區,房地(土地+建物),新北市汐止區大同路一段151~180號,13.89,工,,,1040129,土地1建物1車位0,十層,14,辦公商業大樓,工業用,鋼筋混凝土造,0830115,132.23,0,0,0,無,有,無,30000,227,,0.0,0,,RPPOMLMJKHKFFDF67CC
汐止區,房地(土地+建物)+車位,新北市汐止區新臺五路一段61~90號,17.45,工,,,1040119,土地1建物1車位1,十四層,20,辦公商業大樓,工商用,鋼造,0830330,241.65,0,0,0,無,有,無,42716,177,坡道平面,31.5,0,,RPQOMLMJKHKFFDF77CC
汐止區,房地(土地+建物),新北市汐止區新臺五路二段211~240號,4.68,住,,,1040201,土地2建物1車位0,七層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0851230,94.34,3,2,2,有,有,無,15000,159,,0.0,0,,RPPPMLNJKHKFFDF87CC
新莊區,房地(土地+建物)+車位,新北市新莊區思源路370巷61~90號,20.14,住,,,1040110,土地1建物1車位1,四層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010110,130.11,3,2,2,有,有,有,31000,238,坡道平面,17.71,0,,RPVPMLNJKHKFFBF28CC
新莊區,房地(土地+建物),新北市新莊區化成路492巷1~30號,63.17,工,,,1040110,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0840923,74.81,1,0,1,有,無,有,11000,147,,0.0,0,隔間套房,RPXPMLNJKHKFFBF48CC
新莊區,房地(土地+建物)+車位,新北市新莊區新北大道二段241~270號,14.34,住,,,1040127,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030827,103.15,2,2,1,有,有,無,22000,213,坡道平面,27.98,0,,RPPQMLNJKHKFFBF77CC
新莊區,房地(土地+建物)+車位,新北市新莊區立信五街1~30號,23.75,住,,,1040115,土地1建物1車位1,一層,13,店面(店鋪),見其他登記事項,鋼筋混凝土造,0951229,187.5,0,0,2,有,有,無,68000,363,坡道平面,23.18,0,,RPQQMLNJKHKFFBF87CC
