編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLKKLHKFFBM18CC,上林段,96.39,都市：住
RPPNMLTKLHKFFBM09DC,北投段,2423.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLQKLHKFFBM56DC,中興段,15.98,都市：住
RPQNMLQLKHKFFBM78CC,龍德段,153.47,非都市：鄉村區 ; 非都市編定：丁種建築用地
RPQNMLQLKHKFFBM78CC,龍德段,477.27,非都市：鄉村區 ; 非都市編定：丁種建築用地
RPQNMLQLKHKFFBM78CC,龍德段,31.22,非都市：鄉村區 ; 非都市編定：交通用地
RPQNMLRJMHKFFBM88CC,祥和段,75.02,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLRJMHKFFCM09DC,興池段,2076.49,都市：農
RPPOMLRJMHKFFCM09DC,興池段,647.48,都市：農
RPQOMLMJMHKFFCM58CC,忠孝段,88.43,都市：住
RPOOMLQJKHKFFCM68DC,和平段,777.88,都市：住
RPQNMLTLMHKFFBM66CC,草屯段,39.41,都市：住
RPPNMLRJLHKFFAM58CC,光興段,126.75,都市：其他
RPWNMLKKMHKFFAM88DC,包尾段,91.00,都市：住
RPROMLKKKHKFFAM18CC,新段,84.03,都市：住
RPTNMLSJMHKFFAM66DC,新弓鞋段,27.50,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLRLMHKFFAM88CC,包尾段,7.00,都市：其他
RPPNMLRLMHKFFAM88CC,包尾段,79.00,都市：住
RPSNMLTJLHKFFAM09CC,光榮段,85.59,都市：住
RPSNMLTJLHKFFAM09CC,光榮段,78.71,都市：住
