編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQPMLOJKHKFFAO48CA,15,30.60,住家用,鋼筋混凝土造,89年4月17日,十四層,四層
RPQPMLOJKHKFFAO48CA,15,8.73,共有部分,鋼筋混凝土造,89年4月17日,十四層,
RPQPMLOJKHKFFAO48CA,15,.04,見其他登記事項,鋼筋混凝土造,89年4月17日,十四層,
RPQPMLOJKHKFFAO48CA,15,12.60,共有部分,鋼筋混凝土造,89年4月17日,十四層,
RPPPMLOJKHKFFAO38CA,7,86.52,見其他登記事項,鋼筋混凝土造,97年1月31日,十五層,十三層
RPPPMLOJKHKFFAO38CA,7,68.24,見其他登記事項,鋼筋混凝土造,97年1月31日,十五層,
RPSNMLNJKHKFFAO38CA,9,32.37,辦公室,鋼筋混凝土造,95年7月1日,九層,四層
RPSNMLNJKHKFFAO38CA,9,7.63,見其他登記事項,鋼筋混凝土造,95年7月1日,九層,
RPSNMLNJKHKFFAO38CA,9,8.76,見其他登記事項,鋼筋混凝土造,95年7月1日,九層,
RPQOMLPJKHKFFAO48CA,,111.49,辦公室,鋼筋混凝土造,103年8月28日,十五層,十四層
RPQOMLPJKHKFFAO48CA,,56.60,共有部分,鋼筋混凝土造,103年8月28日,十五層,
RPQOMLPJKHKFFAO48CA,,21.65,共有部分,鋼筋混凝土造,103年8月28日,十五層,
RPOOMLPJKHKFFAO28CA,,128.17,見其他登記事項,鋼筋混凝土造,103年8月28日,十五層,一層
RPOOMLPJKHKFFAO28CA,,123.35,共有部分,鋼筋混凝土造,103年8月28日,十五層,
RPOOMLPJKHKFFAO28CA,,30.86,共有部分,鋼筋混凝土造,103年8月28日,十五層,
RPPOMLPJKHKFFAO38CA,,81.63,見其他登記事項,鋼筋混凝土造,103年8月28日,七層,五層
RPPOMLPJKHKFFAO38CA,,49.84,共有部分,鋼筋混凝土造,103年8月28日,十五層,
RPPOMLPJKHKFFAO38CA,,16.59,共有部分,鋼筋混凝土造,103年8月28日,七層,
RPUOMLPJKHKFFAO88CA,,110.97,辦公室,鋼筋混凝土造,103年8月28日,十五層,十四層
RPUOMLPJKHKFFAO88CA,,56.60,共有部分,鋼筋混凝土造,103年8月28日,十五層,
RPUOMLPJKHKFFAO88CA,,21.68,共有部分,鋼筋混凝土造,103年8月28日,十五層,
RPSOMLPJKHKFFAO68CA,,110.97,辦公室,鋼筋混凝土造,103年8月28日,十五層,十層
RPSOMLPJKHKFFAO68CA,,87.87,共有部分,鋼筋混凝土造,103年8月28日,十五層,
RPSOMLPJKHKFFAO68CA,,21.68,共有部分,鋼筋混凝土造,103年8月28日,十五層,
