編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLTJMHKFFDQ07CC,10,53.07,住商用,鋼筋混凝土造,94年9月2日,四層,
RPSNMLTJMHKFFDQ27CC,19,148.20,見其他登記事項,鋼筋混凝土造,85年2月7日,九層,
RPTNMLQKLHKFFCQ96CC,30,171.38,住商用,鋼筋混凝土造,73年11月9日,五層,
RPRNMLPLLHKFFBQ66CC,9,31.07,住家用,鋼筋混凝土造,95年8月28日,八層,
RPUNMLSJMHKFFBQ17CC,9,31.22,住家用,鋼筋混凝土造,95年8月28日,八層,
RPWNMLOKMHKFFBQ07CC,9,33.02,住家用,鋼筋混凝土造,94年10月3日,十層,
RPQNMLSLMHKFFBQ96CC,9,31.07,住家用,鋼筋混凝土造,95年8月28日,八層,
RPRNMLSLMHKFFBQ07CC,9,31.07,住家用,鋼筋混凝土造,95年8月28日,八層,
RPVNMLOKMHKFFBQ96CC,9,25.03,住家用,鋼筋混凝土造,95年8月28日,八層,
RPVNMLOKMHKFFBQ96CC,9,25.03,住家用,鋼筋混凝土造,95年8月28日,八層,
